==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [1, 1, 1], In channel: 128, Input layer conv kernel: 3x3, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 1, Residual layer conv padding: 1
==> Optimizer is Adadelta
==> Learning rate: 1.0
==> Weight decay: 0.0005
==>Trainable Parameters: 4896394
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.611* | Acc: *40.332%* (20166/50000) 
Test epoch: 1 | Loss: *1.445* | Acc: *47.550%* (4755/10000)
Train epoch: 2 | Loss: *1.169* | Acc: *57.920%* (28960/50000) 
Test epoch: 2 | Loss: *2.664* | Acc: *37.930%* (3793/10000)
Train epoch: 3 | Loss: *0.965* | Acc: *65.606%* (32803/50000) 
Test epoch: 3 | Loss: *1.412* | Acc: *56.170%* (5617/10000)
Train epoch: 4 | Loss: *0.840* | Acc: *70.332%* (35166/50000) 
Test epoch: 4 | Loss: *1.033* | Acc: *66.350%* (6635/10000)
Train epoch: 5 | Loss: *0.727* | Acc: *74.536%* (37268/50000) 
Test epoch: 5 | Loss: *1.523* | Acc: *55.660%* (5566/10000)
Train epoch: 6 | Loss: *0.633* | Acc: *77.912%* (38956/50000) 
Test epoch: 6 | Loss: *0.821* | Acc: *73.290%* (7329/10000)
Train epoch: 7 | Loss: *0.575* | Acc: *80.106%* (40053/50000) 
Test epoch: 7 | Loss: *0.973* | Acc: *70.120%* (7012/10000)
Train epoch: 8 | Loss: *0.521* | Acc: *82.036%* (41018/50000) 
Test epoch: 8 | Loss: *0.759* | Acc: *75.370%* (7537/10000)
Train epoch: 9 | Loss: *0.484* | Acc: *83.530%* (41765/50000) 
Test epoch: 9 | Loss: *0.646* | Acc: *79.210%* (7921/10000)
Train epoch: 10 | Loss: *0.458* | Acc: *84.366%* (42183/50000) 
Test epoch: 10 | Loss: *1.158* | Acc: *68.160%* (6816/10000)
Train epoch: 11 | Loss: *0.433* | Acc: *85.180%* (42590/50000) 
Test epoch: 11 | Loss: *0.682* | Acc: *77.510%* (7751/10000)
Train epoch: 12 | Loss: *0.410* | Acc: *86.080%* (43040/50000) 
Test epoch: 12 | Loss: *0.631* | Acc: *77.980%* (7798/10000)
Train epoch: 13 | Loss: *0.394* | Acc: *86.626%* (43313/50000) 
Test epoch: 13 | Loss: *1.262* | Acc: *65.950%* (6595/10000)
Train epoch: 14 | Loss: *0.382* | Acc: *87.000%* (43500/50000) 
Test epoch: 14 | Loss: *0.714* | Acc: *77.830%* (7783/10000)
Train epoch: 15 | Loss: *0.367* | Acc: *87.296%* (43648/50000) 
Test epoch: 15 | Loss: *0.512* | Acc: *83.030%* (8303/10000)
