==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [1, 1, 1], In channel: 128, Input layer conv kernel: 3x3, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 1, Residual layer conv padding: 1
==> Optimizer is Adagrad
==> Learning rate: 0.01
==> Weight decay: 0.0005
==>Trainable Parameters: 4896394
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.467* | Acc: *46.330%* (23165/50000) 
Test epoch: 1 | Loss: *1.456* | Acc: *48.000%* (4800/10000)
Train epoch: 2 | Loss: *1.012* | Acc: *64.106%* (32053/50000) 
Test epoch: 2 | Loss: *1.213* | Acc: *56.400%* (5640/10000)
Train epoch: 3 | Loss: *0.840* | Acc: *70.316%* (35158/50000) 
Test epoch: 3 | Loss: *1.326* | Acc: *53.790%* (5379/10000)
Train epoch: 4 | Loss: *0.720* | Acc: *74.626%* (37313/50000) 
Test epoch: 4 | Loss: *1.519* | Acc: *52.590%* (5259/10000)
Train epoch: 5 | Loss: *0.621* | Acc: *78.416%* (39208/50000) 
Test epoch: 5 | Loss: *0.768* | Acc: *73.690%* (7369/10000)
Train epoch: 6 | Loss: *0.532* | Acc: *81.698%* (40849/50000) 
Test epoch: 6 | Loss: *0.811* | Acc: *71.380%* (7138/10000)
Train epoch: 7 | Loss: *0.458* | Acc: *84.216%* (42108/50000) 
Test epoch: 7 | Loss: *0.762* | Acc: *74.180%* (7418/10000)
Train epoch: 8 | Loss: *0.395* | Acc: *86.776%* (43388/50000) 
Test epoch: 8 | Loss: *0.609* | Acc: *79.130%* (7913/10000)
Train epoch: 9 | Loss: *0.334* | Acc: *88.894%* (44447/50000) 
Test epoch: 9 | Loss: *0.672* | Acc: *78.050%* (7805/10000)
Train epoch: 10 | Loss: *0.275* | Acc: *90.932%* (45466/50000) 
Test epoch: 10 | Loss: *0.679* | Acc: *78.950%* (7895/10000)
Train epoch: 11 | Loss: *0.215* | Acc: *93.240%* (46620/50000) 
Test epoch: 11 | Loss: *0.900* | Acc: *73.090%* (7309/10000)
Train epoch: 12 | Loss: *0.166* | Acc: *95.198%* (47599/50000) 
Test epoch: 12 | Loss: *0.958* | Acc: *71.910%* (7191/10000)
Train epoch: 13 | Loss: *0.114* | Acc: *97.144%* (48572/50000) 
Test epoch: 13 | Loss: *0.793* | Acc: *77.040%* (7704/10000)
Train epoch: 14 | Loss: *0.073* | Acc: *98.544%* (49272/50000) 
Test epoch: 14 | Loss: *0.558* | Acc: *82.590%* (8259/10000)
Train epoch: 15 | Loss: *0.047* | Acc: *99.366%* (49683/50000) 
Test epoch: 15 | Loss: *0.531* | Acc: *83.550%* (8355/10000)
Train epoch: 16 | Loss: *0.028* | Acc: *99.770%* (49885/50000) 
Test epoch: 16 | Loss: *0.549* | Acc: *83.240%* (8324/10000)
Train epoch: 17 | Loss: *0.015* | Acc: *99.946%* (49973/50000) 
Test epoch: 17 | Loss: *0.765* | Acc: *79.900%* (7990/10000)
Train epoch: 18 | Loss: *0.013* | Acc: *99.924%* (49962/50000) 
Test epoch: 18 | Loss: *1.110* | Acc: *74.730%* (7473/10000)
Train epoch: 19 | Loss: *0.039* | Acc: *99.382%* (49691/50000) 
Test epoch: 19 | Loss: *0.533* | Acc: *83.430%* (8343/10000)
Train epoch: 20 | Loss: *0.023* | Acc: *99.790%* (49895/50000) 
Test epoch: 20 | Loss: *0.460* | Acc: *85.460%* (8546/10000)
Train epoch: 21 | Loss: *0.008* | Acc: *100.000%* (50000/50000) 
Test epoch: 21 | Loss: *0.445* | Acc: *86.310%* (8631/10000)
Train epoch: 22 | Loss: *0.043* | Acc: *99.042%* (49521/50000) 
Test epoch: 22 | Loss: *1.196* | Acc: *70.220%* (7022/10000)
Train epoch: 23 | Loss: *0.021* | Acc: *99.868%* (49934/50000) 
Test epoch: 23 | Loss: *0.526* | Acc: *84.100%* (8410/10000)
Train epoch: 24 | Loss: *0.006* | Acc: *100.000%* (50000/50000) 
Test epoch: 24 | Loss: *0.434* | Acc: *86.190%* (8619/10000)
Train epoch: 25 | Loss: *0.005* | Acc: *100.000%* (50000/50000) 
Test epoch: 25 | Loss: *0.423* | Acc: *86.870%* (8687/10000)
Train epoch: 26 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 26 | Loss: *0.430* | Acc: *86.610%* (8661/10000)
Train epoch: 27 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 27 | Loss: *0.425* | Acc: *86.680%* (8668/10000)
Train epoch: 28 | Loss: *0.004* | Acc: *99.998%* (49999/50000) 
Test epoch: 28 | Loss: *0.468* | Acc: *85.270%* (8527/10000)
Train epoch: 29 | Loss: *0.130* | Acc: *96.250%* (48125/50000) 
Test epoch: 29 | Loss: *0.891* | Acc: *74.630%* (7463/10000)
Train epoch: 30 | Loss: *0.044* | Acc: *99.340%* (49670/50000) 
Test epoch: 30 | Loss: *1.372* | Acc: *69.920%* (6992/10000)
Train epoch: 31 | Loss: *0.011* | Acc: *99.984%* (49992/50000) 
Test epoch: 31 | Loss: *0.446* | Acc: *86.080%* (8608/10000)
Train epoch: 32 | Loss: *0.005* | Acc: *100.000%* (50000/50000) 
Test epoch: 32 | Loss: *0.436* | Acc: *86.090%* (8609/10000)
Train epoch: 33 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 33 | Loss: *0.419* | Acc: *86.350%* (8635/10000)
Train epoch: 34 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 34 | Loss: *0.421* | Acc: *86.440%* (8644/10000)
Train epoch: 35 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 35 | Loss: *0.578* | Acc: *82.180%* (8218/10000)
