==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [1, 1, 1], In channel: 128, Input layer conv kernel: 3x3, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 1, Residual layer conv padding: 1
==> Optimizer is Adam
==> Learning rate: 0.001
==> Weight decay: 0.0005
==>Trainable Parameters: 4896394
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.360* | Acc: *50.320%* (25160/50000) 
Test epoch: 1 | Loss: *1.904* | Acc: *40.520%* (4052/10000)
Train epoch: 2 | Loss: *0.964* | Acc: *65.874%* (32937/50000) 
Test epoch: 2 | Loss: *1.673* | Acc: *49.920%* (4992/10000)
Train epoch: 3 | Loss: *0.820* | Acc: *71.198%* (35599/50000) 
Test epoch: 3 | Loss: *1.075* | Acc: *61.360%* (6136/10000)
Train epoch: 4 | Loss: *0.706* | Acc: *75.554%* (37777/50000) 
Test epoch: 4 | Loss: *0.854* | Acc: *70.750%* (7075/10000)
Train epoch: 5 | Loss: *0.608* | Acc: *79.022%* (39511/50000) 
Test epoch: 5 | Loss: *0.877* | Acc: *70.210%* (7021/10000)
Train epoch: 6 | Loss: *0.533* | Acc: *81.706%* (40853/50000) 
Test epoch: 6 | Loss: *0.639* | Acc: *77.220%* (7722/10000)
Train epoch: 7 | Loss: *0.474* | Acc: *83.782%* (41891/50000) 
Test epoch: 7 | Loss: *0.714* | Acc: *75.240%* (7524/10000)
Train epoch: 8 | Loss: *0.423* | Acc: *85.486%* (42743/50000) 
Test epoch: 8 | Loss: *0.590* | Acc: *79.980%* (7998/10000)
Train epoch: 9 | Loss: *0.376* | Acc: *87.282%* (43641/50000) 
Test epoch: 9 | Loss: *0.704* | Acc: *76.060%* (7606/10000)
Train epoch: 10 | Loss: *0.338* | Acc: *88.486%* (44243/50000) 
Test epoch: 10 | Loss: *1.336* | Acc: *62.080%* (6208/10000)
Train epoch: 11 | Loss: *0.305* | Acc: *89.566%* (44783/50000) 
Test epoch: 11 | Loss: *0.579* | Acc: *80.530%* (8053/10000)
Train epoch: 12 | Loss: *0.271* | Acc: *90.708%* (45354/50000) 
Test epoch: 12 | Loss: *0.743* | Acc: *76.870%* (7687/10000)
Train epoch: 13 | Loss: *0.238* | Acc: *91.950%* (45975/50000) 
Test epoch: 13 | Loss: *0.559* | Acc: *81.990%* (8199/10000)
Train epoch: 14 | Loss: *0.216* | Acc: *92.638%* (46319/50000) 
Test epoch: 14 | Loss: *0.772* | Acc: *76.250%* (7625/10000)
Train epoch: 15 | Loss: *0.192* | Acc: *93.398%* (46699/50000) 
Test epoch: 15 | Loss: *0.745* | Acc: *77.270%* (7727/10000)
Train epoch: 16 | Loss: *0.176* | Acc: *94.078%* (47039/50000) 
Test epoch: 16 | Loss: *0.638* | Acc: *79.740%* (7974/10000)
Train epoch: 17 | Loss: *0.159* | Acc: *94.566%* (47283/50000) 
Test epoch: 17 | Loss: *0.722* | Acc: *79.600%* (7960/10000)
Train epoch: 18 | Loss: *0.156* | Acc: *94.782%* (47391/50000) 
Test epoch: 18 | Loss: *0.696* | Acc: *78.540%* (7854/10000)
Train epoch: 19 | Loss: *0.142* | Acc: *95.196%* (47598/50000) 
Test epoch: 19 | Loss: *0.627* | Acc: *81.250%* (8125/10000)
Train epoch: 20 | Loss: *0.135* | Acc: *95.488%* (47744/50000) 
Test epoch: 20 | Loss: *0.817* | Acc: *77.560%* (7756/10000)
Train epoch: 21 | Loss: *0.126* | Acc: *95.862%* (47931/50000) 
Test epoch: 21 | Loss: *0.872* | Acc: *76.500%* (7650/10000)
Train epoch: 22 | Loss: *0.131* | Acc: *95.602%* (47801/50000) 
Test epoch: 22 | Loss: *0.812* | Acc: *76.430%* (7643/10000)
Train epoch: 23 | Loss: *0.113* | Acc: *96.276%* (48138/50000) 
Test epoch: 23 | Loss: *0.701* | Acc: *80.410%* (8041/10000)
Train epoch: 24 | Loss: *0.118* | Acc: *96.054%* (48027/50000) 
Test epoch: 24 | Loss: *0.723* | Acc: *80.360%* (8036/10000)
Train epoch: 25 | Loss: *0.114* | Acc: *96.170%* (48085/50000) 
Test epoch: 25 | Loss: *0.620* | Acc: *82.260%* (8226/10000)
Train epoch: 26 | Loss: *0.103* | Acc: *96.616%* (48308/50000) 
Test epoch: 26 | Loss: *0.821* | Acc: *77.180%* (7718/10000)
Train epoch: 27 | Loss: *0.105* | Acc: *96.530%* (48265/50000) 
Test epoch: 27 | Loss: *0.802* | Acc: *77.660%* (7766/10000)
Train epoch: 28 | Loss: *0.098* | Acc: *96.868%* (48434/50000) 
Test epoch: 28 | Loss: *0.686* | Acc: *80.160%* (8016/10000)
Train epoch: 29 | Loss: *0.107* | Acc: *96.546%* (48273/50000) 
Test epoch: 29 | Loss: *0.754* | Acc: *78.770%* (7877/10000)
Train epoch: 30 | Loss: *0.106* | Acc: *96.568%* (48284/50000) 
Test epoch: 30 | Loss: *0.649* | Acc: *81.080%* (8108/10000)
Train epoch: 31 | Loss: *0.098* | Acc: *96.766%* (48383/50000) 
Test epoch: 31 | Loss: *0.812* | Acc: *78.050%* (7805/10000)
Train epoch: 32 | Loss: *0.092* | Acc: *96.986%* (48493/50000) 
Test epoch: 32 | Loss: *0.807* | Acc: *78.670%* (7867/10000)
Train epoch: 33 | Loss: *0.091* | Acc: *97.076%* (48538/50000) 
Test epoch: 33 | Loss: *0.736* | Acc: *79.630%* (7963/10000)
Train epoch: 34 | Loss: *0.101* | Acc: *96.728%* (48364/50000) 
Test epoch: 34 | Loss: *0.782* | Acc: *78.870%* (7887/10000)
Train epoch: 35 | Loss: *0.087* | Acc: *97.286%* (48643/50000) 
Test epoch: 35 | Loss: *0.817* | Acc: *78.120%* (7812/10000)
Train epoch: 36 | Loss: *0.089* | Acc: *97.132%* (48566/50000) 
Test epoch: 36 | Loss: *0.763* | Acc: *79.350%* (7935/10000)
Train epoch: 37 | Loss: *0.098* | Acc: *96.828%* (48414/50000) 
Test epoch: 37 | Loss: *0.757* | Acc: *78.560%* (7856/10000)
Train epoch: 38 | Loss: *0.082* | Acc: *97.380%* (48690/50000) 
Test epoch: 38 | Loss: *0.680* | Acc: *80.680%* (8068/10000)
Train epoch: 39 | Loss: *0.078* | Acc: *97.608%* (48804/50000) 
Test epoch: 39 | Loss: *0.817* | Acc: *77.820%* (7782/10000)
Train epoch: 40 | Loss: *0.091* | Acc: *97.062%* (48531/50000) 
Test epoch: 40 | Loss: *0.790* | Acc: *79.040%* (7904/10000)
Train epoch: 41 | Loss: *0.089* | Acc: *97.130%* (48565/50000) 
Test epoch: 41 | Loss: *0.671* | Acc: *80.980%* (8098/10000)
Train epoch: 42 | Loss: *0.077* | Acc: *97.566%* (48783/50000) 
Test epoch: 42 | Loss: *0.738* | Acc: *80.330%* (8033/10000)
Train epoch: 43 | Loss: *0.086* | Acc: *97.236%* (48618/50000) 
Test epoch: 43 | Loss: *0.762* | Acc: *78.910%* (7891/10000)
Train epoch: 44 | Loss: *0.077* | Acc: *97.586%* (48793/50000) 
Test epoch: 44 | Loss: *0.837* | Acc: *76.960%* (7696/10000)
Train epoch: 45 | Loss: *0.082* | Acc: *97.408%* (48704/50000) 
Test epoch: 45 | Loss: *0.759* | Acc: *79.090%* (7909/10000)
Train epoch: 46 | Loss: *0.077* | Acc: *97.532%* (48766/50000) 
Test epoch: 46 | Loss: *0.738* | Acc: *79.930%* (7993/10000)
Train epoch: 47 | Loss: *0.076* | Acc: *97.604%* (48802/50000) 
Test epoch: 47 | Loss: *0.736* | Acc: *80.300%* (8030/10000)
Train epoch: 48 | Loss: *0.070* | Acc: *97.858%* (48929/50000) 
Test epoch: 48 | Loss: *0.655* | Acc: *81.570%* (8157/10000)
Train epoch: 49 | Loss: *0.076* | Acc: *97.620%* (48810/50000) 
Test epoch: 49 | Loss: *0.717* | Acc: *79.600%* (7960/10000)
Train epoch: 50 | Loss: *0.078* | Acc: *97.518%* (48759/50000) 
Test epoch: 50 | Loss: *0.717* | Acc: *81.350%* (8135/10000)
Train epoch: 51 | Loss: *0.073* | Acc: *97.710%* (48855/50000) 
Test epoch: 51 | Loss: *0.746* | Acc: *80.100%* (8010/10000)
