==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [1, 1, 1], In channel: 128, Input layer conv kernel: 3x3, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 1, Residual layer conv padding: 1
==> Optimizer is SGD with Nesterov
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4896394
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.430* | Acc: *48.154%* (24077/50000) 
Test epoch: 1 | Loss: *3.063* | Acc: *30.160%* (3016/10000)
Train epoch: 2 | Loss: *0.939* | Acc: *66.594%* (33297/50000) 
Test epoch: 2 | Loss: *1.524* | Acc: *48.250%* (4825/10000)
Train epoch: 3 | Loss: *0.767* | Acc: *72.930%* (36465/50000) 
Test epoch: 3 | Loss: *1.596* | Acc: *57.020%* (5702/10000)
Train epoch: 4 | Loss: *0.640* | Acc: *77.722%* (38861/50000) 
Test epoch: 4 | Loss: *0.898* | Acc: *68.990%* (6899/10000)
Train epoch: 5 | Loss: *0.536* | Acc: *81.454%* (40727/50000) 
Test epoch: 5 | Loss: *1.436* | Acc: *57.390%* (5739/10000)
Train epoch: 6 | Loss: *0.464* | Acc: *84.226%* (42113/50000) 
Test epoch: 6 | Loss: *0.603* | Acc: *79.770%* (7977/10000)
Train epoch: 7 | Loss: *0.410* | Acc: *85.816%* (42908/50000) 
Test epoch: 7 | Loss: *1.198* | Acc: *62.760%* (6276/10000)
Train epoch: 8 | Loss: *0.373* | Acc: *87.380%* (43690/50000) 
Test epoch: 8 | Loss: *0.707* | Acc: *75.870%* (7587/10000)
Train epoch: 9 | Loss: *0.332* | Acc: *88.700%* (44350/50000) 
Test epoch: 9 | Loss: *1.068* | Acc: *68.110%* (6811/10000)
Train epoch: 10 | Loss: *0.300* | Acc: *89.682%* (44841/50000) 
Test epoch: 10 | Loss: *0.835* | Acc: *73.380%* (7338/10000)
Train epoch: 11 | Loss: *0.284* | Acc: *90.262%* (45131/50000) 
Test epoch: 11 | Loss: *0.961* | Acc: *73.670%* (7367/10000)
Train epoch: 12 | Loss: *0.252* | Acc: *91.460%* (45730/50000) 
Test epoch: 12 | Loss: *0.880* | Acc: *73.050%* (7305/10000)
Train epoch: 13 | Loss: *0.238* | Acc: *91.922%* (45961/50000) 
Test epoch: 13 | Loss: *0.790* | Acc: *76.180%* (7618/10000)
Train epoch: 14 | Loss: *0.229* | Acc: *92.162%* (46081/50000) 
Test epoch: 14 | Loss: *0.888* | Acc: *73.520%* (7352/10000)
Train epoch: 15 | Loss: *0.220* | Acc: *92.444%* (46222/50000) 
Test epoch: 15 | Loss: *0.873* | Acc: *74.310%* (7431/10000)
Train epoch: 16 | Loss: *0.202* | Acc: *93.230%* (46615/50000) 
Test epoch: 16 | Loss: *0.758* | Acc: *76.450%* (7645/10000)
Train epoch: 17 | Loss: *0.211* | Acc: *92.784%* (46392/50000) 
Test epoch: 17 | Loss: *0.960* | Acc: *74.030%* (7403/10000)
Train epoch: 18 | Loss: *0.195* | Acc: *93.290%* (46645/50000) 
Test epoch: 18 | Loss: *0.896* | Acc: *72.880%* (7288/10000)
Train epoch: 19 | Loss: *0.189* | Acc: *93.668%* (46834/50000) 
Test epoch: 19 | Loss: *1.244* | Acc: *64.520%* (6452/10000)
Train epoch: 20 | Loss: *0.197* | Acc: *93.442%* (46721/50000) 
Test epoch: 20 | Loss: *0.952* | Acc: *69.940%* (6994/10000)
Train epoch: 21 | Loss: *0.175* | Acc: *94.190%* (47095/50000) 
Test epoch: 21 | Loss: *0.644* | Acc: *78.520%* (7852/10000)
Train epoch: 22 | Loss: *0.191* | Acc: *93.488%* (46744/50000) 
Test epoch: 22 | Loss: *0.854* | Acc: *74.600%* (7460/10000)
Train epoch: 23 | Loss: *0.176* | Acc: *94.042%* (47021/50000) 
Test epoch: 23 | Loss: *1.008* | Acc: *73.740%* (7374/10000)
Train epoch: 24 | Loss: *0.183* | Acc: *93.860%* (46930/50000) 
Test epoch: 24 | Loss: *1.017* | Acc: *68.520%* (6852/10000)
Train epoch: 25 | Loss: *0.176* | Acc: *94.080%* (47040/50000) 
Test epoch: 25 | Loss: *0.913* | Acc: *72.140%* (7214/10000)
Train epoch: 26 | Loss: *0.171* | Acc: *94.272%* (47136/50000) 
Test epoch: 26 | Loss: *0.845* | Acc: *75.800%* (7580/10000)
Train epoch: 27 | Loss: *0.176* | Acc: *94.094%* (47047/50000) 
Test epoch: 27 | Loss: *0.997* | Acc: *71.570%* (7157/10000)
Train epoch: 28 | Loss: *0.175* | Acc: *94.120%* (47060/50000) 
Test epoch: 28 | Loss: *0.648* | Acc: *78.970%* (7897/10000)
Train epoch: 29 | Loss: *0.164* | Acc: *94.566%* (47283/50000) 
Test epoch: 29 | Loss: *0.827* | Acc: *75.740%* (7574/10000)
Train epoch: 30 | Loss: *0.167* | Acc: *94.272%* (47136/50000) 
Test epoch: 30 | Loss: *0.950* | Acc: *73.080%* (7308/10000)
Train epoch: 31 | Loss: *0.169* | Acc: *94.324%* (47162/50000) 
Test epoch: 31 | Loss: *0.926* | Acc: *73.160%* (7316/10000)
Train epoch: 32 | Loss: *0.168* | Acc: *94.306%* (47153/50000) 
Test epoch: 32 | Loss: *0.881* | Acc: *74.840%* (7484/10000)
Train epoch: 33 | Loss: *0.164* | Acc: *94.464%* (47232/50000) 
Test epoch: 33 | Loss: *0.903* | Acc: *72.600%* (7260/10000)
Train epoch: 34 | Loss: *0.163* | Acc: *94.458%* (47229/50000) 
Test epoch: 34 | Loss: *0.923* | Acc: *72.910%* (7291/10000)
Train epoch: 35 | Loss: *0.162* | Acc: *94.568%* (47284/50000) 
Test epoch: 35 | Loss: *0.696* | Acc: *79.070%* (7907/10000)
Train epoch: 36 | Loss: *0.158* | Acc: *94.638%* (47319/50000) 
Test epoch: 36 | Loss: *0.733* | Acc: *76.890%* (7689/10000)
Train epoch: 37 | Loss: *0.160* | Acc: *94.664%* (47332/50000) 
Test epoch: 37 | Loss: *1.260* | Acc: *67.300%* (6730/10000)
Train epoch: 38 | Loss: *0.159* | Acc: *94.654%* (47327/50000) 
Test epoch: 38 | Loss: *1.064* | Acc: *70.530%* (7053/10000)
Train epoch: 39 | Loss: *0.160* | Acc: *94.630%* (47315/50000) 
Test epoch: 39 | Loss: *0.686* | Acc: *79.110%* (7911/10000)
Train epoch: 40 | Loss: *0.152* | Acc: *94.914%* (47457/50000) 
Test epoch: 40 | Loss: *0.810* | Acc: *77.800%* (7780/10000)
Train epoch: 41 | Loss: *0.155* | Acc: *94.786%* (47393/50000) 
Test epoch: 41 | Loss: *0.891* | Acc: *74.790%* (7479/10000)
Train epoch: 42 | Loss: *0.151* | Acc: *94.734%* (47367/50000) 
Test epoch: 42 | Loss: *1.746* | Acc: *61.690%* (6169/10000)
Train epoch: 43 | Loss: *0.151* | Acc: *94.908%* (47454/50000) 
Test epoch: 43 | Loss: *1.038* | Acc: *72.440%* (7244/10000)
Train epoch: 44 | Loss: *0.151* | Acc: *94.958%* (47479/50000) 
Test epoch: 44 | Loss: *0.705* | Acc: *77.490%* (7749/10000)
Train epoch: 45 | Loss: *0.148* | Acc: *95.042%* (47521/50000) 
Test epoch: 45 | Loss: *0.740* | Acc: *77.820%* (7782/10000)
Train epoch: 46 | Loss: *0.153* | Acc: *94.794%* (47397/50000) 
Test epoch: 46 | Loss: *0.933* | Acc: *71.580%* (7158/10000)
