==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [1, 1, 1], In channel: 128, Input layer conv kernel: 3x3, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 1, Residual layer conv padding: 1
==> Optimizer is SGD
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4896394
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.491* | Acc: *44.740%* (22370/50000) 
Test epoch: 1 | Loss: *1.990* | Acc: *36.260%* (3626/10000)
Train epoch: 2 | Loss: *1.022* | Acc: *63.398%* (31699/50000) 
Test epoch: 2 | Loss: *1.095* | Acc: *60.850%* (6085/10000)
Train epoch: 3 | Loss: *0.828* | Acc: *70.566%* (35283/50000) 
Test epoch: 3 | Loss: *1.133* | Acc: *60.280%* (6028/10000)
Train epoch: 4 | Loss: *0.703* | Acc: *75.350%* (37675/50000) 
Test epoch: 4 | Loss: *0.965* | Acc: *66.070%* (6607/10000)
Train epoch: 5 | Loss: *0.594* | Acc: *79.338%* (39669/50000) 
Test epoch: 5 | Loss: *1.206* | Acc: *58.720%* (5872/10000)
Train epoch: 6 | Loss: *0.515* | Acc: *82.204%* (41102/50000) 
Test epoch: 6 | Loss: *0.857* | Acc: *71.780%* (7178/10000)
Train epoch: 7 | Loss: *0.458* | Acc: *84.246%* (42123/50000) 
Test epoch: 7 | Loss: *0.665* | Acc: *77.850%* (7785/10000)
Train epoch: 8 | Loss: *0.412* | Acc: *85.702%* (42851/50000) 
Test epoch: 8 | Loss: *0.769* | Acc: *74.360%* (7436/10000)
Train epoch: 9 | Loss: *0.379* | Acc: *86.980%* (43490/50000) 
Test epoch: 9 | Loss: *0.810* | Acc: *72.450%* (7245/10000)
Train epoch: 10 | Loss: *0.337* | Acc: *88.392%* (44196/50000) 
Test epoch: 10 | Loss: *0.742* | Acc: *74.700%* (7470/10000)
Train epoch: 11 | Loss: *0.316* | Acc: *89.052%* (44526/50000) 
Test epoch: 11 | Loss: *0.761* | Acc: *75.170%* (7517/10000)
Train epoch: 12 | Loss: *0.293* | Acc: *89.976%* (44988/50000) 
Test epoch: 12 | Loss: *0.965* | Acc: *71.570%* (7157/10000)
Train epoch: 13 | Loss: *0.274* | Acc: *90.560%* (45280/50000) 
Test epoch: 13 | Loss: *0.749* | Acc: *76.790%* (7679/10000)
Train epoch: 14 | Loss: *0.255* | Acc: *91.152%* (45576/50000) 
Test epoch: 14 | Loss: *0.838* | Acc: *74.600%* (7460/10000)
Train epoch: 15 | Loss: *0.244* | Acc: *91.724%* (45862/50000) 
Test epoch: 15 | Loss: *0.577* | Acc: *79.960%* (7996/10000)
Train epoch: 16 | Loss: *0.233* | Acc: *92.002%* (46001/50000) 
Test epoch: 16 | Loss: *0.853* | Acc: *74.100%* (7410/10000)
Train epoch: 17 | Loss: *0.228* | Acc: *92.186%* (46093/50000) 
Test epoch: 17 | Loss: *0.895* | Acc: *72.970%* (7297/10000)
Train epoch: 18 | Loss: *0.216* | Acc: *92.656%* (46328/50000) 
Test epoch: 18 | Loss: *0.719* | Acc: *77.220%* (7722/10000)
Train epoch: 19 | Loss: *0.214* | Acc: *92.742%* (46371/50000) 
Test epoch: 19 | Loss: *0.910* | Acc: *73.160%* (7316/10000)
Train epoch: 20 | Loss: *0.205* | Acc: *93.140%* (46570/50000) 
Test epoch: 20 | Loss: *1.076* | Acc: *69.070%* (6907/10000)
Train epoch: 21 | Loss: *0.202* | Acc: *92.934%* (46467/50000) 
Test epoch: 21 | Loss: *0.786* | Acc: *75.690%* (7569/10000)
Train epoch: 22 | Loss: *0.209* | Acc: *92.780%* (46390/50000) 
Test epoch: 22 | Loss: *1.089* | Acc: *69.370%* (6937/10000)
Train epoch: 23 | Loss: *0.193* | Acc: *93.356%* (46678/50000) 
Test epoch: 23 | Loss: *0.779* | Acc: *75.500%* (7550/10000)
Train epoch: 24 | Loss: *0.193* | Acc: *93.432%* (46716/50000) 
Test epoch: 24 | Loss: *0.694* | Acc: *76.990%* (7699/10000)
Train epoch: 25 | Loss: *0.189* | Acc: *93.604%* (46802/50000) 
Test epoch: 25 | Loss: *2.171* | Acc: *54.190%* (5419/10000)
Train epoch: 26 | Loss: *0.187* | Acc: *93.794%* (46897/50000) 
Test epoch: 26 | Loss: *1.103* | Acc: *66.720%* (6672/10000)
Train epoch: 27 | Loss: *0.190* | Acc: *93.364%* (46682/50000) 
Test epoch: 27 | Loss: *1.361* | Acc: *62.570%* (6257/10000)
Train epoch: 28 | Loss: *0.177* | Acc: *94.044%* (47022/50000) 
Test epoch: 28 | Loss: *1.282* | Acc: *66.300%* (6630/10000)
Train epoch: 29 | Loss: *0.186* | Acc: *93.666%* (46833/50000) 
Test epoch: 29 | Loss: *0.995* | Acc: *71.880%* (7188/10000)
Train epoch: 30 | Loss: *0.183* | Acc: *93.824%* (46912/50000) 
Test epoch: 30 | Loss: *1.049* | Acc: *68.360%* (6836/10000)
Train epoch: 31 | Loss: *0.180* | Acc: *93.822%* (46911/50000) 
Test epoch: 31 | Loss: *0.963* | Acc: *73.680%* (7368/10000)
Train epoch: 32 | Loss: *0.182* | Acc: *93.820%* (46910/50000) 
Test epoch: 32 | Loss: *1.487* | Acc: *62.370%* (6237/10000)
Train epoch: 33 | Loss: *0.177* | Acc: *93.992%* (46996/50000) 
Test epoch: 33 | Loss: *1.019* | Acc: *71.090%* (7109/10000)
Train epoch: 34 | Loss: *0.181* | Acc: *93.746%* (46873/50000) 
Test epoch: 34 | Loss: *1.105* | Acc: *66.340%* (6634/10000)
Train epoch: 35 | Loss: *0.168* | Acc: *94.326%* (47163/50000) 
Test epoch: 35 | Loss: *0.812* | Acc: *74.370%* (7437/10000)
Train epoch: 36 | Loss: *0.165* | Acc: *94.452%* (47226/50000) 
Test epoch: 36 | Loss: *1.486* | Acc: *61.730%* (6173/10000)
Train epoch: 37 | Loss: *0.170* | Acc: *94.324%* (47162/50000) 
Test epoch: 37 | Loss: *1.337* | Acc: *68.180%* (6818/10000)
Train epoch: 38 | Loss: *0.174* | Acc: *94.102%* (47051/50000) 
Test epoch: 38 | Loss: *1.588* | Acc: *60.590%* (6059/10000)
Train epoch: 39 | Loss: *0.169* | Acc: *94.230%* (47115/50000) 
Test epoch: 39 | Loss: *0.740* | Acc: *77.460%* (7746/10000)
Train epoch: 40 | Loss: *0.164* | Acc: *94.592%* (47296/50000) 
Test epoch: 40 | Loss: *1.572* | Acc: *58.070%* (5807/10000)
Train epoch: 41 | Loss: *0.167* | Acc: *94.362%* (47181/50000) 
Test epoch: 41 | Loss: *1.028* | Acc: *72.190%* (7219/10000)
Train epoch: 42 | Loss: *0.163* | Acc: *94.570%* (47285/50000) 
Test epoch: 42 | Loss: *0.724* | Acc: *77.380%* (7738/10000)
Train epoch: 43 | Loss: *0.159* | Acc: *94.548%* (47274/50000) 
Test epoch: 43 | Loss: *1.001* | Acc: *71.130%* (7113/10000)
Train epoch: 44 | Loss: *0.162* | Acc: *94.628%* (47314/50000) 
Test epoch: 44 | Loss: *0.789* | Acc: *78.070%* (7807/10000)
Train epoch: 45 | Loss: *0.156* | Acc: *94.794%* (47397/50000) 
Test epoch: 45 | Loss: *1.184* | Acc: *68.740%* (6874/10000)
Train epoch: 46 | Loss: *0.156* | Acc: *94.784%* (47392/50000) 
Test epoch: 46 | Loss: *0.855* | Acc: *73.470%* (7347/10000)
Train epoch: 47 | Loss: *0.162* | Acc: *94.606%* (47303/50000) 
Test epoch: 47 | Loss: *1.089* | Acc: *68.710%* (6871/10000)
Train epoch: 48 | Loss: *0.154* | Acc: *94.788%* (47394/50000) 
Test epoch: 48 | Loss: *1.155* | Acc: *65.360%* (6536/10000)
Train epoch: 49 | Loss: *0.158* | Acc: *94.708%* (47354/50000) 
Test epoch: 49 | Loss: *1.014* | Acc: *71.750%* (7175/10000)
Train epoch: 50 | Loss: *0.153* | Acc: *94.798%* (47399/50000) 
Test epoch: 50 | Loss: *0.940* | Acc: *73.220%* (7322/10000)
Train epoch: 51 | Loss: *0.148* | Acc: *95.046%* (47523/50000) 
Test epoch: 51 | Loss: *1.075* | Acc: *68.790%* (6879/10000)
Train epoch: 52 | Loss: *0.148* | Acc: *94.980%* (47490/50000) 
Test epoch: 52 | Loss: *1.085* | Acc: *69.640%* (6964/10000)
Train epoch: 53 | Loss: *0.146* | Acc: *95.138%* (47569/50000) 
