==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 11x11, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 5, Residual layer conv padding: 1
==> Optimizer is Adadelta
==> Learning rate: 1.0
==> Weight decay: 0.0005
==>Trainable Parameters: 4998730
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.741* | Acc: *35.288%* (17644/50000) 
Test epoch: 1 | Loss: *2.289* | Acc: *32.580%* (3258/10000)
Train epoch: 2 | Loss: *1.350* | Acc: *50.696%* (25348/50000) 
Test epoch: 2 | Loss: *1.327* | Acc: *52.760%* (5276/10000)
Train epoch: 3 | Loss: *1.057* | Acc: *62.096%* (31048/50000) 
Test epoch: 3 | Loss: *1.335* | Acc: *55.990%* (5599/10000)
Train epoch: 4 | Loss: *0.849* | Acc: *70.012%* (35006/50000) 
Test epoch: 4 | Loss: *0.798* | Acc: *72.210%* (7221/10000)
Train epoch: 5 | Loss: *0.719* | Acc: *74.768%* (37384/50000) 
Test epoch: 5 | Loss: *0.759* | Acc: *74.300%* (7430/10000)
Train epoch: 6 | Loss: *0.639* | Acc: *77.750%* (38875/50000) 
Test epoch: 6 | Loss: *0.856* | Acc: *73.890%* (7389/10000)
Train epoch: 7 | Loss: *0.581* | Acc: *80.102%* (40051/50000) 
Test epoch: 7 | Loss: *0.800* | Acc: *73.370%* (7337/10000)
Train epoch: 8 | Loss: *0.539* | Acc: *81.370%* (40685/50000) 
Test epoch: 8 | Loss: *0.791* | Acc: *75.000%* (7500/10000)
Train epoch: 9 | Loss: *0.500* | Acc: *82.678%* (41339/50000) 
Test epoch: 9 | Loss: *0.767* | Acc: *74.600%* (7460/10000)
Train epoch: 10 | Loss: *0.476* | Acc: *83.790%* (41895/50000) 
Test epoch: 10 | Loss: *0.624* | Acc: *79.130%* (7913/10000)
Train epoch: 11 | Loss: *0.452* | Acc: *84.384%* (42192/50000) 
Test epoch: 11 | Loss: *1.052* | Acc: *67.950%* (6795/10000)
Train epoch: 12 | Loss: *0.434* | Acc: *84.906%* (42453/50000) 
Test epoch: 12 | Loss: *0.582* | Acc: *79.880%* (7988/10000)
Train epoch: 13 | Loss: *0.423* | Acc: *85.492%* (42746/50000) 
Test epoch: 13 | Loss: *0.643* | Acc: *79.330%* (7933/10000)
Train epoch: 14 | Loss: *0.405* | Acc: *85.956%* (42978/50000) 
