==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 11x11, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 5, Residual layer conv padding: 1
==> Optimizer is Adadelta
==> Learning rate: 1.0
==> Weight decay: 0.0005
==>Trainable Parameters: 4998730
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.643* | Acc: *39.596%* (19798/50000) 
Test epoch: 1 | Loss: *1.743* | Acc: *39.970%* (3997/10000)
Train epoch: 2 | Loss: *1.194* | Acc: *56.656%* (28328/50000) 
Test epoch: 2 | Loss: *1.310* | Acc: *54.240%* (5424/10000)
Train epoch: 3 | Loss: *0.885* | Acc: *68.254%* (34127/50000) 
Test epoch: 3 | Loss: *1.404* | Acc: *53.250%* (5325/10000)
Train epoch: 4 | Loss: *0.690* | Acc: *75.716%* (37858/50000) 
Test epoch: 4 | Loss: *1.545* | Acc: *55.400%* (5540/10000)
Train epoch: 5 | Loss: *0.574* | Acc: *79.876%* (39938/50000) 
Test epoch: 5 | Loss: *1.093* | Acc: *62.450%* (6245/10000)
Train epoch: 6 | Loss: *0.476* | Acc: *83.512%* (41756/50000) 
Test epoch: 6 | Loss: *1.002* | Acc: *68.210%* (6821/10000)
Train epoch: 7 | Loss: *0.405* | Acc: *85.808%* (42904/50000) 
Test epoch: 7 | Loss: *0.867* | Acc: *71.320%* (7132/10000)
Train epoch: 8 | Loss: *0.338* | Acc: *88.252%* (44126/50000) 
Test epoch: 8 | Loss: *0.853* | Acc: *72.950%* (7295/10000)
Train epoch: 9 | Loss: *0.288* | Acc: *89.858%* (44929/50000) 
Test epoch: 9 | Loss: *1.007* | Acc: *68.370%* (6837/10000)
Train epoch: 10 | Loss: *0.247* | Acc: *91.350%* (45675/50000) 
Test epoch: 10 | Loss: *0.778* | Acc: *75.460%* (7546/10000)
Train epoch: 11 | Loss: *0.217* | Acc: *92.584%* (46292/50000) 
Test epoch: 11 | Loss: *0.738* | Acc: *76.300%* (7630/10000)
Train epoch: 12 | Loss: *0.197* | Acc: *93.178%* (46589/50000) 
Test epoch: 12 | Loss: *0.978* | Acc: *72.330%* (7233/10000)
Train epoch: 13 | Loss: *0.184* | Acc: *93.572%* (46786/50000) 
Test epoch: 13 | Loss: *0.868* | Acc: *74.400%* (7440/10000)
Train epoch: 14 | Loss: *0.174* | Acc: *93.992%* (46996/50000) 
Test epoch: 14 | Loss: *1.513* | Acc: *67.990%* (6799/10000)
Train epoch: 15 | Loss: *0.166* | Acc: *94.384%* (47192/50000) 
Test epoch: 15 | Loss: *0.894* | Acc: *73.260%* (7326/10000)
Train epoch: 16 | Loss: *0.160* | Acc: *94.492%* (47246/50000) 
Test epoch: 16 | Loss: *1.052* | Acc: *72.170%* (7217/10000)
Train epoch: 17 | Loss: *0.156* | Acc: *94.590%* (47295/50000) 
Test epoch: 17 | Loss: *0.917* | Acc: *74.450%* (7445/10000)
Train epoch: 18 | Loss: *0.157* | Acc: *94.566%* (47283/50000) 
Test epoch: 18 | Loss: *0.745* | Acc: *77.670%* (7767/10000)
Train epoch: 19 | Loss: *0.143* | Acc: *95.142%* (47571/50000) 
Test epoch: 19 | Loss: *1.373* | Acc: *68.130%* (6813/10000)
Train epoch: 20 | Loss: *0.153* | Acc: *94.706%* (47353/50000) 
Test epoch: 20 | Loss: *1.013* | Acc: *72.470%* (7247/10000)
Train epoch: 21 | Loss: *0.142* | Acc: *95.112%* (47556/50000) 
Test epoch: 21 | Loss: *0.797* | Acc: *76.260%* (7626/10000)
Train epoch: 22 | Loss: *0.140* | Acc: *95.254%* (47627/50000) 
Test epoch: 22 | Loss: *0.792* | Acc: *77.880%* (7788/10000)
Train epoch: 23 | Loss: *0.139* | Acc: *95.286%* (47643/50000) 
Test epoch: 23 | Loss: *0.761* | Acc: *78.490%* (7849/10000)
Train epoch: 24 | Loss: *0.141* | Acc: *95.140%* (47570/50000) 
Test epoch: 24 | Loss: *0.884* | Acc: *74.290%* (7429/10000)
Train epoch: 25 | Loss: *0.134* | Acc: *95.394%* (47697/50000) 
Test epoch: 25 | Loss: *0.802* | Acc: *77.600%* (7760/10000)
Train epoch: 26 | Loss: *0.139* | Acc: *95.278%* (47639/50000) 
Test epoch: 26 | Loss: *0.872* | Acc: *76.560%* (7656/10000)
Train epoch: 27 | Loss: *0.133* | Acc: *95.478%* (47739/50000) 
Test epoch: 27 | Loss: *0.953* | Acc: *75.280%* (7528/10000)
Train epoch: 28 | Loss: *0.131* | Acc: *95.576%* (47788/50000) 
Test epoch: 28 | Loss: *0.818* | Acc: *76.030%* (7603/10000)
Train epoch: 29 | Loss: *0.130* | Acc: *95.644%* (47822/50000) 
Test epoch: 29 | Loss: *0.924* | Acc: *73.070%* (7307/10000)
Train epoch: 30 | Loss: *0.133* | Acc: *95.508%* (47754/50000) 
Test epoch: 30 | Loss: *0.931* | Acc: *75.420%* (7542/10000)
Train epoch: 31 | Loss: *0.121* | Acc: *95.860%* (47930/50000) 
Test epoch: 31 | Loss: *0.814* | Acc: *77.870%* (7787/10000)
Train epoch: 32 | Loss: *0.132* | Acc: *95.482%* (47741/50000) 
Test epoch: 32 | Loss: *1.065* | Acc: *72.970%* (7297/10000)
Train epoch: 33 | Loss: *0.128* | Acc: *95.604%* (47802/50000) 
Test epoch: 33 | Loss: *1.133* | Acc: *71.810%* (7181/10000)
Train epoch: 34 | Loss: *0.124* | Acc: *95.722%* (47861/50000) 
Test epoch: 34 | Loss: *1.096* | Acc: *70.820%* (7082/10000)
Train epoch: 35 | Loss: *0.125* | Acc: *95.670%* (47835/50000) 
Test epoch: 35 | Loss: *0.986* | Acc: *73.860%* (7386/10000)
