==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 11x11, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 5, Residual layer conv padding: 1
==> Optimizer is Adagrad
==> Learning rate: 0.01
==> Weight decay: 0.0005
==>Trainable Parameters: 4998730
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.747* | Acc: *35.452%* (17726/50000) 
Test epoch: 1 | Loss: *1.602* | Acc: *41.480%* (4148/10000)
Train epoch: 2 | Loss: *1.412* | Acc: *48.534%* (24267/50000) 
Test epoch: 2 | Loss: *1.415* | Acc: *49.420%* (4942/10000)
Train epoch: 3 | Loss: *1.216* | Acc: *56.358%* (28179/50000) 
Test epoch: 3 | Loss: *1.227* | Acc: *55.180%* (5518/10000)
Train epoch: 4 | Loss: *1.073* | Acc: *61.780%* (30890/50000) 
Test epoch: 4 | Loss: *1.163* | Acc: *59.620%* (5962/10000)
Train epoch: 5 | Loss: *0.961* | Acc: *65.940%* (32970/50000) 
Test epoch: 5 | Loss: *1.189* | Acc: *59.410%* (5941/10000)
Train epoch: 6 | Loss: *0.870* | Acc: *69.316%* (34658/50000) 
Test epoch: 6 | Loss: *0.954* | Acc: *66.770%* (6677/10000)
Train epoch: 7 | Loss: *0.793* | Acc: *72.292%* (36146/50000) 
Test epoch: 7 | Loss: *0.897* | Acc: *69.650%* (6965/10000)
Train epoch: 8 | Loss: *0.731* | Acc: *74.354%* (37177/50000) 
Test epoch: 8 | Loss: *0.854* | Acc: *71.350%* (7135/10000)
Train epoch: 9 | Loss: *0.676* | Acc: *76.596%* (38298/50000) 
Test epoch: 9 | Loss: *0.752* | Acc: *74.390%* (7439/10000)
Train epoch: 10 | Loss: *0.632* | Acc: *78.072%* (39036/50000) 
Test epoch: 10 | Loss: *0.798* | Acc: *73.230%* (7323/10000)
Train epoch: 11 | Loss: *0.596* | Acc: *79.192%* (39596/50000) 
Test epoch: 11 | Loss: *0.760* | Acc: *73.590%* (7359/10000)
Train epoch: 12 | Loss: *0.564* | Acc: *80.420%* (40210/50000) 
Test epoch: 12 | Loss: *0.764* | Acc: *74.250%* (7425/10000)
Train epoch: 13 | Loss: *0.531* | Acc: *81.656%* (40828/50000) 
Test epoch: 13 | Loss: *0.706* | Acc: *76.990%* (7699/10000)
Train epoch: 14 | Loss: *0.506* | Acc: *82.290%* (41145/50000) 
Test epoch: 14 | Loss: *0.589* | Acc: *80.050%* (8005/10000)
Train epoch: 15 | Loss: *0.475* | Acc: *83.520%* (41760/50000) 
