==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 11x11, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 5, Residual layer conv padding: 1
==> Optimizer is Adagrad
==> Learning rate: 0.01
==> Weight decay: 0.0005
==>Trainable Parameters: 4998730
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.646* | Acc: *39.596%* (19798/50000) 
Test epoch: 1 | Loss: *1.829* | Acc: *34.200%* (3420/10000)
Train epoch: 2 | Loss: *1.270* | Acc: *54.026%* (27013/50000) 
Test epoch: 2 | Loss: *2.283* | Acc: *33.950%* (3395/10000)
Train epoch: 3 | Loss: *1.068* | Acc: *61.784%* (30892/50000) 
Test epoch: 3 | Loss: *1.184* | Acc: *58.780%* (5878/10000)
Train epoch: 4 | Loss: *0.916* | Acc: *67.460%* (33730/50000) 
Test epoch: 4 | Loss: *1.706* | Acc: *51.850%* (5185/10000)
Train epoch: 5 | Loss: *0.798* | Acc: *71.952%* (35976/50000) 
Test epoch: 5 | Loss: *0.963* | Acc: *66.680%* (6668/10000)
Train epoch: 6 | Loss: *0.688* | Acc: *75.826%* (37913/50000) 
Test epoch: 6 | Loss: *0.962* | Acc: *66.860%* (6686/10000)
Train epoch: 7 | Loss: *0.576* | Acc: *80.118%* (40059/50000) 
Test epoch: 7 | Loss: *0.867* | Acc: *69.790%* (6979/10000)
Train epoch: 8 | Loss: *0.465* | Acc: *84.006%* (42003/50000) 
Test epoch: 8 | Loss: *1.263* | Acc: *60.150%* (6015/10000)
Train epoch: 9 | Loss: *0.355* | Acc: *88.066%* (44033/50000) 
Test epoch: 9 | Loss: *0.956* | Acc: *69.890%* (6989/10000)
Train epoch: 10 | Loss: *0.241* | Acc: *92.404%* (46202/50000) 
Test epoch: 10 | Loss: *1.099* | Acc: *67.860%* (6786/10000)
Train epoch: 11 | Loss: *0.146* | Acc: *95.980%* (47990/50000) 
Test epoch: 11 | Loss: *1.029* | Acc: *70.020%* (7002/10000)
Train epoch: 12 | Loss: *0.083* | Acc: *98.088%* (49044/50000) 
Test epoch: 12 | Loss: *1.176* | Acc: *68.600%* (6860/10000)
Train epoch: 13 | Loss: *0.043* | Acc: *99.330%* (49665/50000) 
Test epoch: 13 | Loss: *1.125* | Acc: *69.140%* (6914/10000)
Train epoch: 14 | Loss: *0.019* | Acc: *99.872%* (49936/50000) 
Test epoch: 14 | Loss: *0.941* | Acc: *74.380%* (7438/10000)
Train epoch: 15 | Loss: *0.009* | Acc: *99.982%* (49991/50000) 
Test epoch: 15 | Loss: *0.896* | Acc: *75.180%* (7518/10000)
Train epoch: 16 | Loss: *0.005* | Acc: *100.000%* (50000/50000) 
Test epoch: 16 | Loss: *0.860* | Acc: *76.010%* (7601/10000)
Train epoch: 17 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 17 | Loss: *0.855* | Acc: *76.280%* (7628/10000)
Train epoch: 18 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 18 | Loss: *0.942* | Acc: *74.310%* (7431/10000)
Train epoch: 19 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 19 | Loss: *0.879* | Acc: *75.600%* (7560/10000)
Train epoch: 20 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 20 | Loss: *0.932* | Acc: *75.250%* (7525/10000)
Train epoch: 21 | Loss: *0.078* | Acc: *97.590%* (48795/50000) 
Test epoch: 21 | Loss: *1.626* | Acc: *59.840%* (5984/10000)
Train epoch: 22 | Loss: *0.141* | Acc: *95.808%* (47904/50000) 
Test epoch: 22 | Loss: *1.390* | Acc: *63.540%* (6354/10000)
Train epoch: 23 | Loss: *0.049* | Acc: *99.044%* (49522/50000) 
Test epoch: 23 | Loss: *0.928* | Acc: *73.710%* (7371/10000)
Train epoch: 24 | Loss: *0.013* | Acc: *99.936%* (49968/50000) 
Test epoch: 24 | Loss: *0.882* | Acc: *75.350%* (7535/10000)
Train epoch: 25 | Loss: *0.005* | Acc: *99.996%* (49998/50000) 
Test epoch: 25 | Loss: *0.873* | Acc: *75.850%* (7585/10000)
Train epoch: 26 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 26 | Loss: *0.863* | Acc: *76.040%* (7604/10000)
Train epoch: 27 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 27 | Loss: *0.868* | Acc: *75.810%* (7581/10000)
Train epoch: 28 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 28 | Loss: *0.862* | Acc: *75.910%* (7591/10000)
Train epoch: 29 | Loss: *0.003* | Acc: *99.996%* (49998/50000) 
Test epoch: 29 | Loss: *0.857* | Acc: *75.940%* (7594/10000)
Train epoch: 30 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 30 | Loss: *0.884* | Acc: *75.460%* (7546/10000)
Train epoch: 31 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 31 | Loss: *0.845* | Acc: *75.970%* (7597/10000)
Train epoch: 32 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 32 | Loss: *0.841* | Acc: *75.820%* (7582/10000)
Train epoch: 33 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 33 | Loss: *0.842* | Acc: *75.830%* (7583/10000)
Train epoch: 34 | Loss: *0.016* | Acc: *99.640%* (49820/50000) 
Test epoch: 34 | Loss: *1.116* | Acc: *67.340%* (6734/10000)
Train epoch: 35 | Loss: *0.081* | Acc: *98.030%* (49015/50000) 
Test epoch: 35 | Loss: *1.060* | Acc: *69.100%* (6910/10000)
Train epoch: 36 | Loss: *0.049* | Acc: *99.080%* (49540/50000) 
Test epoch: 36 | Loss: *1.266* | Acc: *66.210%* (6621/10000)
Train epoch: 37 | Loss: *0.016* | Acc: *99.884%* (49942/50000) 
Test epoch: 37 | Loss: *0.883* | Acc: *75.490%* (7549/10000)
Train epoch: 38 | Loss: *0.005* | Acc: *100.000%* (50000/50000) 
Test epoch: 38 | Loss: *0.861* | Acc: *75.700%* (7570/10000)
Train epoch: 39 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 39 | Loss: *0.854* | Acc: *75.860%* (7586/10000)
Train epoch: 40 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 40 | Loss: *0.846* | Acc: *75.640%* (7564/10000)
Train epoch: 41 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 41 | Loss: *0.845* | Acc: *75.810%* (7581/10000)
Train epoch: 42 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 42 | Loss: *0.840* | Acc: *75.640%* (7564/10000)
Train epoch: 43 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 43 | Loss: *0.834* | Acc: *75.890%* (7589/10000)
Train epoch: 44 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 44 | Loss: *0.832* | Acc: *75.860%* (7586/10000)
Train epoch: 45 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 45 | Loss: *0.829* | Acc: *75.860%* (7586/10000)
Train epoch: 46 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 46 | Loss: *0.822* | Acc: *75.850%* (7585/10000)
Train epoch: 47 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 47 | Loss: *0.822* | Acc: *75.800%* (7580/10000)
Train epoch: 48 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 48 | Loss: *0.830* | Acc: *75.690%* (7569/10000)
Train epoch: 49 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 49 | Loss: *0.826* | Acc: *75.630%* (7563/10000)
Train epoch: 50 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 50 | Loss: *0.813* | Acc: *75.950%* (7595/10000)
Train epoch: 51 | Loss: *0.028* | Acc: *99.644%* (49822/50000) 
Test epoch: 51 | Loss: *0.950* | Acc: *73.120%* (7312/10000)
Train epoch: 52 | Loss: *0.008* | Acc: *99.948%* (49974/50000) 
Test epoch: 52 | Loss: *0.980* | Acc: *72.270%* (7227/10000)
Train epoch: 53 | Loss: *0.005* | Acc: *99.990%* (49995/50000) 
Test epoch: 53 | Loss: *0.838* | Acc: *75.530%* (7553/10000)
Train epoch: 54 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 54 | Loss: *0.824* | Acc: *75.740%* (7574/10000)
Train epoch: 55 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 55 | Loss: *0.822* | Acc: *75.660%* (7566/10000)
Train epoch: 56 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 56 | Loss: *0.822* | Acc: *75.810%* (7581/10000)
Train epoch: 57 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 57 | Loss: *0.817* | Acc: *75.740%* (7574/10000)
Train epoch: 58 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 58 | Loss: *0.809* | Acc: *75.870%* (7587/10000)
Train epoch: 59 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 59 | Loss: *0.812* | Acc: *75.910%* (7591/10000)
Train epoch: 60 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 60 | Loss: *0.807* | Acc: *75.790%* (7579/10000)
Train epoch: 61 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 61 | Loss: *0.810* | Acc: *75.740%* (7574/10000)
Train epoch: 62 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 62 | Loss: *0.809* | Acc: *76.050%* (7605/10000)
Train epoch: 63 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 63 | Loss: *0.799* | Acc: *75.950%* (7595/10000)
Train epoch: 64 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 64 | Loss: *0.801* | Acc: *75.980%* (7598/10000)
Train epoch: 65 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 65 | Loss: *0.801* | Acc: *75.910%* (7591/10000)
Train epoch: 66 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 66 | Loss: *0.805* | Acc: *75.770%* (7577/10000)
Train epoch: 67 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 67 | Loss: *0.810* | Acc: *75.910%* (7591/10000)
Train epoch: 68 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 68 | Loss: *0.797* | Acc: *75.830%* (7583/10000)
Train epoch: 69 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 69 | Loss: *0.835* | Acc: *75.100%* (7510/10000)
