==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 11x11, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 5, Residual layer conv padding: 1
==> Optimizer is SGD with Nesterov
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4998730
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.597* | Acc: *41.642%* (20821/50000) 
Test epoch: 1 | Loss: *1.515* | Acc: *43.790%* (4379/10000)
Train epoch: 2 | Loss: *1.168* | Acc: *57.952%* (28976/50000) 
Test epoch: 2 | Loss: *1.413* | Acc: *51.820%* (5182/10000)
Train epoch: 3 | Loss: *0.872* | Acc: *69.080%* (34540/50000) 
Test epoch: 3 | Loss: *1.154* | Acc: *61.040%* (6104/10000)
Train epoch: 4 | Loss: *0.661* | Acc: *76.918%* (38459/50000) 
Test epoch: 4 | Loss: *0.753* | Acc: *73.150%* (7315/10000)
Train epoch: 5 | Loss: *0.534* | Acc: *81.216%* (40608/50000) 
Test epoch: 5 | Loss: *0.661* | Acc: *77.690%* (7769/10000)
Train epoch: 6 | Loss: *0.453* | Acc: *84.114%* (42057/50000) 
Test epoch: 6 | Loss: *0.751* | Acc: *74.450%* (7445/10000)
Train epoch: 7 | Loss: *0.388* | Acc: *86.480%* (43240/50000) 
Test epoch: 7 | Loss: *0.713* | Acc: *76.390%* (7639/10000)
Train epoch: 8 | Loss: *0.348* | Acc: *87.872%* (43936/50000) 
Test epoch: 8 | Loss: *0.681* | Acc: *77.380%* (7738/10000)
Train epoch: 9 | Loss: *0.311* | Acc: *89.012%* (44506/50000) 
Test epoch: 9 | Loss: *0.864* | Acc: *73.590%* (7359/10000)
Train epoch: 10 | Loss: *0.279* | Acc: *90.274%* (45137/50000) 
Test epoch: 10 | Loss: *0.656* | Acc: *77.950%* (7795/10000)
Train epoch: 11 | Loss: *0.256* | Acc: *91.124%* (45562/50000) 
Test epoch: 11 | Loss: *0.623* | Acc: *79.620%* (7962/10000)
Train epoch: 12 | Loss: *0.238* | Acc: *91.726%* (45863/50000) 
Test epoch: 12 | Loss: *0.945* | Acc: *72.390%* (7239/10000)
Train epoch: 13 | Loss: *0.234* | Acc: *91.886%* (45943/50000) 
Test epoch: 13 | Loss: *0.699* | Acc: *77.610%* (7761/10000)
Train epoch: 14 | Loss: *0.213* | Acc: *92.732%* (46366/50000) 
Test epoch: 14 | Loss: *0.660* | Acc: *79.830%* (7983/10000)
Train epoch: 15 | Loss: *0.208* | Acc: *92.734%* (46367/50000) 
Test epoch: 15 | Loss: *0.721* | Acc: *77.610%* (7761/10000)
Train epoch: 16 | Loss: *0.208* | Acc: *92.756%* (46378/50000) 
Test epoch: 16 | Loss: *0.854* | Acc: *75.070%* (7507/10000)
Train epoch: 17 | Loss: *0.197* | Acc: *93.250%* (46625/50000) 
Test epoch: 17 | Loss: *0.665* | Acc: *79.230%* (7923/10000)
Train epoch: 18 | Loss: *0.195* | Acc: *93.190%* (46595/50000) 
Test epoch: 18 | Loss: *0.732* | Acc: *77.110%* (7711/10000)
Train epoch: 19 | Loss: *0.199* | Acc: *93.052%* (46526/50000) 
Test epoch: 19 | Loss: *0.972* | Acc: *73.750%* (7375/10000)
Train epoch: 20 | Loss: *0.185* | Acc: *93.640%* (46820/50000) 
Test epoch: 20 | Loss: *0.742* | Acc: *77.950%* (7795/10000)
Train epoch: 21 | Loss: *0.182* | Acc: *93.704%* (46852/50000) 
Test epoch: 21 | Loss: *0.766* | Acc: *76.330%* (7633/10000)
Train epoch: 22 | Loss: *0.185* | Acc: *93.526%* (46763/50000) 
Test epoch: 22 | Loss: *0.672* | Acc: *79.150%* (7915/10000)
Train epoch: 23 | Loss: *0.179* | Acc: *93.988%* (46994/50000) 
Test epoch: 23 | Loss: *0.870* | Acc: *75.150%* (7515/10000)
Train epoch: 24 | Loss: *0.184* | Acc: *93.618%* (46809/50000) 
Test epoch: 24 | Loss: *0.814* | Acc: *75.960%* (7596/10000)
Train epoch: 25 | Loss: *0.179* | Acc: *93.698%* (46849/50000) 
Test epoch: 25 | Loss: *0.694* | Acc: *79.370%* (7937/10000)
Train epoch: 26 | Loss: *0.178* | Acc: *93.738%* (46869/50000) 
Test epoch: 26 | Loss: *0.778* | Acc: *76.890%* (7689/10000)
Train epoch: 27 | Loss: *0.179* | Acc: *93.738%* (46869/50000) 
Test epoch: 27 | Loss: *0.787* | Acc: *78.240%* (7824/10000)
Train epoch: 28 | Loss: *0.167* | Acc: *94.236%* (47118/50000) 
Test epoch: 28 | Loss: *0.947* | Acc: *74.480%* (7448/10000)
Train epoch: 29 | Loss: *0.181* | Acc: *93.806%* (46903/50000) 
Test epoch: 29 | Loss: *0.902* | Acc: *72.240%* (7224/10000)
Train epoch: 30 | Loss: *0.163* | Acc: *94.430%* (47215/50000) 
Test epoch: 30 | Loss: *0.953* | Acc: *73.900%* (7390/10000)
Train epoch: 31 | Loss: *0.174* | Acc: *94.116%* (47058/50000) 
Test epoch: 31 | Loss: *0.778* | Acc: *77.220%* (7722/10000)
Train epoch: 32 | Loss: *0.169* | Acc: *93.958%* (46979/50000) 
Test epoch: 32 | Loss: *0.824* | Acc: *75.510%* (7551/10000)
Train epoch: 33 | Loss: *0.167* | Acc: *94.210%* (47105/50000) 
Test epoch: 33 | Loss: *0.696* | Acc: *78.160%* (7816/10000)
Train epoch: 34 | Loss: *0.160* | Acc: *94.460%* (47230/50000) 
Test epoch: 34 | Loss: *0.854* | Acc: *77.230%* (7723/10000)
Train epoch: 35 | Loss: *0.162* | Acc: *94.456%* (47228/50000) 
Test epoch: 35 | Loss: *0.625* | Acc: *80.900%* (8090/10000)
Train epoch: 36 | Loss: *0.167* | Acc: *94.318%* (47159/50000) 
Test epoch: 36 | Loss: *0.743* | Acc: *78.520%* (7852/10000)
Train epoch: 37 | Loss: *0.154* | Acc: *94.650%* (47325/50000) 
Test epoch: 37 | Loss: *0.703* | Acc: *78.390%* (7839/10000)
Train epoch: 38 | Loss: *0.164* | Acc: *94.406%* (47203/50000) 
Test epoch: 38 | Loss: *0.770* | Acc: *76.930%* (7693/10000)
Train epoch: 39 | Loss: *0.159* | Acc: *94.602%* (47301/50000) 
Test epoch: 39 | Loss: *0.748* | Acc: *77.980%* (7798/10000)
Train epoch: 40 | Loss: *0.162* | Acc: *94.502%* (47251/50000) 
Test epoch: 40 | Loss: *0.793* | Acc: *77.740%* (7774/10000)
Train epoch: 41 | Loss: *0.159* | Acc: *94.574%* (47287/50000) 
Test epoch: 41 | Loss: *0.647* | Acc: *80.650%* (8065/10000)
Train epoch: 42 | Loss: *0.153* | Acc: *94.724%* (47362/50000) 
Test epoch: 42 | Loss: *1.372* | Acc: *68.220%* (6822/10000)
Train epoch: 43 | Loss: *0.159* | Acc: *94.592%* (47296/50000) 
Test epoch: 43 | Loss: *0.854* | Acc: *75.870%* (7587/10000)
Train epoch: 44 | Loss: *0.149* | Acc: *94.882%* (47441/50000) 
Test epoch: 44 | Loss: *0.666* | Acc: *79.650%* (7965/10000)
Train epoch: 45 | Loss: *0.151* | Acc: *94.898%* (47449/50000) 
Test epoch: 45 | Loss: *0.746* | Acc: *78.500%* (7850/10000)
Train epoch: 46 | Loss: *0.146* | Acc: *94.992%* (47496/50000) 
Test epoch: 46 | Loss: *0.706* | Acc: *79.200%* (7920/10000)
Train epoch: 47 | Loss: *0.150* | Acc: *94.764%* (47382/50000) 
Test epoch: 47 | Loss: *0.732* | Acc: *79.120%* (7912/10000)
Train epoch: 48 | Loss: *0.153* | Acc: *94.742%* (47371/50000) 
Test epoch: 48 | Loss: *0.817* | Acc: *77.110%* (7711/10000)
Train epoch: 49 | Loss: *0.142* | Acc: *95.226%* (47613/50000) 
Test epoch: 49 | Loss: *1.037* | Acc: *75.050%* (7505/10000)
Train epoch: 50 | Loss: *0.148* | Acc: *94.992%* (47496/50000) 
Test epoch: 50 | Loss: *0.986* | Acc: *73.560%* (7356/10000)
Train epoch: 51 | Loss: *0.151* | Acc: *94.826%* (47413/50000) 
Test epoch: 51 | Loss: *0.773* | Acc: *76.020%* (7602/10000)
Train epoch: 52 | Loss: *0.140* | Acc: *95.294%* (47647/50000) 
Test epoch: 52 | Loss: *0.942* | Acc: *75.290%* (7529/10000)
Train epoch: 53 | Loss: *0.142* | Acc: *95.146%* (47573/50000) 
Test epoch: 53 | Loss: *0.659* | Acc: *80.110%* (8011/10000)
Train epoch: 54 | Loss: *0.143* | Acc: *95.108%* (47554/50000) 
Test epoch: 54 | Loss: *0.813* | Acc: *78.010%* (7801/10000)
Train epoch: 55 | Loss: *0.139* | Acc: *95.268%* (47634/50000) 
Test epoch: 55 | Loss: *0.690* | Acc: *78.450%* (7845/10000)
Train epoch: 56 | Loss: *0.137* | Acc: *95.328%* (47664/50000) 
Test epoch: 56 | Loss: *0.705* | Acc: *79.600%* (7960/10000)
Train epoch: 57 | Loss: *0.138* | Acc: *95.204%* (47602/50000) 
Test epoch: 57 | Loss: *0.773* | Acc: *78.410%* (7841/10000)
Train epoch: 58 | Loss: *0.126* | Acc: *95.686%* (47843/50000) 
Test epoch: 58 | Loss: *1.012* | Acc: *74.120%* (7412/10000)
Train epoch: 59 | Loss: *0.140* | Acc: *95.172%* (47586/50000) 
Test epoch: 59 | Loss: *0.674* | Acc: *79.660%* (7966/10000)
Train epoch: 60 | Loss: *0.131* | Acc: *95.542%* (47771/50000) 
Test epoch: 60 | Loss: *0.940* | Acc: *73.280%* (7328/10000)
Train epoch: 61 | Loss: *0.134* | Acc: *95.494%* (47747/50000) 
Test epoch: 61 | Loss: *0.811* | Acc: *77.270%* (7727/10000)
Train epoch: 62 | Loss: *0.130* | Acc: *95.618%* (47809/50000) 
Test epoch: 62 | Loss: *0.734* | Acc: *79.050%* (7905/10000)
Train epoch: 63 | Loss: *0.129* | Acc: *95.584%* (47792/50000) 
Test epoch: 63 | Loss: *0.668* | Acc: *79.990%* (7999/10000)
Train epoch: 64 | Loss: *0.133* | Acc: *95.414%* (47707/50000) 
Test epoch: 64 | Loss: *0.838* | Acc: *76.870%* (7687/10000)
Train epoch: 65 | Loss: *0.124* | Acc: *95.672%* (47836/50000) 
Test epoch: 65 | Loss: *0.746* | Acc: *78.130%* (7813/10000)
Train epoch: 66 | Loss: *0.120* | Acc: *95.970%* (47985/50000) 
Test epoch: 66 | Loss: *0.708* | Acc: *79.820%* (7982/10000)
Train epoch: 67 | Loss: *0.122* | Acc: *95.856%* (47928/50000) 
Test epoch: 67 | Loss: *0.753* | Acc: *78.970%* (7897/10000)
Train epoch: 68 | Loss: *0.122* | Acc: *95.806%* (47903/50000) 
Test epoch: 68 | Loss: *0.672* | Acc: *80.030%* (8003/10000)
Train epoch: 69 | Loss: *0.120* | Acc: *95.888%* (47944/50000) 
Test epoch: 69 | Loss: *0.916* | Acc: *74.900%* (7490/10000)
Train epoch: 70 | Loss: *0.127* | Acc: *95.594%* (47797/50000) 
Test epoch: 70 | Loss: *0.774* | Acc: *78.400%* (7840/10000)
Train epoch: 71 | Loss: *0.109* | Acc: *96.258%* (48129/50000) 
Test epoch: 71 | Loss: *1.153* | Acc: *69.890%* (6989/10000)
Train epoch: 72 | Loss: *0.117* | Acc: *96.012%* (48006/50000) 
Test epoch: 72 | Loss: *0.719* | Acc: *79.540%* (7954/10000)
Train epoch: 73 | Loss: *0.114* | Acc: *96.094%* (48047/50000) 
Test epoch: 73 | Loss: *0.831* | Acc: *77.200%* (7720/10000)
Train epoch: 74 | Loss: *0.113* | Acc: *96.186%* (48093/50000) 
Test epoch: 74 | Loss: *0.690* | Acc: *80.020%* (8002/10000)
Train epoch: 75 | Loss: *0.110* | Acc: *96.254%* (48127/50000) 
Test epoch: 75 | Loss: *0.725* | Acc: *80.080%* (8008/10000)
Train epoch: 76 | Loss: *0.113* | Acc: *96.108%* (48054/50000) 
Test epoch: 76 | Loss: *1.037* | Acc: *74.570%* (7457/10000)
Train epoch: 77 | Loss: *0.109* | Acc: *96.318%* (48159/50000) 
Test epoch: 77 | Loss: *0.645* | Acc: *81.140%* (8114/10000)
Train epoch: 78 | Loss: *0.101* | Acc: *96.608%* (48304/50000) 
Test epoch: 78 | Loss: *0.679* | Acc: *80.570%* (8057/10000)
Train epoch: 79 | Loss: *0.104* | Acc: *96.576%* (48288/50000) 
Test epoch: 79 | Loss: *1.039* | Acc: *73.630%* (7363/10000)
Train epoch: 80 | Loss: *0.099* | Acc: *96.660%* (48330/50000) 
Test epoch: 80 | Loss: *0.872* | Acc: *78.080%* (7808/10000)
Train epoch: 81 | Loss: *0.108* | Acc: *96.330%* (48165/50000) 
Test epoch: 81 | Loss: *0.960* | Acc: *75.310%* (7531/10000)
Train epoch: 82 | Loss: *0.094* | Acc: *96.928%* (48464/50000) 
Test epoch: 82 | Loss: *0.676* | Acc: *80.390%* (8039/10000)
Train epoch: 83 | Loss: *0.098* | Acc: *96.686%* (48343/50000) 
Test epoch: 83 | Loss: *0.773* | Acc: *78.980%* (7898/10000)
Train epoch: 84 | Loss: *0.098* | Acc: *96.708%* (48354/50000) 
Test epoch: 84 | Loss: *0.816* | Acc: *78.640%* (7864/10000)
Train epoch: 85 | Loss: *0.103* | Acc: *96.620%* (48310/50000) 
Test epoch: 85 | Loss: *0.831* | Acc: *76.630%* (7663/10000)
Train epoch: 86 | Loss: *0.088* | Acc: *97.142%* (48571/50000) 
Test epoch: 86 | Loss: *0.897* | Acc: *76.760%* (7676/10000)
Train epoch: 87 | Loss: *0.090* | Acc: *96.962%* (48481/50000) 
Test epoch: 87 | Loss: *0.984* | Acc: *74.410%* (7441/10000)
Train epoch: 88 | Loss: *0.103* | Acc: *96.462%* (48231/50000) 
Test epoch: 88 | Loss: *0.865* | Acc: *77.080%* (7708/10000)
Train epoch: 89 | Loss: *0.088* | Acc: *97.022%* (48511/50000) 
Test epoch: 89 | Loss: *0.811* | Acc: *78.780%* (7878/10000)
Train epoch: 90 | Loss: *0.068* | Acc: *97.876%* (48938/50000) 
Test epoch: 90 | Loss: *0.820* | Acc: *79.880%* (7988/10000)
Train epoch: 91 | Loss: *0.107* | Acc: *96.464%* (48232/50000) 
Test epoch: 91 | Loss: *0.649* | Acc: *81.290%* (8129/10000)
Train epoch: 92 | Loss: *0.075* | Acc: *97.570%* (48785/50000) 
Test epoch: 92 | Loss: *0.763* | Acc: *78.910%* (7891/10000)
Train epoch: 93 | Loss: *0.082* | Acc: *97.302%* (48651/50000) 
Test epoch: 93 | Loss: *0.915* | Acc: *75.570%* (7557/10000)
Train epoch: 94 | Loss: *0.082* | Acc: *97.354%* (48677/50000) 
Test epoch: 94 | Loss: *0.710* | Acc: *79.610%* (7961/10000)
Train epoch: 95 | Loss: *0.085* | Acc: *97.174%* (48587/50000) 
Test epoch: 95 | Loss: *0.816* | Acc: *78.680%* (7868/10000)
Train epoch: 96 | Loss: *0.077* | Acc: *97.408%* (48704/50000) 
Test epoch: 96 | Loss: *0.778* | Acc: *77.950%* (7795/10000)
Train epoch: 97 | Loss: *0.067* | Acc: *97.876%* (48938/50000) 
Test epoch: 97 | Loss: *0.854* | Acc: *77.730%* (7773/10000)
Train epoch: 98 | Loss: *0.089* | Acc: *96.974%* (48487/50000) 
Test epoch: 98 | Loss: *0.743* | Acc: *79.810%* (7981/10000)
Train epoch: 99 | Loss: *0.072* | Acc: *97.646%* (48823/50000) 
Test epoch: 99 | Loss: *0.706* | Acc: *80.830%* (8083/10000)
Train epoch: 100 | Loss: *0.065* | Acc: *97.854%* (48927/50000) 
Test epoch: 100 | Loss: *0.793* | Acc: *79.060%* (7906/10000)
Train epoch: 101 | Loss: *0.075* | Acc: *97.478%* (48739/50000) 
Test epoch: 101 | Loss: *0.757* | Acc: *80.050%* (8005/10000)
Train epoch: 102 | Loss: *0.067* | Acc: *97.774%* (48887/50000) 
Test epoch: 102 | Loss: *0.804* | Acc: *78.670%* (7867/10000)
Train epoch: 103 | Loss: *0.061* | Acc: *98.072%* (49036/50000) 
Test epoch: 103 | Loss: *0.753* | Acc: *81.120%* (8112/10000)
Train epoch: 104 | Loss: *0.072* | Acc: *97.582%* (48791/50000) 
Test epoch: 104 | Loss: *0.820* | Acc: *78.530%* (7853/10000)
Train epoch: 105 | Loss: *0.070* | Acc: *97.622%* (48811/50000) 
Test epoch: 105 | Loss: *0.982* | Acc: *75.930%* (7593/10000)
Train epoch: 106 | Loss: *0.062* | Acc: *97.980%* (48990/50000) 
Test epoch: 106 | Loss: *0.670* | Acc: *81.780%* (8178/10000)
Train epoch: 107 | Loss: *0.042* | Acc: *98.764%* (49382/50000) 
Test epoch: 107 | Loss: *0.634* | Acc: *82.270%* (8227/10000)
Train epoch: 108 | Loss: *0.031* | Acc: *99.152%* (49576/50000) 
Test epoch: 108 | Loss: *0.789* | Acc: *79.440%* (7944/10000)
Train epoch: 109 | Loss: *0.056* | Acc: *98.208%* (49104/50000) 
Test epoch: 109 | Loss: *0.804* | Acc: *77.550%* (7755/10000)
Train epoch: 110 | Loss: *0.085* | Acc: *97.190%* (48595/50000) 
Test epoch: 110 | Loss: *0.744* | Acc: *80.370%* (8037/10000)
Train epoch: 111 | Loss: *0.068* | Acc: *97.814%* (48907/50000) 
Test epoch: 111 | Loss: *0.693* | Acc: *80.560%* (8056/10000)
Train epoch: 112 | Loss: *0.031* | Acc: *99.184%* (49592/50000) 
Test epoch: 112 | Loss: *0.628* | Acc: *82.640%* (8264/10000)
Train epoch: 113 | Loss: *0.011* | Acc: *99.832%* (49916/50000) 
Test epoch: 113 | Loss: *0.502* | Acc: *85.640%* (8564/10000)
Train epoch: 114 | Loss: *0.004* | Acc: *99.972%* (49986/50000) 
Test epoch: 114 | Loss: *0.419* | Acc: *87.270%* (8727/10000)
Train epoch: 115 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 115 | Loss: *0.401* | Acc: *87.710%* (8771/10000)
Train epoch: 116 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 116 | Loss: *0.383* | Acc: *88.000%* (8800/10000)
Train epoch: 117 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 117 | Loss: *0.376* | Acc: *87.940%* (8794/10000)
Train epoch: 118 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 118 | Loss: *0.370* | Acc: *88.150%* (8815/10000)
Train epoch: 119 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 119 | Loss: *0.366* | Acc: *88.180%* (8818/10000)
Train epoch: 120 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
