==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 11x11, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 5, Residual layer conv padding: 1
==> Optimizer is SGD
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4998730
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.717* | Acc: *36.440%* (18220/50000) 
Test epoch: 1 | Loss: *1.487* | Acc: *44.430%* (4443/10000)
Train epoch: 2 | Loss: *1.351* | Acc: *50.640%* (25320/50000) 
Test epoch: 2 | Loss: *1.343* | Acc: *51.530%* (5153/10000)
Train epoch: 3 | Loss: *1.066* | Acc: *61.714%* (30857/50000) 
Test epoch: 3 | Loss: *1.206* | Acc: *59.530%* (5953/10000)
Train epoch: 4 | Loss: *0.852* | Acc: *70.010%* (35005/50000) 
Test epoch: 4 | Loss: *0.875* | Acc: *69.890%* (6989/10000)
Train epoch: 5 | Loss: *0.721* | Acc: *75.010%* (37505/50000) 
Test epoch: 5 | Loss: *0.732* | Acc: *74.330%* (7433/10000)
Train epoch: 6 | Loss: *0.643* | Acc: *77.796%* (38898/50000) 
Test epoch: 6 | Loss: *0.914* | Acc: *72.070%* (7207/10000)
Train epoch: 7 | Loss: *0.589* | Acc: *79.496%* (39748/50000) 
Test epoch: 7 | Loss: *0.663* | Acc: *77.490%* (7749/10000)
Train epoch: 8 | Loss: *0.552* | Acc: *80.886%* (40443/50000) 
Test epoch: 8 | Loss: *0.641* | Acc: *77.950%* (7795/10000)
Train epoch: 9 | Loss: *0.530* | Acc: *81.808%* (40904/50000) 
Test epoch: 9 | Loss: *0.859* | Acc: *72.630%* (7263/10000)
Train epoch: 10 | Loss: *0.502* | Acc: *82.762%* (41381/50000) 
Test epoch: 10 | Loss: *0.598* | Acc: *79.920%* (7992/10000)
Train epoch: 11 | Loss: *0.489* | Acc: *82.998%* (41499/50000) 
Test epoch: 11 | Loss: *0.834* | Acc: *72.730%* (7273/10000)
Train epoch: 12 | Loss: *0.475* | Acc: *83.688%* (41844/50000) 
Test epoch: 12 | Loss: *0.990* | Acc: *69.930%* (6993/10000)
Train epoch: 13 | Loss: *0.459* | Acc: *84.274%* (42137/50000) 
Test epoch: 13 | Loss: *0.825* | Acc: *74.230%* (7423/10000)
Train epoch: 14 | Loss: *0.452* | Acc: *84.468%* (42234/50000) 
Test epoch: 14 | Loss: *0.545* | Acc: *81.360%* (8136/10000)
Train epoch: 15 | Loss: *0.442* | Acc: *84.652%* (42326/50000) 
Test epoch: 15 | Loss: *0.803* | Acc: *74.870%* (7487/10000)
Train epoch: 16 | Loss: *0.438* | Acc: *84.824%* (42412/50000) 
Test epoch: 16 | Loss: *0.493* | Acc: *83.640%* (8364/10000)
Train epoch: 17 | Loss: *0.432* | Acc: *84.972%* (42486/50000) 
Test epoch: 17 | Loss: *0.635* | Acc: *79.260%* (7926/10000)
Train epoch: 18 | Loss: *0.422* | Acc: *85.504%* (42752/50000) 
Test epoch: 18 | Loss: *0.511* | Acc: *82.830%* (8283/10000)
Train epoch: 19 | Loss: *0.417* | Acc: *85.552%* (42776/50000) 
Test epoch: 19 | Loss: *0.536* | Acc: *81.530%* (8153/10000)
Train epoch: 20 | Loss: *0.404* | Acc: *86.098%* (43049/50000) 
Test epoch: 20 | Loss: *0.455* | Acc: *84.840%* (8484/10000)
Train epoch: 21 | Loss: *0.404* | Acc: *85.954%* (42977/50000) 
Test epoch: 21 | Loss: *0.569* | Acc: *80.860%* (8086/10000)
Train epoch: 22 | Loss: *0.402* | Acc: *86.104%* (43052/50000) 
Test epoch: 22 | Loss: *0.665* | Acc: *78.620%* (7862/10000)
Train epoch: 23 | Loss: *0.395* | Acc: *86.468%* (43234/50000) 
Test epoch: 23 | Loss: *0.448* | Acc: *84.780%* (8478/10000)
Train epoch: 24 | Loss: *0.391* | Acc: *86.484%* (43242/50000) 
Test epoch: 24 | Loss: *0.579* | Acc: *81.260%* (8126/10000)
Train epoch: 25 | Loss: *0.395* | Acc: *86.496%* (43248/50000) 
Test epoch: 25 | Loss: *0.642* | Acc: *79.600%* (7960/10000)
Train epoch: 26 | Loss: *0.390* | Acc: *86.586%* (43293/50000) 
Test epoch: 26 | Loss: *0.519* | Acc: *82.480%* (8248/10000)
Train epoch: 27 | Loss: *0.384* | Acc: *86.722%* (43361/50000) 
Test epoch: 27 | Loss: *0.617* | Acc: *80.360%* (8036/10000)
Train epoch: 28 | Loss: *0.383* | Acc: *86.920%* (43460/50000) 
Test epoch: 28 | Loss: *0.534* | Acc: *82.930%* (8293/10000)
Train epoch: 29 | Loss: *0.380* | Acc: *86.810%* (43405/50000) 
Test epoch: 29 | Loss: *0.621* | Acc: *79.700%* (7970/10000)
Train epoch: 30 | Loss: *0.375* | Acc: *87.040%* (43520/50000) 
Test epoch: 30 | Loss: *0.555* | Acc: *82.580%* (8258/10000)
Train epoch: 31 | Loss: *0.373* | Acc: *87.142%* (43571/50000) 
Test epoch: 31 | Loss: *0.565* | Acc: *81.290%* (8129/10000)
Train epoch: 32 | Loss: *0.372* | Acc: *87.314%* (43657/50000) 
Test epoch: 32 | Loss: *1.340* | Acc: *68.070%* (6807/10000)
Train epoch: 33 | Loss: *0.372* | Acc: *87.130%* (43565/50000) 
Test epoch: 33 | Loss: *0.553* | Acc: *81.630%* (8163/10000)
Train epoch: 34 | Loss: *0.368* | Acc: *87.328%* (43664/50000) 
Test epoch: 34 | Loss: *0.573* | Acc: *81.370%* (8137/10000)
Train epoch: 35 | Loss: *0.363* | Acc: *87.516%* (43758/50000) 
Test epoch: 35 | Loss: *0.515* | Acc: *82.800%* (8280/10000)
Train epoch: 36 | Loss: *0.364* | Acc: *87.426%* (43713/50000) 
Test epoch: 36 | Loss: *0.553* | Acc: *82.130%* (8213/10000)
Train epoch: 37 | Loss: *0.358* | Acc: *87.850%* (43925/50000) 
Test epoch: 37 | Loss: *0.760* | Acc: *77.380%* (7738/10000)
Train epoch: 38 | Loss: *0.357* | Acc: *87.662%* (43831/50000) 
Test epoch: 38 | Loss: *0.531* | Acc: *82.790%* (8279/10000)
Train epoch: 39 | Loss: *0.358* | Acc: *87.824%* (43912/50000) 
Test epoch: 39 | Loss: *0.543* | Acc: *81.300%* (8130/10000)
Train epoch: 40 | Loss: *0.356* | Acc: *87.780%* (43890/50000) 
Test epoch: 40 | Loss: *0.528* | Acc: *82.680%* (8268/10000)
Train epoch: 41 | Loss: *0.353* | Acc: *87.790%* (43895/50000) 
Test epoch: 41 | Loss: *0.443* | Acc: *84.790%* (8479/10000)
Train epoch: 42 | Loss: *0.351* | Acc: *87.956%* (43978/50000) 
Test epoch: 42 | Loss: *0.616* | Acc: *79.800%* (7980/10000)
Train epoch: 43 | Loss: *0.347* | Acc: *88.264%* (44132/50000) 
Test epoch: 43 | Loss: *0.487* | Acc: *84.260%* (8426/10000)
Train epoch: 44 | Loss: *0.342* | Acc: *88.242%* (44121/50000) 
Test epoch: 44 | Loss: *0.804* | Acc: *76.570%* (7657/10000)
Train epoch: 45 | Loss: *0.344* | Acc: *88.322%* (44161/50000) 
Test epoch: 45 | Loss: *0.536* | Acc: *82.570%* (8257/10000)
Train epoch: 46 | Loss: *0.348* | Acc: *88.178%* (44089/50000) 
Test epoch: 46 | Loss: *0.679* | Acc: *79.040%* (7904/10000)
Train epoch: 47 | Loss: *0.343* | Acc: *88.208%* (44104/50000) 
Test epoch: 47 | Loss: *0.509* | Acc: *83.490%* (8349/10000)
Train epoch: 48 | Loss: *0.339* | Acc: *88.330%* (44165/50000) 
Test epoch: 48 | Loss: *0.593* | Acc: *80.880%* (8088/10000)
