==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 11x11, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 5, Residual layer conv padding: 1
==> Optimizer is SGD
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4998730
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.613* | Acc: *40.826%* (20413/50000) 
Test epoch: 1 | Loss: *1.646* | Acc: *39.740%* (3974/10000)
Train epoch: 2 | Loss: *1.237* | Acc: *55.420%* (27710/50000) 
Test epoch: 2 | Loss: *1.246* | Acc: *56.010%* (5601/10000)
Train epoch: 3 | Loss: *0.945* | Acc: *66.068%* (33034/50000) 
Test epoch: 3 | Loss: *0.916* | Acc: *68.340%* (6834/10000)
Train epoch: 4 | Loss: *0.725* | Acc: *74.540%* (37270/50000) 
Test epoch: 4 | Loss: *0.777* | Acc: *72.250%* (7225/10000)
Train epoch: 5 | Loss: *0.590* | Acc: *79.370%* (39685/50000) 
Test epoch: 5 | Loss: *0.715* | Acc: *74.470%* (7447/10000)
Train epoch: 6 | Loss: *0.502* | Acc: *82.622%* (41311/50000) 
Test epoch: 6 | Loss: *0.698* | Acc: *76.340%* (7634/10000)
Train epoch: 7 | Loss: *0.428* | Acc: *85.162%* (42581/50000) 
Test epoch: 7 | Loss: *0.797* | Acc: *72.880%* (7288/10000)
Train epoch: 8 | Loss: *0.380* | Acc: *86.772%* (43386/50000) 
Test epoch: 8 | Loss: *0.640* | Acc: *77.820%* (7782/10000)
Train epoch: 9 | Loss: *0.336* | Acc: *88.332%* (44166/50000) 
Test epoch: 9 | Loss: *0.658* | Acc: *77.800%* (7780/10000)
Train epoch: 10 | Loss: *0.311* | Acc: *89.140%* (44570/50000) 
Test epoch: 10 | Loss: *0.811* | Acc: *73.840%* (7384/10000)
Train epoch: 11 | Loss: *0.285* | Acc: *90.254%* (45127/50000) 
Test epoch: 11 | Loss: *0.965* | Acc: *71.680%* (7168/10000)
Train epoch: 12 | Loss: *0.264* | Acc: *90.798%* (45399/50000) 
Test epoch: 12 | Loss: *0.749* | Acc: *76.430%* (7643/10000)
Train epoch: 13 | Loss: *0.249* | Acc: *91.250%* (45625/50000) 
Test epoch: 13 | Loss: *0.688* | Acc: *77.110%* (7711/10000)
Train epoch: 14 | Loss: *0.231* | Acc: *92.014%* (46007/50000) 
Test epoch: 14 | Loss: *0.787* | Acc: *76.760%* (7676/10000)
Train epoch: 15 | Loss: *0.229* | Acc: *92.130%* (46065/50000) 
Test epoch: 15 | Loss: *0.670* | Acc: *78.920%* (7892/10000)
Train epoch: 16 | Loss: *0.218* | Acc: *92.466%* (46233/50000) 
Test epoch: 16 | Loss: *0.797* | Acc: *76.070%* (7607/10000)
Train epoch: 17 | Loss: *0.217* | Acc: *92.496%* (46248/50000) 
Test epoch: 17 | Loss: *0.944* | Acc: *72.630%* (7263/10000)
Train epoch: 18 | Loss: *0.207* | Acc: *92.802%* (46401/50000) 
Test epoch: 18 | Loss: *0.743* | Acc: *77.350%* (7735/10000)
Train epoch: 19 | Loss: *0.212* | Acc: *92.618%* (46309/50000) 
Test epoch: 19 | Loss: *0.756* | Acc: *77.760%* (7776/10000)
Train epoch: 20 | Loss: *0.201* | Acc: *93.008%* (46504/50000) 
Test epoch: 20 | Loss: *0.752* | Acc: *78.020%* (7802/10000)
Train epoch: 21 | Loss: *0.195* | Acc: *93.232%* (46616/50000) 
Test epoch: 21 | Loss: *0.850* | Acc: *73.810%* (7381/10000)
Train epoch: 22 | Loss: *0.198* | Acc: *93.148%* (46574/50000) 
Test epoch: 22 | Loss: *0.827* | Acc: *75.720%* (7572/10000)
Train epoch: 23 | Loss: *0.189* | Acc: *93.496%* (46748/50000) 
Test epoch: 23 | Loss: *0.841* | Acc: *75.140%* (7514/10000)
Train epoch: 24 | Loss: *0.190* | Acc: *93.534%* (46767/50000) 
Test epoch: 24 | Loss: *0.680* | Acc: *78.030%* (7803/10000)
Train epoch: 25 | Loss: *0.201* | Acc: *92.904%* (46452/50000) 
Test epoch: 25 | Loss: *0.720* | Acc: *78.310%* (7831/10000)
Train epoch: 26 | Loss: *0.185* | Acc: *93.754%* (46877/50000) 
Test epoch: 26 | Loss: *0.681* | Acc: *78.950%* (7895/10000)
Train epoch: 27 | Loss: *0.187* | Acc: *93.466%* (46733/50000) 
Test epoch: 27 | Loss: *1.010* | Acc: *69.140%* (6914/10000)
Train epoch: 28 | Loss: *0.188* | Acc: *93.494%* (46747/50000) 
Test epoch: 28 | Loss: *0.898* | Acc: *75.010%* (7501/10000)
Train epoch: 29 | Loss: *0.181* | Acc: *93.704%* (46852/50000) 
Test epoch: 29 | Loss: *0.774* | Acc: *77.350%* (7735/10000)
Train epoch: 30 | Loss: *0.180* | Acc: *93.828%* (46914/50000) 
Test epoch: 30 | Loss: *0.816* | Acc: *76.830%* (7683/10000)
Train epoch: 31 | Loss: *0.185* | Acc: *93.534%* (46767/50000) 
Test epoch: 31 | Loss: *0.731* | Acc: *77.780%* (7778/10000)
Train epoch: 32 | Loss: *0.177* | Acc: *93.880%* (46940/50000) 
Test epoch: 32 | Loss: *0.885* | Acc: *75.460%* (7546/10000)
Train epoch: 33 | Loss: *0.174* | Acc: *94.066%* (47033/50000) 
Test epoch: 33 | Loss: *0.972* | Acc: *72.950%* (7295/10000)
Train epoch: 34 | Loss: *0.179* | Acc: *93.868%* (46934/50000) 
Test epoch: 34 | Loss: *0.769* | Acc: *77.580%* (7758/10000)
Train epoch: 35 | Loss: *0.169* | Acc: *94.160%* (47080/50000) 
Test epoch: 35 | Loss: *0.699* | Acc: *79.680%* (7968/10000)
Train epoch: 36 | Loss: *0.182* | Acc: *93.666%* (46833/50000) 
Test epoch: 36 | Loss: *0.822* | Acc: *75.960%* (7596/10000)
Train epoch: 37 | Loss: *0.170* | Acc: *94.172%* (47086/50000) 
Test epoch: 37 | Loss: *0.720* | Acc: *77.440%* (7744/10000)
Train epoch: 38 | Loss: *0.169* | Acc: *94.214%* (47107/50000) 
Test epoch: 38 | Loss: *0.795* | Acc: *76.730%* (7673/10000)
Train epoch: 39 | Loss: *0.168* | Acc: *94.308%* (47154/50000) 
Test epoch: 39 | Loss: *0.852* | Acc: *74.620%* (7462/10000)
Train epoch: 40 | Loss: *0.175* | Acc: *93.972%* (46986/50000) 
Test epoch: 40 | Loss: *0.730* | Acc: *78.840%* (7884/10000)
Train epoch: 41 | Loss: *0.161* | Acc: *94.490%* (47245/50000) 
Test epoch: 41 | Loss: *0.690* | Acc: *79.540%* (7954/10000)
Train epoch: 42 | Loss: *0.161* | Acc: *94.374%* (47187/50000) 
Test epoch: 42 | Loss: *1.042* | Acc: *72.470%* (7247/10000)
Train epoch: 43 | Loss: *0.172* | Acc: *93.974%* (46987/50000) 
Test epoch: 43 | Loss: *0.907* | Acc: *74.640%* (7464/10000)
Train epoch: 44 | Loss: *0.165* | Acc: *94.310%* (47155/50000) 
Test epoch: 44 | Loss: *0.847* | Acc: *74.590%* (7459/10000)
Train epoch: 45 | Loss: *0.162* | Acc: *94.432%* (47216/50000) 
Test epoch: 45 | Loss: *1.066* | Acc: *72.280%* (7228/10000)
Train epoch: 46 | Loss: *0.158* | Acc: *94.586%* (47293/50000) 
Test epoch: 46 | Loss: *1.004* | Acc: *72.040%* (7204/10000)
Train epoch: 47 | Loss: *0.158* | Acc: *94.598%* (47299/50000) 
Test epoch: 47 | Loss: *0.774* | Acc: *78.430%* (7843/10000)
Train epoch: 48 | Loss: *0.162* | Acc: *94.460%* (47230/50000) 
Test epoch: 48 | Loss: *0.780* | Acc: *76.900%* (7690/10000)
Train epoch: 49 | Loss: *0.155* | Acc: *94.776%* (47388/50000) 
Test epoch: 49 | Loss: *0.811* | Acc: *76.250%* (7625/10000)
Train epoch: 50 | Loss: *0.152* | Acc: *94.738%* (47369/50000) 
Test epoch: 50 | Loss: *0.852* | Acc: *74.960%* (7496/10000)
Train epoch: 51 | Loss: *0.158* | Acc: *94.524%* (47262/50000) 
