==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 3x3, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 1, Residual layer conv padding: 1
==> Optimizer is SGD with Nesterov
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4977226
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.470* | Acc: *46.662%* (23331/50000) 
Test epoch: 1 | Loss: *1.415* | Acc: *50.780%* (5078/10000)
Train epoch: 2 | Loss: *0.907* | Acc: *67.828%* (33914/50000) 
Test epoch: 2 | Loss: *0.848* | Acc: *70.180%* (7018/10000)
Train epoch: 3 | Loss: *0.683* | Acc: *75.932%* (37966/50000) 
Test epoch: 3 | Loss: *0.796* | Acc: *72.630%* (7263/10000)
Train epoch: 4 | Loss: *0.540* | Acc: *80.966%* (40483/50000) 
Test epoch: 4 | Loss: *0.757* | Acc: *72.900%* (7290/10000)
Train epoch: 5 | Loss: *0.440* | Acc: *84.598%* (42299/50000) 
Test epoch: 5 | Loss: *0.874* | Acc: *71.730%* (7173/10000)
Train epoch: 6 | Loss: *0.377* | Acc: *86.866%* (43433/50000) 
Test epoch: 6 | Loss: *0.824* | Acc: *73.130%* (7313/10000)
Train epoch: 7 | Loss: *0.326* | Acc: *88.824%* (44412/50000) 
Test epoch: 7 | Loss: *0.772* | Acc: *75.590%* (7559/10000)
Train epoch: 8 | Loss: *0.287* | Acc: *90.132%* (45066/50000) 
Test epoch: 8 | Loss: *0.745* | Acc: *76.120%* (7612/10000)
Train epoch: 9 | Loss: *0.260* | Acc: *90.944%* (45472/50000) 
Test epoch: 9 | Loss: *0.625* | Acc: *79.670%* (7967/10000)
Train epoch: 10 | Loss: *0.239* | Acc: *91.788%* (45894/50000) 
Test epoch: 10 | Loss: *0.762* | Acc: *77.720%* (7772/10000)
Train epoch: 11 | Loss: *0.219* | Acc: *92.332%* (46166/50000) 
Test epoch: 11 | Loss: *0.710* | Acc: *78.230%* (7823/10000)
Train epoch: 12 | Loss: *0.202* | Acc: *93.058%* (46529/50000) 
Test epoch: 12 | Loss: *0.634* | Acc: *80.480%* (8048/10000)
Train epoch: 13 | Loss: *0.201* | Acc: *93.162%* (46581/50000) 
Test epoch: 13 | Loss: *0.882* | Acc: *73.530%* (7353/10000)
Train epoch: 14 | Loss: *0.190* | Acc: *93.422%* (46711/50000) 
Test epoch: 14 | Loss: *0.785* | Acc: *78.070%* (7807/10000)
Train epoch: 15 | Loss: *0.182* | Acc: *93.772%* (46886/50000) 
Test epoch: 15 | Loss: *0.630* | Acc: *80.200%* (8020/10000)
Train epoch: 16 | Loss: *0.182* | Acc: *93.710%* (46855/50000) 
Test epoch: 16 | Loss: *0.673* | Acc: *79.260%* (7926/10000)
Train epoch: 17 | Loss: *0.181* | Acc: *93.696%* (46848/50000) 
