==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 3x3, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 1, Residual layer conv padding: 1
==> Optimizer is SGD
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4977226
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.588* | Acc: *41.402%* (20701/50000) 
Test epoch: 1 | Loss: *1.472* | Acc: *50.140%* (5014/10000)
Train epoch: 2 | Loss: *1.103* | Acc: *60.584%* (30292/50000) 
Test epoch: 2 | Loss: *1.395* | Acc: *53.150%* (5315/10000)
Train epoch: 3 | Loss: *0.890* | Acc: *68.498%* (34249/50000) 
Test epoch: 3 | Loss: *0.919* | Acc: *68.180%* (6818/10000)
Train epoch: 4 | Loss: *0.754* | Acc: *73.508%* (36754/50000) 
Test epoch: 4 | Loss: *1.022* | Acc: *65.270%* (6527/10000)
Train epoch: 5 | Loss: *0.647* | Acc: *77.430%* (38715/50000) 
Test epoch: 5 | Loss: *0.735* | Acc: *75.220%* (7522/10000)
Train epoch: 6 | Loss: *0.580* | Acc: *80.036%* (40018/50000) 
Test epoch: 6 | Loss: *0.779* | Acc: *73.080%* (7308/10000)
Train epoch: 7 | Loss: *0.534* | Acc: *81.580%* (40790/50000) 
Test epoch: 7 | Loss: *0.640* | Acc: *78.470%* (7847/10000)
Train epoch: 8 | Loss: *0.506* | Acc: *82.712%* (41356/50000) 
Test epoch: 8 | Loss: *0.694* | Acc: *77.490%* (7749/10000)
Train epoch: 9 | Loss: *0.483* | Acc: *83.406%* (41703/50000) 
Test epoch: 9 | Loss: *0.584* | Acc: *79.900%* (7990/10000)
Train epoch: 10 | Loss: *0.464* | Acc: *84.032%* (42016/50000) 
Test epoch: 10 | Loss: *0.506* | Acc: *82.710%* (8271/10000)
Train epoch: 11 | Loss: *0.444* | Acc: *84.704%* (42352/50000) 
Test epoch: 11 | Loss: *0.571* | Acc: *80.910%* (8091/10000)
Train epoch: 12 | Loss: *0.430* | Acc: *85.280%* (42640/50000) 
Test epoch: 12 | Loss: *0.684* | Acc: *77.380%* (7738/10000)
Train epoch: 13 | Loss: *0.418* | Acc: *85.784%* (42892/50000) 
Test epoch: 13 | Loss: *0.652* | Acc: *77.480%* (7748/10000)
Train epoch: 14 | Loss: *0.410* | Acc: *85.800%* (42900/50000) 
Test epoch: 14 | Loss: *0.492* | Acc: *83.880%* (8388/10000)
Train epoch: 15 | Loss: *0.405* | Acc: *86.006%* (43003/50000) 
Test epoch: 15 | Loss: *0.547* | Acc: *81.410%* (8141/10000)
Train epoch: 16 | Loss: *0.396* | Acc: *86.392%* (43196/50000) 
Test epoch: 16 | Loss: *0.576* | Acc: *81.760%* (8176/10000)
Train epoch: 17 | Loss: *0.386* | Acc: *86.946%* (43473/50000) 
Test epoch: 17 | Loss: *0.454* | Acc: *84.470%* (8447/10000)
Train epoch: 18 | Loss: *0.375* | Acc: *87.162%* (43581/50000) 
Test epoch: 18 | Loss: *0.685* | Acc: *79.070%* (7907/10000)
Train epoch: 19 | Loss: *0.370* | Acc: *87.186%* (43593/50000) 
