==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 7x7, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 1, Residual layer conv padding: 1
==> Optimizer is Adadelta
==> Learning rate: 1.0
==> Weight decay: 0.0005
==>Trainable Parameters: 4984906
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.687* | Acc: *37.274%* (18637/50000) 
Test epoch: 1 | Loss: *1.906* | Acc: *38.570%* (3857/10000)
Train epoch: 2 | Loss: *1.289* | Acc: *53.054%* (26527/50000) 
Test epoch: 2 | Loss: *1.474* | Acc: *51.500%* (5150/10000)
Train epoch: 3 | Loss: *1.052* | Acc: *62.466%* (31233/50000) 
Test epoch: 3 | Loss: *1.269* | Acc: *56.350%* (5635/10000)
Train epoch: 4 | Loss: *0.889* | Acc: *68.714%* (34357/50000) 
Test epoch: 4 | Loss: *0.881* | Acc: *68.540%* (6854/10000)
Train epoch: 5 | Loss: *0.756* | Acc: *73.650%* (36825/50000) 
Test epoch: 5 | Loss: *0.953* | Acc: *66.710%* (6671/10000)
Train epoch: 6 | Loss: *0.666* | Acc: *76.712%* (38356/50000) 
Test epoch: 6 | Loss: *0.843* | Acc: *72.650%* (7265/10000)
Train epoch: 7 | Loss: *0.603* | Acc: *78.946%* (39473/50000) 
Test epoch: 7 | Loss: *1.601* | Acc: *57.840%* (5784/10000)
Train epoch: 8 | Loss: *0.554* | Acc: *80.790%* (40395/50000) 
Test epoch: 8 | Loss: *0.832* | Acc: *71.940%* (7194/10000)
Train epoch: 9 | Loss: *0.516* | Acc: *82.066%* (41033/50000) 
Test epoch: 9 | Loss: *0.706* | Acc: *76.230%* (7623/10000)
Train epoch: 10 | Loss: *0.488* | Acc: *83.120%* (41560/50000) 
Test epoch: 10 | Loss: *0.544* | Acc: *81.520%* (8152/10000)
Train epoch: 11 | Loss: *0.465* | Acc: *83.792%* (41896/50000) 
Test epoch: 11 | Loss: *0.762* | Acc: *73.940%* (7394/10000)
Train epoch: 12 | Loss: *0.447* | Acc: *84.628%* (42314/50000) 
Test epoch: 12 | Loss: *0.587* | Acc: *80.400%* (8040/10000)
Train epoch: 13 | Loss: *0.431* | Acc: *85.042%* (42521/50000) 
Test epoch: 13 | Loss: *0.641* | Acc: *78.850%* (7885/10000)
Train epoch: 14 | Loss: *0.414* | Acc: *85.614%* (42807/50000) 
Test epoch: 14 | Loss: *0.707* | Acc: *77.070%* (7707/10000)
Train epoch: 15 | Loss: *0.405* | Acc: *86.028%* (43014/50000) 
Test epoch: 15 | Loss: *0.632* | Acc: *78.980%* (7898/10000)
Train epoch: 16 | Loss: *0.388* | Acc: *86.610%* (43305/50000) 
Test epoch: 16 | Loss: *0.752* | Acc: *76.530%* (7653/10000)
Train epoch: 17 | Loss: *0.386* | Acc: *86.720%* (43360/50000) 
Test epoch: 17 | Loss: *0.492* | Acc: *83.100%* (8310/10000)
