==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 7x7, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 1, Residual layer conv padding: 1
==> Optimizer is Adagrad
==> Learning rate: 0.01
==> Weight decay: 0.0005
==>Trainable Parameters: 4984906
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.555* | Acc: *42.728%* (21364/50000) 
Test epoch: 1 | Loss: *1.551* | Acc: *43.590%* (4359/10000)
Train epoch: 2 | Loss: *1.128* | Acc: *59.712%* (29856/50000) 
Test epoch: 2 | Loss: *1.492* | Acc: *49.260%* (4926/10000)
Train epoch: 3 | Loss: *0.906* | Acc: *68.124%* (34062/50000) 
Test epoch: 3 | Loss: *1.227* | Acc: *57.950%* (5795/10000)
Train epoch: 4 | Loss: *0.756* | Acc: *73.388%* (36694/50000) 
Test epoch: 4 | Loss: *1.043* | Acc: *63.600%* (6360/10000)
Train epoch: 5 | Loss: *0.637* | Acc: *77.770%* (38885/50000) 
Test epoch: 5 | Loss: *0.961* | Acc: *67.390%* (6739/10000)
Train epoch: 6 | Loss: *0.530* | Acc: *81.668%* (40834/50000) 
Test epoch: 6 | Loss: *0.897* | Acc: *70.810%* (7081/10000)
Train epoch: 7 | Loss: *0.423* | Acc: *85.452%* (42726/50000) 
Test epoch: 7 | Loss: *0.805* | Acc: *72.740%* (7274/10000)
Train epoch: 8 | Loss: *0.325* | Acc: *89.192%* (44596/50000) 
Test epoch: 8 | Loss: *0.830* | Acc: *73.360%* (7336/10000)
Train epoch: 9 | Loss: *0.226* | Acc: *92.738%* (46369/50000) 
Test epoch: 9 | Loss: *0.806* | Acc: *74.260%* (7426/10000)
Train epoch: 10 | Loss: *0.140* | Acc: *95.886%* (47943/50000) 
Test epoch: 10 | Loss: *0.822* | Acc: *75.060%* (7506/10000)
Train epoch: 11 | Loss: *0.078* | Acc: *98.140%* (49070/50000) 
Test epoch: 11 | Loss: *1.329* | Acc: *68.560%* (6856/10000)
Train epoch: 12 | Loss: *0.044* | Acc: *99.234%* (49617/50000) 
Test epoch: 12 | Loss: *0.861* | Acc: *76.140%* (7614/10000)
Train epoch: 13 | Loss: *0.019* | Acc: *99.838%* (49919/50000) 
Test epoch: 13 | Loss: *0.749* | Acc: *79.020%* (7902/10000)
Train epoch: 14 | Loss: *0.009* | Acc: *99.970%* (49985/50000) 
Test epoch: 14 | Loss: *0.785* | Acc: *78.310%* (7831/10000)
Train epoch: 15 | Loss: *0.006* | Acc: *99.992%* (49996/50000) 
Test epoch: 15 | Loss: *0.729* | Acc: *79.710%* (7971/10000)
Train epoch: 16 | Loss: *0.005* | Acc: *100.000%* (50000/50000) 
Test epoch: 16 | Loss: *0.714* | Acc: *80.100%* (8010/10000)
Train epoch: 17 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 17 | Loss: *0.718* | Acc: *80.140%* (8014/10000)
Train epoch: 18 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 18 | Loss: *0.742* | Acc: *79.600%* (7960/10000)
Train epoch: 19 | Loss: *0.097* | Acc: *97.132%* (48566/50000) 
Test epoch: 19 | Loss: *0.937* | Acc: *73.140%* (7314/10000)
Train epoch: 20 | Loss: *0.087* | Acc: *97.542%* (48771/50000) 
Test epoch: 20 | Loss: *0.920* | Acc: *75.000%* (7500/10000)
Train epoch: 21 | Loss: *0.026* | Acc: *99.658%* (49829/50000) 
Test epoch: 21 | Loss: *0.745* | Acc: *79.020%* (7902/10000)
Train epoch: 22 | Loss: *0.008* | Acc: *99.984%* (49992/50000) 
Test epoch: 22 | Loss: *0.714* | Acc: *79.800%* (7980/10000)
Train epoch: 23 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 23 | Loss: *0.708* | Acc: *80.110%* (8011/10000)
Train epoch: 24 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 24 | Loss: *0.708* | Acc: *80.130%* (8013/10000)
Train epoch: 25 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 25 | Loss: *0.703* | Acc: *80.220%* (8022/10000)
Train epoch: 26 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 26 | Loss: *0.700* | Acc: *80.160%* (8016/10000)
Train epoch: 27 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 27 | Loss: *0.702* | Acc: *79.980%* (7998/10000)
Train epoch: 28 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 28 | Loss: *0.697* | Acc: *80.080%* (8008/10000)
Train epoch: 29 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 29 | Loss: *0.687* | Acc: *79.950%* (7995/10000)
Train epoch: 30 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 30 | Loss: *0.715* | Acc: *79.780%* (7978/10000)
Train epoch: 31 | Loss: *0.003* | Acc: *99.994%* (49997/50000) 
Test epoch: 31 | Loss: *15.918* | Acc: *34.260%* (3426/10000)
Train epoch: 32 | Loss: *0.110* | Acc: *97.010%* (48505/50000) 
Test epoch: 32 | Loss: *0.967* | Acc: *72.580%* (7258/10000)
Train epoch: 33 | Loss: *0.043* | Acc: *99.198%* (49599/50000) 
Test epoch: 33 | Loss: *0.862* | Acc: *76.890%* (7689/10000)
Train epoch: 34 | Loss: *0.010* | Acc: *99.972%* (49986/50000) 
Test epoch: 34 | Loss: *0.739* | Acc: *79.350%* (7935/10000)
Train epoch: 35 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 35 | Loss: *0.709* | Acc: *79.980%* (7998/10000)
Train epoch: 36 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 36 | Loss: *0.706* | Acc: *80.280%* (8028/10000)
Train epoch: 37 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 37 | Loss: *0.702* | Acc: *80.260%* (8026/10000)
Train epoch: 38 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 38 | Loss: *0.699* | Acc: *80.270%* (8027/10000)
Train epoch: 39 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 39 | Loss: *0.692* | Acc: *80.250%* (8025/10000)
Train epoch: 40 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 40 | Loss: *0.695* | Acc: *80.240%* (8024/10000)
Train epoch: 41 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 41 | Loss: *0.694* | Acc: *80.240%* (8024/10000)
Train epoch: 42 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 42 | Loss: *0.688* | Acc: *79.970%* (7997/10000)
Train epoch: 43 | Loss: *0.012* | Acc: *99.826%* (49913/50000) 
Test epoch: 43 | Loss: *0.692* | Acc: *79.640%* (7964/10000)
Train epoch: 44 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 44 | Loss: *0.693* | Acc: *79.720%* (7972/10000)
Train epoch: 45 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 45 | Loss: *0.684* | Acc: *80.000%* (8000/10000)
Train epoch: 46 | Loss: *0.004* | Acc: *99.984%* (49992/50000) 
Test epoch: 46 | Loss: *0.692* | Acc: *79.780%* (7978/10000)
Train epoch: 47 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 47 | Loss: *0.686* | Acc: *79.920%* (7992/10000)
Train epoch: 48 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 48 | Loss: *0.680* | Acc: *80.010%* (8001/10000)
Train epoch: 49 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 49 | Loss: *0.683* | Acc: *79.950%* (7995/10000)
Train epoch: 50 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 50 | Loss: *0.676* | Acc: *79.970%* (7997/10000)
Train epoch: 51 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 51 | Loss: *0.714* | Acc: *79.430%* (7943/10000)
Train epoch: 52 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 52 | Loss: *0.713* | Acc: *79.110%* (7911/10000)
Train epoch: 53 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 53 | Loss: *0.677* | Acc: *79.920%* (7992/10000)
Train epoch: 54 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 54 | Loss: *0.672* | Acc: *79.870%* (7987/10000)
Train epoch: 55 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 55 | Loss: *0.677* | Acc: *79.980%* (7998/10000)
Train epoch: 56 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 56 | Loss: *0.670* | Acc: *79.900%* (7990/10000)
Train epoch: 57 | Loss: *0.117* | Acc: *96.530%* (48265/50000) 
Test epoch: 57 | Loss: *0.946* | Acc: *71.850%* (7185/10000)
Train epoch: 58 | Loss: *0.098* | Acc: *97.504%* (48752/50000) 
Test epoch: 58 | Loss: *0.807* | Acc: *76.580%* (7658/10000)
Train epoch: 59 | Loss: *0.024* | Acc: *99.770%* (49885/50000) 
Test epoch: 59 | Loss: *0.717* | Acc: *79.030%* (7903/10000)
Train epoch: 60 | Loss: *0.006* | Acc: *99.998%* (49999/50000) 
Test epoch: 60 | Loss: *0.709* | Acc: *79.610%* (7961/10000)
Train epoch: 61 | Loss: *0.004* | Acc: *100.000%* (50000/50000) 
Test epoch: 61 | Loss: *0.693* | Acc: *79.950%* (7995/10000)
Train epoch: 62 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 62 | Loss: *0.692* | Acc: *80.180%* (8018/10000)
Train epoch: 63 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 63 | Loss: *0.692* | Acc: *80.190%* (8019/10000)
Train epoch: 64 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 64 | Loss: *0.688* | Acc: *80.160%* (8016/10000)
Train epoch: 65 | Loss: *0.003* | Acc: *100.000%* (50000/50000) 
Test epoch: 65 | Loss: *0.688* | Acc: *80.230%* (8023/10000)
Train epoch: 66 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 66 | Loss: *0.687* | Acc: *80.130%* (8013/10000)
Train epoch: 67 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 67 | Loss: *0.686* | Acc: *80.250%* (8025/10000)
Train epoch: 68 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 68 | Loss: *0.689* | Acc: *80.060%* (8006/10000)
Train epoch: 69 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 69 | Loss: *0.684* | Acc: *80.130%* (8013/10000)
Train epoch: 70 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 70 | Loss: *0.677* | Acc: *80.280%* (8028/10000)
Train epoch: 71 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 71 | Loss: *0.682* | Acc: *80.170%* (8017/10000)
Train epoch: 72 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 72 | Loss: *0.675* | Acc: *80.380%* (8038/10000)
Train epoch: 73 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 73 | Loss: *0.678* | Acc: *80.250%* (8025/10000)
Train epoch: 74 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 74 | Loss: *0.674* | Acc: *80.240%* (8024/10000)
Train epoch: 75 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 75 | Loss: *0.680* | Acc: *80.140%* (8014/10000)
Train epoch: 76 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 76 | Loss: *0.680* | Acc: *80.160%* (8016/10000)
Train epoch: 77 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 77 | Loss: *0.674* | Acc: *80.260%* (8026/10000)
Train epoch: 78 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 78 | Loss: *0.674* | Acc: *80.120%* (8012/10000)
Train epoch: 79 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
Test epoch: 79 | Loss: *0.669* | Acc: *80.420%* (8042/10000)
Train epoch: 80 | Loss: *0.002* | Acc: *100.000%* (50000/50000) 
