==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 7x7, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 1, Residual layer conv padding: 1
==> Optimizer is Adam
==> Learning rate: 0.001
==> Weight decay: 0.0005
==>Trainable Parameters: 4984906
==>Other Parameters: 0
==>Augmentation: None
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./CIFAR10/cifar-10-python.tar.gz
Extracting ./CIFAR10/cifar-10-python.tar.gz to ./CIFAR10/
Train epoch: 1 | Loss: *1.319* | Acc: *51.872%* (25936/50000) 
Test epoch: 1 | Loss: *1.218* | Acc: *56.130%* (5613/10000)
Train epoch: 2 | Loss: *0.921* | Acc: *66.984%* (33492/50000) 
Test epoch: 2 | Loss: *1.078* | Acc: *62.650%* (6265/10000)
Train epoch: 3 | Loss: *0.737* | Acc: *74.056%* (37028/50000) 
Test epoch: 3 | Loss: *0.796* | Acc: *71.800%* (7180/10000)
Train epoch: 4 | Loss: *0.626* | Acc: *78.068%* (39034/50000) 
Test epoch: 4 | Loss: *0.765* | Acc: *72.480%* (7248/10000)
Train epoch: 5 | Loss: *0.543* | Acc: *81.226%* (40613/50000) 
Test epoch: 5 | Loss: *0.716* | Acc: *74.750%* (7475/10000)
Train epoch: 6 | Loss: *0.475* | Acc: *83.626%* (41813/50000) 
Test epoch: 6 | Loss: *0.737* | Acc: *74.370%* (7437/10000)
Train epoch: 7 | Loss: *0.417* | Acc: *85.600%* (42800/50000) 
Test epoch: 7 | Loss: *0.642* | Acc: *77.810%* (7781/10000)
Train epoch: 8 | Loss: *0.368* | Acc: *87.316%* (43658/50000) 
Test epoch: 8 | Loss: *0.791* | Acc: *74.570%* (7457/10000)
Train epoch: 9 | Loss: *0.323* | Acc: *88.814%* (44407/50000) 
Test epoch: 9 | Loss: *0.601* | Acc: *79.890%* (7989/10000)
Train epoch: 10 | Loss: *0.283* | Acc: *90.134%* (45067/50000) 
Test epoch: 10 | Loss: *0.994* | Acc: *70.700%* (7070/10000)
