==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 7x7, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 1
==> Optimizer is SGD
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4984906
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.670* | Acc: *37.728%* (18864/50000) 
Test epoch: 1 | Loss: *1.615* | Acc: *43.150%* (4315/10000)
Train epoch: 2 | Loss: *1.209* | Acc: *56.180%* (28090/50000) 
Test epoch: 2 | Loss: *1.145* | Acc: *59.570%* (5957/10000)
Train epoch: 3 | Loss: *0.918* | Acc: *67.250%* (33625/50000) 
Test epoch: 3 | Loss: *0.881* | Acc: *69.310%* (6931/10000)
Train epoch: 4 | Loss: *0.741* | Acc: *74.016%* (37008/50000) 
Test epoch: 4 | Loss: *0.851* | Acc: *71.560%* (7156/10000)
Train epoch: 5 | Loss: *0.644* | Acc: *77.706%* (38853/50000) 
Test epoch: 5 | Loss: *0.789* | Acc: *73.250%* (7325/10000)
Train epoch: 6 | Loss: *0.583* | Acc: *79.864%* (39932/50000) 
Test epoch: 6 | Loss: *0.610* | Acc: *78.610%* (7861/10000)
Train epoch: 7 | Loss: *0.551* | Acc: *80.866%* (40433/50000) 
Test epoch: 7 | Loss: *0.603* | Acc: *79.440%* (7944/10000)
Train epoch: 8 | Loss: *0.515* | Acc: *82.212%* (41106/50000) 
Test epoch: 8 | Loss: *0.538* | Acc: *81.520%* (8152/10000)
Train epoch: 9 | Loss: *0.493* | Acc: *83.100%* (41550/50000) 
Test epoch: 9 | Loss: *0.685* | Acc: *77.120%* (7712/10000)
Train epoch: 10 | Loss: *0.470* | Acc: *83.844%* (41922/50000) 
Test epoch: 10 | Loss: *0.557* | Acc: *80.960%* (8096/10000)
