Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: Torch in ./.local/lib/python3.8/site-packages (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from Torch) (4.1.1)
Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: torchvision in ./.local/lib/python3.8/site-packages (0.11.3)
Requirement already satisfied: pillow!=8.3.0,>=5.3.0 in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (7.2.0)
Requirement already satisfied: torch==1.10.2 in ./.local/lib/python3.8/site-packages (from torchvision) (1.10.2)
Requirement already satisfied: numpy in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (1.18.5)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from torch==1.10.2->torchvision) (4.1.1)
==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [5, 2, 1], In channel: 64, Input layer conv kernel: 5x5, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 2, Residual layer conv padding: 2
==> Optimizer is Adadelta
==> Learning rate: 1.0
==> Weight decay: 0.0005
==>Trainable Parameters: 4967754
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.702* | Acc: *35.986%* (17993/50000) 
Test epoch: 1 | Loss: *1.626* | Acc: *43.150%* (4315/10000)
Train epoch: 2 | Loss: *1.245* | Acc: *54.588%* (27294/50000) 
Test epoch: 2 | Loss: *1.370* | Acc: *53.370%* (5337/10000)
Train epoch: 3 | Loss: *0.990* | Acc: *64.540%* (32270/50000) 
Test epoch: 3 | Loss: *1.344* | Acc: *57.270%* (5727/10000)
Train epoch: 4 | Loss: *0.820* | Acc: *71.266%* (35633/50000) 
Test epoch: 4 | Loss: *2.289* | Acc: *46.900%* (4690/10000)
Train epoch: 5 | Loss: *0.705* | Acc: *75.304%* (37652/50000) 
Test epoch: 5 | Loss: *0.927* | Acc: *69.980%* (6998/10000)
Train epoch: 6 | Loss: *0.622* | Acc: *78.416%* (39208/50000) 
Test epoch: 6 | Loss: *0.901* | Acc: *70.890%* (7089/10000)
Train epoch: 7 | Loss: *0.558* | Acc: *80.794%* (40397/50000) 
Test epoch: 7 | Loss: *1.381* | Acc: *64.300%* (6430/10000)
Train epoch: 8 | Loss: *0.509* | Acc: *82.402%* (41201/50000) 
Test epoch: 8 | Loss: *0.744* | Acc: *76.570%* (7657/10000)
Train epoch: 9 | Loss: *0.472* | Acc: *83.826%* (41913/50000) 
Test epoch: 9 | Loss: *1.020* | Acc: *70.360%* (7036/10000)
Train epoch: 10 | Loss: *0.439* | Acc: *84.960%* (42480/50000) 
Test epoch: 10 | Loss: *0.941* | Acc: *71.120%* (7112/10000)
Train epoch: 11 | Loss: *0.412* | Acc: *85.884%* (42942/50000) 
Test epoch: 11 | Loss: *0.834* | Acc: *74.550%* (7455/10000)
Train epoch: 12 | Loss: *0.393* | Acc: *86.528%* (43264/50000) 
Test epoch: 12 | Loss: *0.807* | Acc: *75.880%* (7588/10000)
Train epoch: 13 | Loss: *0.377* | Acc: *87.048%* (43524/50000) 
Test epoch: 13 | Loss: *0.707* | Acc: *78.860%* (7886/10000)
Train epoch: 14 | Loss: *0.363* | Acc: *87.480%* (43740/50000) 
Test epoch: 14 | Loss: *1.276* | Acc: *67.280%* (6728/10000)
Train epoch: 15 | Loss: *0.350* | Acc: *88.046%* (44023/50000) 
Test epoch: 15 | Loss: *0.822* | Acc: *74.420%* (7442/10000)
Train epoch: 16 | Loss: *0.339* | Acc: *88.424%* (44212/50000) 
Test epoch: 16 | Loss: *0.492* | Acc: *83.710%* (8371/10000)
Train epoch: 17 | Loss: *0.323* | Acc: *88.952%* (44476/50000) 
Test epoch: 17 | Loss: *0.616* | Acc: *79.680%* (7968/10000)
Train epoch: 18 | Loss: *0.319* | Acc: *89.024%* (44512/50000) 
Test epoch: 18 | Loss: *1.020* | Acc: *70.890%* (7089/10000)
Train epoch: 19 | Loss: *0.311* | Acc: *89.428%* (44714/50000) 
Test epoch: 19 | Loss: *0.715* | Acc: *78.440%* (7844/10000)
Train epoch: 20 | Loss: *0.303* | Acc: *89.634%* (44817/50000) 
Test epoch: 20 | Loss: *1.282* | Acc: *67.500%* (6750/10000)
Train epoch: 21 | Loss: *0.297* | Acc: *89.608%* (44804/50000) 
Test epoch: 21 | Loss: *0.425* | Acc: *85.750%* (8575/10000)
Train epoch: 22 | Loss: *0.289* | Acc: *90.108%* (45054/50000) 
Test epoch: 22 | Loss: *0.756* | Acc: *79.050%* (7905/10000)
Train epoch: 23 | Loss: *0.284* | Acc: *90.162%* (45081/50000) 
Test epoch: 23 | Loss: *0.811* | Acc: *76.580%* (7658/10000)
Train epoch: 24 | Loss: *0.281* | Acc: *90.332%* (45166/50000) 
Test epoch: 24 | Loss: *0.655* | Acc: *80.400%* (8040/10000)
Train epoch: 25 | Loss: *0.272* | Acc: *90.702%* (45351/50000) 
Test epoch: 25 | Loss: *0.746* | Acc: *79.110%* (7911/10000)
Train epoch: 26 | Loss: *0.273* | Acc: *90.554%* (45277/50000) 
Test epoch: 26 | Loss: *0.475* | Acc: *84.600%* (8460/10000)
Train epoch: 27 | Loss: *0.266* | Acc: *90.892%* (45446/50000) 
Test epoch: 27 | Loss: *0.701* | Acc: *78.350%* (7835/10000)
Train epoch: 28 | Loss: *0.259* | Acc: *91.144%* (45572/50000) 
Test epoch: 28 | Loss: *0.677* | Acc: *80.220%* (8022/10000)
Train epoch: 29 | Loss: *0.260* | Acc: *91.028%* (45514/50000) 
Test epoch: 29 | Loss: *0.423* | Acc: *86.410%* (8641/10000)
Train epoch: 30 | Loss: *0.256* | Acc: *91.158%* (45579/50000) 
Test epoch: 30 | Loss: *0.474* | Acc: *84.560%* (8456/10000)
Train epoch: 31 | Loss: *0.249* | Acc: *91.500%* (45750/50000) 
Test epoch: 31 | Loss: *0.724* | Acc: *79.250%* (7925/10000)
Train epoch: 32 | Loss: *0.248* | Acc: *91.534%* (45767/50000) 
Test epoch: 32 | Loss: *0.415* | Acc: *86.430%* (8643/10000)
Train epoch: 33 | Loss: *0.244* | Acc: *91.630%* (45815/50000) 
