Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: Torch in ./.local/lib/python3.8/site-packages (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from Torch) (4.1.1)
Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: torchvision in ./.local/lib/python3.8/site-packages (0.11.3)
Requirement already satisfied: pillow!=8.3.0,>=5.3.0 in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (7.2.0)
Requirement already satisfied: torch==1.10.2 in ./.local/lib/python3.8/site-packages (from torchvision) (1.10.2)
Requirement already satisfied: numpy in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (1.18.5)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from torch==1.10.2->torchvision) (4.1.1)
==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [5, 2, 1], In channel: 64, Input layer conv kernel: 5x5, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 2, Residual layer conv padding: 2
==> Optimizer is Adagrad
==> Learning rate: 0.01
==> Weight decay: 0.0005
==>Trainable Parameters: 4967754
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.601* | Acc: *40.702%* (20351/50000) 
Test epoch: 1 | Loss: *1.783* | Acc: *35.810%* (3581/10000)
Train epoch: 2 | Loss: *1.162* | Acc: *57.910%* (28955/50000) 
Test epoch: 2 | Loss: *1.372* | Acc: *51.920%* (5192/10000)
Train epoch: 3 | Loss: *0.910* | Acc: *67.760%* (33880/50000) 
Test epoch: 3 | Loss: *1.111* | Acc: *60.830%* (6083/10000)
Train epoch: 4 | Loss: *0.758* | Acc: *73.206%* (36603/50000) 
Test epoch: 4 | Loss: *0.924* | Acc: *67.910%* (6791/10000)
Train epoch: 5 | Loss: *0.642* | Acc: *77.726%* (38863/50000) 
Test epoch: 5 | Loss: *0.767* | Acc: *73.640%* (7364/10000)
Train epoch: 6 | Loss: *0.552* | Acc: *80.828%* (40414/50000) 
Test epoch: 6 | Loss: *0.854* | Acc: *71.650%* (7165/10000)
Train epoch: 7 | Loss: *0.480* | Acc: *83.518%* (41759/50000) 
Test epoch: 7 | Loss: *0.732* | Acc: *75.390%* (7539/10000)
Train epoch: 8 | Loss: *0.420* | Acc: *85.512%* (42756/50000) 
Test epoch: 8 | Loss: *0.719* | Acc: *76.050%* (7605/10000)
Train epoch: 9 | Loss: *0.367* | Acc: *87.318%* (43659/50000) 
Test epoch: 9 | Loss: *0.639* | Acc: *78.380%* (7838/10000)
