Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: Torch in ./.local/lib/python3.8/site-packages (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from Torch) (4.1.1)
Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: torchvision in ./.local/lib/python3.8/site-packages (0.11.3)
Requirement already satisfied: pillow!=8.3.0,>=5.3.0 in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (7.2.0)
Requirement already satisfied: numpy in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (1.18.5)
Requirement already satisfied: torch==1.10.2 in ./.local/lib/python3.8/site-packages (from torchvision) (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from torch==1.10.2->torchvision) (4.1.1)
==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [5, 2, 1], In channel: 64, Input layer conv kernel: 5x5, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 2, Residual layer conv padding: 2
==> Optimizer is Adam
==> Learning rate: 0.001
==> Weight decay: 0.0005
==>Trainable Parameters: 4967754
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.586* | Acc: *40.766%* (20383/50000) 
Test epoch: 1 | Loss: *1.683* | Acc: *44.100%* (4410/10000)
Train epoch: 2 | Loss: *1.172* | Acc: *57.468%* (28734/50000) 
Test epoch: 2 | Loss: *1.363* | Acc: *55.060%* (5506/10000)
Train epoch: 3 | Loss: *0.965* | Acc: *65.858%* (32929/50000) 
Test epoch: 3 | Loss: *1.247* | Acc: *59.350%* (5935/10000)
Train epoch: 4 | Loss: *0.838* | Acc: *70.648%* (35324/50000) 
Test epoch: 4 | Loss: *1.016* | Acc: *65.720%* (6572/10000)
Train epoch: 5 | Loss: *0.737* | Acc: *74.180%* (37090/50000) 
Test epoch: 5 | Loss: *1.011* | Acc: *67.720%* (6772/10000)
Train epoch: 6 | Loss: *0.660* | Acc: *77.374%* (38687/50000) 
Test epoch: 6 | Loss: *0.878* | Acc: *71.310%* (7131/10000)
Train epoch: 7 | Loss: *0.600* | Acc: *79.522%* (39761/50000) 
Test epoch: 7 | Loss: *0.643* | Acc: *77.720%* (7772/10000)
Train epoch: 8 | Loss: *0.557* | Acc: *80.776%* (40388/50000) 
Test epoch: 8 | Loss: *0.694* | Acc: *76.560%* (7656/10000)
Train epoch: 9 | Loss: *0.524* | Acc: *81.986%* (40993/50000) 
Test epoch: 9 | Loss: *0.591* | Acc: *79.670%* (7967/10000)
Train epoch: 10 | Loss: *0.494* | Acc: *82.930%* (41465/50000) 
Test epoch: 10 | Loss: *0.563* | Acc: *81.050%* (8105/10000)
Train epoch: 11 | Loss: *0.469* | Acc: *84.180%* (42090/50000) 
Test epoch: 11 | Loss: *0.630* | Acc: *79.520%* (7952/10000)
Train epoch: 12 | Loss: *0.452* | Acc: *84.648%* (42324/50000) 
Test epoch: 12 | Loss: *0.568* | Acc: *81.000%* (8100/10000)
Train epoch: 13 | Loss: *0.434* | Acc: *85.142%* (42571/50000) 
Test epoch: 13 | Loss: *0.502* | Acc: *82.730%* (8273/10000)
Train epoch: 14 | Loss: *0.412* | Acc: *85.976%* (42988/50000) 
Test epoch: 14 | Loss: *0.656* | Acc: *79.870%* (7987/10000)
Train epoch: 15 | Loss: *0.402* | Acc: *86.298%* (43149/50000) 
Test epoch: 15 | Loss: *0.472* | Acc: *84.030%* (8403/10000)
Train epoch: 16 | Loss: *0.386* | Acc: *86.880%* (43440/50000) 
Test epoch: 16 | Loss: *0.484* | Acc: *83.620%* (8362/10000)
Train epoch: 17 | Loss: *0.384* | Acc: *86.832%* (43416/50000) 
Test epoch: 17 | Loss: *0.455* | Acc: *85.210%* (8521/10000)
Train epoch: 18 | Loss: *0.365* | Acc: *87.620%* (43810/50000) 
Test epoch: 18 | Loss: *0.494* | Acc: *83.680%* (8368/10000)
Train epoch: 19 | Loss: *0.360* | Acc: *87.668%* (43834/50000) 
Test epoch: 19 | Loss: *0.573* | Acc: *81.750%* (8175/10000)
Train epoch: 20 | Loss: *0.350* | Acc: *87.930%* (43965/50000) 
Test epoch: 20 | Loss: *0.507* | Acc: *83.660%* (8366/10000)
Train epoch: 21 | Loss: *0.342* | Acc: *88.408%* (44204/50000) 
Test epoch: 21 | Loss: *0.493* | Acc: *83.850%* (8385/10000)
Train epoch: 22 | Loss: *0.337* | Acc: *88.412%* (44206/50000) 
Test epoch: 22 | Loss: *0.412* | Acc: *86.500%* (8650/10000)
Train epoch: 23 | Loss: *0.330* | Acc: *88.752%* (44376/50000) 
Test epoch: 23 | Loss: *0.457* | Acc: *85.540%* (8554/10000)
Train epoch: 24 | Loss: *0.324* | Acc: *88.956%* (44478/50000) 
Test epoch: 24 | Loss: *0.444* | Acc: *85.350%* (8535/10000)
Train epoch: 25 | Loss: *0.316* | Acc: *89.260%* (44630/50000) 
Test epoch: 25 | Loss: *0.437* | Acc: *85.720%* (8572/10000)
Train epoch: 26 | Loss: *0.310* | Acc: *89.436%* (44718/50000) 
Test epoch: 26 | Loss: *0.506* | Acc: *83.920%* (8392/10000)
Train epoch: 27 | Loss: *0.311* | Acc: *89.406%* (44703/50000) 
Test epoch: 27 | Loss: *0.480* | Acc: *84.600%* (8460/10000)
Train epoch: 28 | Loss: *0.300* | Acc: *89.700%* (44850/50000) 
Test epoch: 28 | Loss: *0.439* | Acc: *85.190%* (8519/10000)
Train epoch: 29 | Loss: *0.300* | Acc: *89.660%* (44830/50000) 
Test epoch: 29 | Loss: *0.499* | Acc: *84.160%* (8416/10000)
Train epoch: 30 | Loss: *0.289* | Acc: *89.988%* (44994/50000) 
Test epoch: 30 | Loss: *0.429* | Acc: *85.990%* (8599/10000)
Train epoch: 31 | Loss: *0.291* | Acc: *90.056%* (45028/50000) 
Test epoch: 31 | Loss: *0.415* | Acc: *86.590%* (8659/10000)
Train epoch: 32 | Loss: *0.284* | Acc: *90.268%* (45134/50000) 
Test epoch: 32 | Loss: *0.471* | Acc: *85.000%* (8500/10000)
Train epoch: 33 | Loss: *0.283* | Acc: *90.260%* (45130/50000) 
Test epoch: 33 | Loss: *0.382* | Acc: *87.450%* (8745/10000)
Train epoch: 34 | Loss: *0.274* | Acc: *90.694%* (45347/50000) 
Test epoch: 34 | Loss: *0.477* | Acc: *84.850%* (8485/10000)
Train epoch: 35 | Loss: *0.274* | Acc: *90.606%* (45303/50000) 
Test epoch: 35 | Loss: *0.471* | Acc: *85.350%* (8535/10000)
Train epoch: 36 | Loss: *0.275* | Acc: *90.662%* (45331/50000) 
Test epoch: 36 | Loss: *0.388* | Acc: *87.420%* (8742/10000)
Train epoch: 37 | Loss: *0.267* | Acc: *91.040%* (45520/50000) 
Test epoch: 37 | Loss: *0.383* | Acc: *87.360%* (8736/10000)
Train epoch: 38 | Loss: *0.263* | Acc: *90.908%* (45454/50000) 
Test epoch: 38 | Loss: *0.471* | Acc: *85.310%* (8531/10000)
Train epoch: 39 | Loss: *0.262* | Acc: *91.070%* (45535/50000) 
Test epoch: 39 | Loss: *0.434* | Acc: *86.350%* (8635/10000)
Train epoch: 40 | Loss: *0.258* | Acc: *91.146%* (45573/50000) 
Test epoch: 40 | Loss: *0.451* | Acc: *86.120%* (8612/10000)
Train epoch: 41 | Loss: *0.259* | Acc: *91.146%* (45573/50000) 
Test epoch: 41 | Loss: *0.369* | Acc: *87.800%* (8780/10000)
Train epoch: 42 | Loss: *0.254* | Acc: *91.426%* (45713/50000) 
Test epoch: 42 | Loss: *0.471* | Acc: *85.080%* (8508/10000)
Train epoch: 43 | Loss: *0.250* | Acc: *91.388%* (45694/50000) 
Test epoch: 43 | Loss: *0.415* | Acc: *87.110%* (8711/10000)
Train epoch: 44 | Loss: *0.246* | Acc: *91.594%* (45797/50000) 
Test epoch: 44 | Loss: *0.403* | Acc: *87.080%* (8708/10000)
Train epoch: 45 | Loss: *0.244* | Acc: *91.414%* (45707/50000) 
Test epoch: 45 | Loss: *0.385* | Acc: *87.590%* (8759/10000)
Train epoch: 46 | Loss: *0.241* | Acc: *91.710%* (45855/50000) 
Test epoch: 46 | Loss: *0.547* | Acc: *83.540%* (8354/10000)
Train epoch: 47 | Loss: *0.241* | Acc: *91.664%* (45832/50000) 
Test epoch: 47 | Loss: *0.437* | Acc: *86.150%* (8615/10000)
Train epoch: 48 | Loss: *0.237* | Acc: *91.752%* (45876/50000) 
Test epoch: 48 | Loss: *0.537* | Acc: *84.340%* (8434/10000)
Train epoch: 49 | Loss: *0.235* | Acc: *91.956%* (45978/50000) 
Test epoch: 49 | Loss: *0.385* | Acc: *87.730%* (8773/10000)
Train epoch: 50 | Loss: *0.229* | Acc: *92.034%* (46017/50000) 
Test epoch: 50 | Loss: *0.430* | Acc: *87.020%* (8702/10000)
Train epoch: 51 | Loss: *0.231* | Acc: *92.114%* (46057/50000) 
Test epoch: 51 | Loss: *0.427* | Acc: *86.760%* (8676/10000)
Train epoch: 52 | Loss: *0.226* | Acc: *92.312%* (46156/50000) 
Test epoch: 52 | Loss: *0.431* | Acc: *86.840%* (8684/10000)
Train epoch: 53 | Loss: *0.222* | Acc: *92.388%* (46194/50000) 
Test epoch: 53 | Loss: *0.406* | Acc: *87.870%* (8787/10000)
Train epoch: 54 | Loss: *0.226* | Acc: *92.182%* (46091/50000) 
Test epoch: 54 | Loss: *0.465* | Acc: *85.940%* (8594/10000)
Train epoch: 55 | Loss: *0.219* | Acc: *92.526%* (46263/50000) 
Test epoch: 55 | Loss: *0.380* | Acc: *87.990%* (8799/10000)
Train epoch: 56 | Loss: *0.218* | Acc: *92.516%* (46258/50000) 
Test epoch: 56 | Loss: *0.379* | Acc: *88.330%* (8833/10000)
Train epoch: 57 | Loss: *0.214* | Acc: *92.684%* (46342/50000) 
Test epoch: 57 | Loss: *0.500* | Acc: *85.450%* (8545/10000)
Train epoch: 58 | Loss: *0.211* | Acc: *92.840%* (46420/50000) 
