==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [5, 2, 1], In channel: 64, Input layer conv kernel: 5x5, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 2, Residual layer conv padding: 2
==> Optimizer is Adam
==> Learning rate: 0.001
==> Weight decay: 0.0005
==>Trainable Parameters: 4967754
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.518* | Acc: *43.524%* (21762/50000) 
Test epoch: 1 | Loss: *1.861* | Acc: *43.830%* (4383/10000)
Train epoch: 2 | Loss: *1.107* | Acc: *60.082%* (30041/50000) 
Test epoch: 2 | Loss: *1.880* | Acc: *42.930%* (4293/10000)
Train epoch: 3 | Loss: *0.928* | Acc: *66.844%* (33422/50000) 
Test epoch: 3 | Loss: *1.260* | Acc: *55.610%* (5561/10000)
Train epoch: 4 | Loss: *0.800* | Acc: *71.606%* (35803/50000) 
Test epoch: 4 | Loss: *1.629* | Acc: *52.350%* (5235/10000)
Train epoch: 5 | Loss: *0.699* | Acc: *75.514%* (37757/50000) 
Test epoch: 5 | Loss: *0.886* | Acc: *69.120%* (6912/10000)
Train epoch: 6 | Loss: *0.615* | Acc: *78.688%* (39344/50000) 
Test epoch: 6 | Loss: *1.102* | Acc: *64.270%* (6427/10000)
Train epoch: 7 | Loss: *0.555* | Acc: *80.962%* (40481/50000) 
Test epoch: 7 | Loss: *0.700* | Acc: *75.920%* (7592/10000)
Train epoch: 8 | Loss: *0.511* | Acc: *82.430%* (41215/50000) 
Test epoch: 8 | Loss: *0.765* | Acc: *73.670%* (7367/10000)
Train epoch: 9 | Loss: *0.467* | Acc: *84.000%* (42000/50000) 
Test epoch: 9 | Loss: *0.823* | Acc: *71.810%* (7181/10000)
Train epoch: 10 | Loss: *0.427* | Acc: *85.194%* (42597/50000) 
Test epoch: 10 | Loss: *0.700* | Acc: *74.800%* (7480/10000)
Train epoch: 11 | Loss: *0.399* | Acc: *86.306%* (43153/50000) 
Test epoch: 11 | Loss: *0.626* | Acc: *78.680%* (7868/10000)
Train epoch: 12 | Loss: *0.372* | Acc: *87.118%* (43559/50000) 
Test epoch: 12 | Loss: *0.722* | Acc: *76.340%* (7634/10000)
Train epoch: 13 | Loss: *0.347* | Acc: *88.038%* (44019/50000) 
Test epoch: 13 | Loss: *0.626* | Acc: *79.180%* (7918/10000)
Train epoch: 14 | Loss: *0.321* | Acc: *88.972%* (44486/50000) 
Test epoch: 14 | Loss: *0.582* | Acc: *80.650%* (8065/10000)
Train epoch: 15 | Loss: *0.304* | Acc: *89.450%* (44725/50000) 
Test epoch: 15 | Loss: *0.680* | Acc: *78.110%* (7811/10000)
Train epoch: 16 | Loss: *0.287* | Acc: *90.202%* (45101/50000) 
Test epoch: 16 | Loss: *0.653* | Acc: *80.220%* (8022/10000)
Train epoch: 17 | Loss: *0.268* | Acc: *90.704%* (45352/50000) 
Test epoch: 17 | Loss: *0.673* | Acc: *79.100%* (7910/10000)
Train epoch: 18 | Loss: *0.253* | Acc: *91.300%* (45650/50000) 
Test epoch: 18 | Loss: *0.730* | Acc: *76.540%* (7654/10000)
Train epoch: 19 | Loss: *0.234* | Acc: *91.922%* (45961/50000) 
Test epoch: 19 | Loss: *0.536* | Acc: *82.640%* (8264/10000)
Train epoch: 20 | Loss: *0.224* | Acc: *92.300%* (46150/50000) 
Test epoch: 20 | Loss: *0.616* | Acc: *80.720%* (8072/10000)
Train epoch: 21 | Loss: *0.211* | Acc: *92.708%* (46354/50000) 
Test epoch: 21 | Loss: *0.564* | Acc: *82.060%* (8206/10000)
Train epoch: 22 | Loss: *0.199* | Acc: *93.046%* (46523/50000) 
Test epoch: 22 | Loss: *0.647* | Acc: *80.250%* (8025/10000)
Train epoch: 23 | Loss: *0.187* | Acc: *93.434%* (46717/50000) 
Test epoch: 23 | Loss: *0.527* | Acc: *83.320%* (8332/10000)
Train epoch: 24 | Loss: *0.176* | Acc: *93.868%* (46934/50000) 
Test epoch: 24 | Loss: *0.598* | Acc: *81.390%* (8139/10000)
Train epoch: 25 | Loss: *0.171* | Acc: *94.230%* (47115/50000) 
Test epoch: 25 | Loss: *0.699* | Acc: *79.700%* (7970/10000)
Train epoch: 26 | Loss: *0.166* | Acc: *94.264%* (47132/50000) 
