Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: Torch in ./.local/lib/python3.8/site-packages (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from Torch) (4.1.1)
Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: torchvision in ./.local/lib/python3.8/site-packages (0.11.3)
Requirement already satisfied: torch==1.10.2 in ./.local/lib/python3.8/site-packages (from torchvision) (1.10.2)
Requirement already satisfied: numpy in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (1.18.5)
Requirement already satisfied: pillow!=8.3.0,>=5.3.0 in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (7.2.0)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from torch==1.10.2->torchvision) (4.1.1)
==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [5, 2, 1], In channel: 64, Input layer conv kernel: 5x5, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 2, Residual layer conv padding: 2
==> Optimizer is SGD with Nesterov
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4967754
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.584* | Acc: *41.198%* (20599/50000) 
Test epoch: 1 | Loss: *1.447* | Acc: *47.350%* (4735/10000)
Train epoch: 2 | Loss: *1.134* | Acc: *58.964%* (29482/50000) 
Test epoch: 2 | Loss: *1.469* | Acc: *53.380%* (5338/10000)
Train epoch: 3 | Loss: *0.928* | Acc: *67.022%* (33511/50000) 
Test epoch: 3 | Loss: *1.251* | Acc: *60.490%* (6049/10000)
Train epoch: 4 | Loss: *0.776* | Acc: *72.874%* (36437/50000) 
Test epoch: 4 | Loss: *0.807* | Acc: *72.190%* (7219/10000)
Train epoch: 5 | Loss: *0.660* | Acc: *77.108%* (38554/50000) 
Test epoch: 5 | Loss: *0.707* | Acc: *76.140%* (7614/10000)
Train epoch: 6 | Loss: *0.590* | Acc: *79.662%* (39831/50000) 
Test epoch: 6 | Loss: *1.421* | Acc: *62.630%* (6263/10000)
Train epoch: 7 | Loss: *0.530* | Acc: *81.708%* (40854/50000) 
Test epoch: 7 | Loss: *0.788* | Acc: *75.690%* (7569/10000)
Train epoch: 8 | Loss: *0.496* | Acc: *82.930%* (41465/50000) 
Test epoch: 8 | Loss: *0.665* | Acc: *78.250%* (7825/10000)
Train epoch: 9 | Loss: *0.465* | Acc: *84.000%* (42000/50000) 
Test epoch: 9 | Loss: *1.159* | Acc: *67.450%* (6745/10000)
Train epoch: 10 | Loss: *0.438* | Acc: *84.926%* (42463/50000) 
Test epoch: 10 | Loss: *0.663* | Acc: *78.320%* (7832/10000)
