==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [5, 2, 1], In channel: 64, Input layer conv kernel: 5x5, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 2, Residual layer conv padding: 2
==> Optimizer is SGD with Nesterov
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4967754
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.527* | Acc: *43.502%* (21751/50000) 
Test epoch: 1 | Loss: *2.394* | Acc: *34.370%* (3437/10000)
Train epoch: 2 | Loss: *1.048* | Acc: *62.636%* (31318/50000) 
Test epoch: 2 | Loss: *1.434* | Acc: *51.320%* (5132/10000)
Train epoch: 3 | Loss: *0.816* | Acc: *71.432%* (35716/50000) 
Test epoch: 3 | Loss: *1.146* | Acc: *59.950%* (5995/10000)
Train epoch: 4 | Loss: *0.673* | Acc: *76.412%* (38206/50000) 
Test epoch: 4 | Loss: *1.020* | Acc: *65.690%* (6569/10000)
Train epoch: 5 | Loss: *0.577* | Acc: *80.036%* (40018/50000) 
Test epoch: 5 | Loss: *0.913* | Acc: *68.220%* (6822/10000)
Train epoch: 6 | Loss: *0.506* | Acc: *82.664%* (41332/50000) 
Test epoch: 6 | Loss: *1.501* | Acc: *50.400%* (5040/10000)
Train epoch: 7 | Loss: *0.456* | Acc: *84.130%* (42065/50000) 
Test epoch: 7 | Loss: *0.726* | Acc: *75.390%* (7539/10000)
Train epoch: 8 | Loss: *0.414* | Acc: *85.744%* (42872/50000) 
Test epoch: 8 | Loss: *0.611* | Acc: *78.900%* (7890/10000)
Train epoch: 9 | Loss: *0.382* | Acc: *86.946%* (43473/50000) 
Test epoch: 9 | Loss: *0.727* | Acc: *76.220%* (7622/10000)
Train epoch: 10 | Loss: *0.356* | Acc: *87.728%* (43864/50000) 
Test epoch: 10 | Loss: *0.691* | Acc: *76.700%* (7670/10000)
Train epoch: 11 | Loss: *0.332* | Acc: *88.580%* (44290/50000) 
Test epoch: 11 | Loss: *1.097* | Acc: *68.490%* (6849/10000)
Train epoch: 12 | Loss: *0.311* | Acc: *89.338%* (44669/50000) 
Test epoch: 12 | Loss: *0.664* | Acc: *77.880%* (7788/10000)
Train epoch: 13 | Loss: *0.287* | Acc: *90.046%* (45023/50000) 
Test epoch: 13 | Loss: *0.705* | Acc: *76.590%* (7659/10000)
Train epoch: 14 | Loss: *0.275* | Acc: *90.390%* (45195/50000) 
