==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [5, 2, 1], In channel: 64, Input layer conv kernel: 5x5, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 2, Residual layer conv padding: 2
==> Optimizer is SGD
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4967754
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.687* | Acc: *36.588%* (18294/50000) 
Test epoch: 1 | Loss: *1.612* | Acc: *41.760%* (4176/10000)
Train epoch: 2 | Loss: *1.294* | Acc: *52.752%* (26376/50000) 
Test epoch: 2 | Loss: *1.527* | Acc: *48.020%* (4802/10000)
Train epoch: 3 | Loss: *1.012* | Acc: *64.108%* (32054/50000) 
Test epoch: 3 | Loss: *1.138* | Acc: *62.500%* (6250/10000)
Train epoch: 4 | Loss: *0.864* | Acc: *69.532%* (34766/50000) 
Test epoch: 4 | Loss: *0.892* | Acc: *69.160%* (6916/10000)
Train epoch: 5 | Loss: *0.738* | Acc: *74.312%* (37156/50000) 
Test epoch: 5 | Loss: *0.811* | Acc: *72.210%* (7221/10000)
Train epoch: 6 | Loss: *0.656* | Acc: *77.138%* (38569/50000) 
Test epoch: 6 | Loss: *0.778* | Acc: *74.060%* (7406/10000)
Train epoch: 7 | Loss: *0.590* | Acc: *79.694%* (39847/50000) 
Test epoch: 7 | Loss: *0.734* | Acc: *75.580%* (7558/10000)
Train epoch: 8 | Loss: *0.548* | Acc: *81.392%* (40696/50000) 
Test epoch: 8 | Loss: *0.680* | Acc: *77.990%* (7799/10000)
Train epoch: 9 | Loss: *0.514* | Acc: *82.244%* (41122/50000) 
Test epoch: 9 | Loss: *0.654* | Acc: *77.670%* (7767/10000)
Train epoch: 10 | Loss: *0.489* | Acc: *83.270%* (41635/50000) 
Test epoch: 10 | Loss: *0.705* | Acc: *78.310%* (7831/10000)
Train epoch: 11 | Loss: *0.469* | Acc: *83.722%* (41861/50000) 
Test epoch: 11 | Loss: *0.517* | Acc: *82.320%* (8232/10000)
Train epoch: 12 | Loss: *0.447* | Acc: *84.746%* (42373/50000) 
Test epoch: 12 | Loss: *0.645* | Acc: *78.600%* (7860/10000)
Train epoch: 13 | Loss: *0.432* | Acc: *85.172%* (42586/50000) 
Test epoch: 13 | Loss: *0.614* | Acc: *79.360%* (7936/10000)
Train epoch: 14 | Loss: *0.418* | Acc: *85.626%* (42813/50000) 
