Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: Torch in ./.local/lib/python3.8/site-packages (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from Torch) (4.1.1)
Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: torchvision in ./.local/lib/python3.8/site-packages (0.11.3)
Requirement already satisfied: numpy in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (1.18.5)
Requirement already satisfied: torch==1.10.2 in ./.local/lib/python3.8/site-packages (from torchvision) (1.10.2)
Requirement already satisfied: pillow!=8.3.0,>=5.3.0 in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (7.2.0)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from torch==1.10.2->torchvision) (4.1.1)
==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [5, 2, 1], In channel: 64, Input layer conv kernel: 5x5, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 2, Residual layer conv padding: 2
==> Optimizer is SGD
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4967754
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.582* | Acc: *40.788%* (20394/50000) 
Test epoch: 1 | Loss: *1.503* | Acc: *44.710%* (4471/10000)
Train epoch: 2 | Loss: *1.121* | Acc: *59.486%* (29743/50000) 
Test epoch: 2 | Loss: *1.141* | Acc: *59.630%* (5963/10000)
Train epoch: 3 | Loss: *0.872* | Acc: *68.912%* (34456/50000) 
Test epoch: 3 | Loss: *0.986* | Acc: *66.010%* (6601/10000)
Train epoch: 4 | Loss: *0.704* | Acc: *75.312%* (37656/50000) 
Test epoch: 4 | Loss: *0.864* | Acc: *70.160%* (7016/10000)
Train epoch: 5 | Loss: *0.595* | Acc: *79.314%* (39657/50000) 
Test epoch: 5 | Loss: *0.702* | Acc: *76.420%* (7642/10000)
Train epoch: 6 | Loss: *0.526* | Acc: *81.912%* (40956/50000) 
Test epoch: 6 | Loss: *1.397* | Acc: *57.710%* (5771/10000)
Train epoch: 7 | Loss: *0.474* | Acc: *83.610%* (41805/50000) 
Test epoch: 7 | Loss: *0.693* | Acc: *76.630%* (7663/10000)
Train epoch: 8 | Loss: *0.432* | Acc: *85.100%* (42550/50000) 
Test epoch: 8 | Loss: *0.838* | Acc: *73.700%* (7370/10000)
Train epoch: 9 | Loss: *0.400* | Acc: *86.294%* (43147/50000) 
Test epoch: 9 | Loss: *0.624* | Acc: *78.550%* (7855/10000)
Train epoch: 10 | Loss: *0.367* | Acc: *87.308%* (43654/50000) 
Test epoch: 10 | Loss: *0.711* | Acc: *75.640%* (7564/10000)
Train epoch: 11 | Loss: *0.340* | Acc: *88.410%* (44205/50000) 
Test epoch: 11 | Loss: *0.745* | Acc: *75.840%* (7584/10000)
Train epoch: 12 | Loss: *0.318* | Acc: *89.032%* (44516/50000) 
Test epoch: 12 | Loss: *1.033* | Acc: *66.070%* (6607/10000)
Train epoch: 13 | Loss: *0.304* | Acc: *89.410%* (44705/50000) 
Test epoch: 13 | Loss: *0.577* | Acc: *80.890%* (8089/10000)
Train epoch: 14 | Loss: *0.282* | Acc: *90.146%* (45073/50000) 
Test epoch: 14 | Loss: *0.542* | Acc: *82.180%* (8218/10000)
Train epoch: 15 | Loss: *0.276* | Acc: *90.432%* (45216/50000) 
Test epoch: 15 | Loss: *0.946* | Acc: *72.800%* (7280/10000)
Train epoch: 16 | Loss: *0.251* | Acc: *91.220%* (45610/50000) 
Test epoch: 16 | Loss: *0.744* | Acc: *77.460%* (7746/10000)
Train epoch: 17 | Loss: *0.253* | Acc: *91.100%* (45550/50000) 
Test epoch: 17 | Loss: *0.769* | Acc: *75.320%* (7532/10000)
Train epoch: 18 | Loss: *0.232* | Acc: *91.838%* (45919/50000) 
Test epoch: 18 | Loss: *0.783* | Acc: *76.590%* (7659/10000)
Train epoch: 19 | Loss: *0.235* | Acc: *91.802%* (45901/50000) 
Test epoch: 19 | Loss: *0.665* | Acc: *78.500%* (7850/10000)
Train epoch: 20 | Loss: *0.220* | Acc: *92.338%* (46169/50000) 
Test epoch: 20 | Loss: *0.805* | Acc: *76.050%* (7605/10000)
Train epoch: 21 | Loss: *0.211* | Acc: *92.560%* (46280/50000) 
Test epoch: 21 | Loss: *0.558* | Acc: *82.300%* (8230/10000)
Train epoch: 22 | Loss: *0.205* | Acc: *92.924%* (46462/50000) 
Test epoch: 22 | Loss: *0.714* | Acc: *78.180%* (7818/10000)
Train epoch: 23 | Loss: *0.207* | Acc: *92.890%* (46445/50000) 
Test epoch: 23 | Loss: *0.578* | Acc: *82.050%* (8205/10000)
Train epoch: 24 | Loss: *0.201* | Acc: *93.020%* (46510/50000) 
