==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [1, 1, 1], In channel: 128, Input layer conv kernel: 3x3, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 1, Residual layer conv padding: 1
==> Optimizer is Adadelta
==> Learning rate: 1.0
==> Weight decay: 0.0005
==>Trainable Parameters: 4896394
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.474* | Acc: *45.258%* (22629/50000) 
Test epoch: 1 | Loss: *2.584* | Acc: *32.970%* (3297/10000)
Train epoch: 2 | Loss: *1.022* | Acc: *63.006%* (31503/50000) 
Test epoch: 2 | Loss: *1.267* | Acc: *53.730%* (5373/10000)
Train epoch: 3 | Loss: *0.835* | Acc: *70.302%* (35151/50000) 
Test epoch: 3 | Loss: *1.678* | Acc: *53.300%* (5330/10000)
Train epoch: 4 | Loss: *0.697* | Acc: *75.424%* (37712/50000) 
Test epoch: 4 | Loss: *1.153* | Acc: *60.310%* (6031/10000)
Train epoch: 5 | Loss: *0.584* | Acc: *79.840%* (39920/50000) 
Test epoch: 5 | Loss: *1.045* | Acc: *65.550%* (6555/10000)
Train epoch: 6 | Loss: *0.504* | Acc: *82.456%* (41228/50000) 
Test epoch: 6 | Loss: *0.887* | Acc: *69.100%* (6910/10000)
Train epoch: 7 | Loss: *0.432* | Acc: *84.998%* (42499/50000) 
Test epoch: 7 | Loss: *0.889* | Acc: *69.320%* (6932/10000)
Train epoch: 8 | Loss: *0.379* | Acc: *86.944%* (43472/50000) 
Test epoch: 8 | Loss: *1.105* | Acc: *65.820%* (6582/10000)
Train epoch: 9 | Loss: *0.331* | Acc: *88.576%* (44288/50000) 
Test epoch: 9 | Loss: *1.326* | Acc: *62.600%* (6260/10000)
Train epoch: 10 | Loss: *0.285* | Acc: *90.378%* (45189/50000) 
Test epoch: 10 | Loss: *3.209* | Acc: *44.940%* (4494/10000)
Train epoch: 11 | Loss: *0.254* | Acc: *91.294%* (45647/50000) 
Test epoch: 11 | Loss: *0.997* | Acc: *69.660%* (6966/10000)
Train epoch: 12 | Loss: *0.226* | Acc: *92.322%* (46161/50000) 
Test epoch: 12 | Loss: *0.742* | Acc: *76.970%* (7697/10000)
Train epoch: 13 | Loss: *0.208* | Acc: *92.828%* (46414/50000) 
Test epoch: 13 | Loss: *1.475* | Acc: *62.870%* (6287/10000)
Train epoch: 14 | Loss: *0.183* | Acc: *93.834%* (46917/50000) 
Test epoch: 14 | Loss: *0.775* | Acc: *76.800%* (7680/10000)
Train epoch: 15 | Loss: *0.175* | Acc: *93.996%* (46998/50000) 
Test epoch: 15 | Loss: *0.821* | Acc: *73.490%* (7349/10000)
Train epoch: 16 | Loss: *0.168* | Acc: *94.328%* (47164/50000) 
Test epoch: 16 | Loss: *1.062* | Acc: *70.230%* (7023/10000)
Train epoch: 17 | Loss: *0.161* | Acc: *94.486%* (47243/50000) 
Test epoch: 17 | Loss: *0.762* | Acc: *78.520%* (7852/10000)
Train epoch: 18 | Loss: *0.153* | Acc: *94.858%* (47429/50000) 
Test epoch: 18 | Loss: *1.290* | Acc: *64.600%* (6460/10000)
Train epoch: 19 | Loss: *0.148* | Acc: *94.948%* (47474/50000) 
Test epoch: 19 | Loss: *1.043* | Acc: *70.200%* (7020/10000)
Train epoch: 20 | Loss: *0.145* | Acc: *95.188%* (47594/50000) 
Test epoch: 20 | Loss: *0.849* | Acc: *76.030%* (7603/10000)
Train epoch: 21 | Loss: *0.147* | Acc: *95.026%* (47513/50000) 
Test epoch: 21 | Loss: *1.125* | Acc: *70.660%* (7066/10000)
Train epoch: 22 | Loss: *0.135* | Acc: *95.542%* (47771/50000) 
Test epoch: 22 | Loss: *1.148* | Acc: *69.870%* (6987/10000)
Train epoch: 23 | Loss: *0.140* | Acc: *95.156%* (47578/50000) 
Test epoch: 23 | Loss: *1.354* | Acc: *64.500%* (6450/10000)
Train epoch: 24 | Loss: *0.136* | Acc: *95.410%* (47705/50000) 
Test epoch: 24 | Loss: *1.133* | Acc: *71.760%* (7176/10000)
Train epoch: 25 | Loss: *0.133* | Acc: *95.448%* (47724/50000) 
Test epoch: 25 | Loss: *0.828* | Acc: *75.100%* (7510/10000)
Train epoch: 26 | Loss: *0.128* | Acc: *95.806%* (47903/50000) 
Test epoch: 26 | Loss: *1.192* | Acc: *69.940%* (6994/10000)
Train epoch: 27 | Loss: *0.132* | Acc: *95.600%* (47800/50000) 
Test epoch: 27 | Loss: *0.949* | Acc: *73.270%* (7327/10000)
Train epoch: 28 | Loss: *0.129* | Acc: *95.648%* (47824/50000) 
Test epoch: 28 | Loss: *0.811* | Acc: *73.990%* (7399/10000)
Train epoch: 29 | Loss: *0.126* | Acc: *95.740%* (47870/50000) 
Test epoch: 29 | Loss: *0.897* | Acc: *74.820%* (7482/10000)
Train epoch: 30 | Loss: *0.124* | Acc: *95.790%* (47895/50000) 
Test epoch: 30 | Loss: *0.916* | Acc: *74.060%* (7406/10000)
Train epoch: 31 | Loss: *0.118* | Acc: *96.188%* (48094/50000) 
Test epoch: 31 | Loss: *1.092* | Acc: *71.920%* (7192/10000)
Train epoch: 32 | Loss: *0.122* | Acc: *95.944%* (47972/50000) 
Test epoch: 32 | Loss: *1.113* | Acc: *71.140%* (7114/10000)
Train epoch: 33 | Loss: *0.120* | Acc: *96.026%* (48013/50000) 
Test epoch: 33 | Loss: *0.944* | Acc: *75.070%* (7507/10000)
Train epoch: 34 | Loss: *0.119* | Acc: *96.152%* (48076/50000) 
Test epoch: 34 | Loss: *0.826* | Acc: *78.180%* (7818/10000)
Train epoch: 35 | Loss: *0.118* | Acc: *96.102%* (48051/50000) 
Test epoch: 35 | Loss: *1.491* | Acc: *62.110%* (6211/10000)
Train epoch: 36 | Loss: *0.113* | Acc: *96.178%* (48089/50000) 
Test epoch: 36 | Loss: *1.021* | Acc: *72.040%* (7204/10000)
Train epoch: 37 | Loss: *0.116* | Acc: *96.268%* (48134/50000) 
Test epoch: 37 | Loss: *0.950* | Acc: *69.790%* (6979/10000)
Train epoch: 38 | Loss: *0.112* | Acc: *96.276%* (48138/50000) 
Test epoch: 38 | Loss: *1.097* | Acc: *71.200%* (7120/10000)
Train epoch: 39 | Loss: *0.108* | Acc: *96.492%* (48246/50000) 
Test epoch: 39 | Loss: *0.992* | Acc: *73.870%* (7387/10000)
Train epoch: 40 | Loss: *0.116* | Acc: *96.100%* (48050/50000) 
Test epoch: 40 | Loss: *1.234* | Acc: *69.230%* (6923/10000)
Train epoch: 41 | Loss: *0.108* | Acc: *96.510%* (48255/50000) 
Test epoch: 41 | Loss: *1.796* | Acc: *60.890%* (6089/10000)
Train epoch: 42 | Loss: *0.107* | Acc: *96.502%* (48251/50000) 
Test epoch: 42 | Loss: *0.926* | Acc: *75.140%* (7514/10000)
Train epoch: 43 | Loss: *0.108* | Acc: *96.400%* (48200/50000) 
Test epoch: 43 | Loss: *0.914* | Acc: *75.030%* (7503/10000)
Train epoch: 44 | Loss: *0.104* | Acc: *96.548%* (48274/50000) 
Test epoch: 44 | Loss: *1.092* | Acc: *73.370%* (7337/10000)
Train epoch: 45 | Loss: *0.104* | Acc: *96.620%* (48310/50000) 
Test epoch: 45 | Loss: *1.697* | Acc: *62.850%* (6285/10000)
Train epoch: 46 | Loss: *0.101* | Acc: *96.682%* (48341/50000) 
Test epoch: 46 | Loss: *1.098* | Acc: *72.190%* (7219/10000)
Train epoch: 47 | Loss: *0.101* | Acc: *96.742%* (48371/50000) 
Test epoch: 47 | Loss: *1.134* | Acc: *71.040%* (7104/10000)
Train epoch: 48 | Loss: *0.103* | Acc: *96.534%* (48267/50000) 
Test epoch: 48 | Loss: *1.150* | Acc: *74.870%* (7487/10000)
Train epoch: 49 | Loss: *0.097* | Acc: *96.834%* (48417/50000) 
Test epoch: 49 | Loss: *0.659* | Acc: *78.870%* (7887/10000)
Train epoch: 50 | Loss: *0.095* | Acc: *96.860%* (48430/50000) 
Test epoch: 50 | Loss: *1.613* | Acc: *60.450%* (6045/10000)
Train epoch: 51 | Loss: *0.104* | Acc: *96.632%* (48316/50000) 
Test epoch: 51 | Loss: *1.077* | Acc: *72.280%* (7228/10000)
Train epoch: 52 | Loss: *0.098* | Acc: *96.776%* (48388/50000) 
Test epoch: 52 | Loss: *1.125* | Acc: *70.660%* (7066/10000)
Train epoch: 53 | Loss: *0.090* | Acc: *96.972%* (48486/50000) 
Test epoch: 53 | Loss: *1.312* | Acc: *67.960%* (6796/10000)
Train epoch: 54 | Loss: *0.087* | Acc: *97.272%* (48636/50000) 
Test epoch: 54 | Loss: *1.395* | Acc: *70.160%* (7016/10000)
Train epoch: 55 | Loss: *0.092* | Acc: *96.996%* (48498/50000) 
Test epoch: 55 | Loss: *1.236* | Acc: *71.220%* (7122/10000)
Train epoch: 56 | Loss: *0.093* | Acc: *97.006%* (48503/50000) 
