==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [1, 1, 1], In channel: 128, Input layer conv kernel: 3x3, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 1, Residual layer conv padding: 1
==> Optimizer is Adagrad
==> Learning rate: 0.01
==> Weight decay: 0.0005
==>Trainable Parameters: 4896394
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.574* | Acc: *41.838%* (20919/50000) 
Test epoch: 1 | Loss: *1.288* | Acc: *52.670%* (5267/10000)
Train epoch: 2 | Loss: *1.121* | Acc: *59.956%* (29978/50000) 
Test epoch: 2 | Loss: *1.147* | Acc: *58.220%* (5822/10000)
Train epoch: 3 | Loss: *0.933* | Acc: *67.064%* (33532/50000) 
Test epoch: 3 | Loss: *1.046* | Acc: *63.900%* (6390/10000)
Train epoch: 4 | Loss: *0.819* | Acc: *71.202%* (35601/50000) 
Test epoch: 4 | Loss: *1.594* | Acc: *53.850%* (5385/10000)
Train epoch: 5 | Loss: *0.730* | Acc: *74.356%* (37178/50000) 
Test epoch: 5 | Loss: *1.161* | Acc: *63.040%* (6304/10000)
Train epoch: 6 | Loss: *0.644* | Acc: *77.968%* (38984/50000) 
Test epoch: 6 | Loss: *0.773* | Acc: *73.000%* (7300/10000)
Train epoch: 7 | Loss: *0.580* | Acc: *79.882%* (39941/50000) 
Test epoch: 7 | Loss: *0.724* | Acc: *75.880%* (7588/10000)
Train epoch: 8 | Loss: *0.525* | Acc: *82.098%* (41049/50000) 
Test epoch: 8 | Loss: *0.656* | Acc: *77.760%* (7776/10000)
Train epoch: 9 | Loss: *0.480* | Acc: *83.610%* (41805/50000) 
Test epoch: 9 | Loss: *0.691* | Acc: *76.600%* (7660/10000)
Train epoch: 10 | Loss: *0.443* | Acc: *84.898%* (42449/50000) 
Test epoch: 10 | Loss: *0.579* | Acc: *80.630%* (8063/10000)
Train epoch: 11 | Loss: *0.416* | Acc: *85.882%* (42941/50000) 
Test epoch: 11 | Loss: *0.727* | Acc: *75.800%* (7580/10000)
Train epoch: 12 | Loss: *0.384* | Acc: *86.942%* (43471/50000) 
Test epoch: 12 | Loss: *0.622* | Acc: *79.430%* (7943/10000)
Train epoch: 13 | Loss: *0.363* | Acc: *87.816%* (43908/50000) 
Test epoch: 13 | Loss: *0.559* | Acc: *81.490%* (8149/10000)
Train epoch: 14 | Loss: *0.342* | Acc: *88.374%* (44187/50000) 
Test epoch: 14 | Loss: *0.434* | Acc: *85.470%* (8547/10000)
Train epoch: 15 | Loss: *0.318* | Acc: *89.172%* (44586/50000) 
Test epoch: 15 | Loss: *0.512* | Acc: *83.460%* (8346/10000)
Train epoch: 16 | Loss: *0.305* | Acc: *89.658%* (44829/50000) 
Test epoch: 16 | Loss: *0.486* | Acc: *83.830%* (8383/10000)
Train epoch: 17 | Loss: *0.287* | Acc: *90.318%* (45159/50000) 
Test epoch: 17 | Loss: *0.454* | Acc: *85.140%* (8514/10000)
