==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [1, 1, 1], In channel: 128, Input layer conv kernel: 3x3, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 1, Residual layer conv padding: 1
==> Optimizer is Adam
==> Learning rate: 0.001
==> Weight decay: 0.0005
==>Trainable Parameters: 4896394
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.430* | Acc: *47.736%* (23868/50000) 
Test epoch: 1 | Loss: *1.416* | Acc: *51.260%* (5126/10000)
Train epoch: 2 | Loss: *1.042* | Acc: *62.780%* (31390/50000) 
Test epoch: 2 | Loss: *1.366* | Acc: *53.630%* (5363/10000)
Train epoch: 3 | Loss: *0.905* | Acc: *68.174%* (34087/50000) 
Test epoch: 3 | Loss: *1.152* | Acc: *62.420%* (6242/10000)
Train epoch: 4 | Loss: *0.798* | Acc: *72.238%* (36119/50000) 
Test epoch: 4 | Loss: *0.944* | Acc: *67.810%* (6781/10000)
Train epoch: 5 | Loss: *0.696* | Acc: *76.296%* (38148/50000) 
Test epoch: 5 | Loss: *0.879* | Acc: *70.870%* (7087/10000)
Train epoch: 6 | Loss: *0.626* | Acc: *78.392%* (39196/50000) 
Test epoch: 6 | Loss: *0.705* | Acc: *76.450%* (7645/10000)
Train epoch: 7 | Loss: *0.572* | Acc: *80.548%* (40274/50000) 
Test epoch: 7 | Loss: *0.590* | Acc: *80.350%* (8035/10000)
Train epoch: 8 | Loss: *0.530* | Acc: *81.884%* (40942/50000) 
Test epoch: 8 | Loss: *0.666* | Acc: *77.130%* (7713/10000)
Train epoch: 9 | Loss: *0.493* | Acc: *83.090%* (41545/50000) 
Test epoch: 9 | Loss: *0.655* | Acc: *78.800%* (7880/10000)
Train epoch: 10 | Loss: *0.468* | Acc: *84.048%* (42024/50000) 
Test epoch: 10 | Loss: *0.621* | Acc: *78.960%* (7896/10000)
Train epoch: 11 | Loss: *0.443* | Acc: *84.854%* (42427/50000) 
Test epoch: 11 | Loss: *0.597* | Acc: *80.160%* (8016/10000)
Train epoch: 12 | Loss: *0.427* | Acc: *85.634%* (42817/50000) 
Test epoch: 12 | Loss: *0.510* | Acc: *82.880%* (8288/10000)
Train epoch: 13 | Loss: *0.410* | Acc: *85.966%* (42983/50000) 
Test epoch: 13 | Loss: *0.513* | Acc: *82.900%* (8290/10000)
Train epoch: 14 | Loss: *0.395* | Acc: *86.510%* (43255/50000) 
Test epoch: 14 | Loss: *0.573* | Acc: *80.950%* (8095/10000)
Train epoch: 15 | Loss: *0.391* | Acc: *86.688%* (43344/50000) 
Test epoch: 15 | Loss: *0.487* | Acc: *83.660%* (8366/10000)
Train epoch: 16 | Loss: *0.373* | Acc: *87.346%* (43673/50000) 
Test epoch: 16 | Loss: *0.578* | Acc: *81.760%* (8176/10000)
Train epoch: 17 | Loss: *0.366* | Acc: *87.450%* (43725/50000) 
Test epoch: 17 | Loss: *0.481* | Acc: *83.900%* (8390/10000)
Train epoch: 18 | Loss: *0.352* | Acc: *88.042%* (44021/50000) 
Test epoch: 18 | Loss: *0.464* | Acc: *84.690%* (8469/10000)
Train epoch: 19 | Loss: *0.349* | Acc: *88.104%* (44052/50000) 
Test epoch: 19 | Loss: *0.487* | Acc: *83.990%* (8399/10000)
Train epoch: 20 | Loss: *0.339* | Acc: *88.556%* (44278/50000) 
Test epoch: 20 | Loss: *0.501* | Acc: *83.490%* (8349/10000)
Train epoch: 21 | Loss: *0.335* | Acc: *88.430%* (44215/50000) 
Test epoch: 21 | Loss: *0.537* | Acc: *83.020%* (8302/10000)
Train epoch: 22 | Loss: *0.332* | Acc: *88.752%* (44376/50000) 
Test epoch: 22 | Loss: *0.437* | Acc: *85.500%* (8550/10000)
Train epoch: 23 | Loss: *0.321* | Acc: *89.070%* (44535/50000) 
Test epoch: 23 | Loss: *0.419* | Acc: *86.140%* (8614/10000)
Train epoch: 24 | Loss: *0.320* | Acc: *88.946%* (44473/50000) 
Test epoch: 24 | Loss: *0.492* | Acc: *84.060%* (8406/10000)
Train epoch: 25 | Loss: *0.308* | Acc: *89.398%* (44699/50000) 
Test epoch: 25 | Loss: *0.541* | Acc: *83.190%* (8319/10000)
Train epoch: 26 | Loss: *0.304* | Acc: *89.572%* (44786/50000) 
Test epoch: 26 | Loss: *0.488* | Acc: *84.530%* (8453/10000)
Train epoch: 27 | Loss: *0.308* | Acc: *89.450%* (44725/50000) 
Test epoch: 27 | Loss: *0.497* | Acc: *83.640%* (8364/10000)
Train epoch: 28 | Loss: *0.299* | Acc: *89.760%* (44880/50000) 
Test epoch: 28 | Loss: *0.414* | Acc: *86.140%* (8614/10000)
Train epoch: 29 | Loss: *0.296* | Acc: *89.850%* (44925/50000) 
Test epoch: 29 | Loss: *0.394* | Acc: *86.850%* (8685/10000)
Train epoch: 30 | Loss: *0.291* | Acc: *89.900%* (44950/50000) 
Test epoch: 30 | Loss: *0.401* | Acc: *86.550%* (8655/10000)
Train epoch: 31 | Loss: *0.295* | Acc: *89.952%* (44976/50000) 
Test epoch: 31 | Loss: *0.404* | Acc: *86.680%* (8668/10000)
Train epoch: 32 | Loss: *0.288* | Acc: *90.118%* (45059/50000) 
Test epoch: 32 | Loss: *0.398* | Acc: *86.910%* (8691/10000)
Train epoch: 33 | Loss: *0.282* | Acc: *90.288%* (45144/50000) 
Test epoch: 33 | Loss: *0.428* | Acc: *85.930%* (8593/10000)
Train epoch: 34 | Loss: *0.277* | Acc: *90.510%* (45255/50000) 
Test epoch: 34 | Loss: *0.418* | Acc: *85.700%* (8570/10000)
Train epoch: 35 | Loss: *0.271* | Acc: *90.718%* (45359/50000) 
Test epoch: 35 | Loss: *0.413* | Acc: *86.550%* (8655/10000)
Train epoch: 36 | Loss: *0.275* | Acc: *90.584%* (45292/50000) 
Test epoch: 36 | Loss: *0.439* | Acc: *85.440%* (8544/10000)
Train epoch: 37 | Loss: *0.269* | Acc: *90.732%* (45366/50000) 
Test epoch: 37 | Loss: *0.407* | Acc: *86.310%* (8631/10000)
Train epoch: 38 | Loss: *0.264* | Acc: *90.962%* (45481/50000) 
Test epoch: 38 | Loss: *0.410* | Acc: *87.130%* (8713/10000)
Train epoch: 39 | Loss: *0.264* | Acc: *91.024%* (45512/50000) 
Test epoch: 39 | Loss: *0.426* | Acc: *86.150%* (8615/10000)
Train epoch: 40 | Loss: *0.261* | Acc: *91.048%* (45524/50000) 
Test epoch: 40 | Loss: *0.390* | Acc: *87.310%* (8731/10000)
Train epoch: 41 | Loss: *0.258* | Acc: *91.152%* (45576/50000) 
Test epoch: 41 | Loss: *0.419* | Acc: *86.270%* (8627/10000)
Train epoch: 42 | Loss: *0.256* | Acc: *91.180%* (45590/50000) 
Test epoch: 42 | Loss: *0.407* | Acc: *86.710%* (8671/10000)
Train epoch: 43 | Loss: *0.253* | Acc: *91.156%* (45578/50000) 
Test epoch: 43 | Loss: *0.442* | Acc: *86.270%* (8627/10000)
Train epoch: 44 | Loss: *0.250* | Acc: *91.418%* (45709/50000) 
Test epoch: 44 | Loss: *0.407* | Acc: *87.040%* (8704/10000)
Train epoch: 45 | Loss: *0.251* | Acc: *91.380%* (45690/50000) 
Test epoch: 45 | Loss: *0.371* | Acc: *87.810%* (8781/10000)
Train epoch: 46 | Loss: *0.248* | Acc: *91.474%* (45737/50000) 
Test epoch: 46 | Loss: *0.425* | Acc: *86.300%* (8630/10000)
Train epoch: 47 | Loss: *0.247* | Acc: *91.606%* (45803/50000) 
Test epoch: 47 | Loss: *0.408* | Acc: *86.630%* (8663/10000)
Train epoch: 48 | Loss: *0.243* | Acc: *91.708%* (45854/50000) 
Test epoch: 48 | Loss: *0.417* | Acc: *86.860%* (8686/10000)
Train epoch: 49 | Loss: *0.237* | Acc: *91.896%* (45948/50000) 
Test epoch: 49 | Loss: *0.514* | Acc: *84.390%* (8439/10000)
Train epoch: 50 | Loss: *0.237* | Acc: *91.892%* (45946/50000) 
Test epoch: 50 | Loss: *0.473* | Acc: *85.050%* (8505/10000)
Train epoch: 51 | Loss: *0.237* | Acc: *91.852%* (45926/50000) 
Test epoch: 51 | Loss: *0.378* | Acc: *87.560%* (8756/10000)
Train epoch: 52 | Loss: *0.235* | Acc: *91.946%* (45973/50000) 
Test epoch: 52 | Loss: *0.383* | Acc: *87.640%* (8764/10000)
Train epoch: 53 | Loss: *0.233* | Acc: *91.982%* (45991/50000) 
Test epoch: 53 | Loss: *0.398* | Acc: *87.280%* (8728/10000)
Train epoch: 54 | Loss: *0.227* | Acc: *92.228%* (46114/50000) 
Test epoch: 54 | Loss: *0.385* | Acc: *87.200%* (8720/10000)
Train epoch: 55 | Loss: *0.228* | Acc: *91.938%* (45969/50000) 
Test epoch: 55 | Loss: *0.488* | Acc: *84.890%* (8489/10000)
Train epoch: 56 | Loss: *0.225* | Acc: *92.388%* (46194/50000) 
Test epoch: 56 | Loss: *0.394* | Acc: *88.120%* (8812/10000)
Train epoch: 57 | Loss: *0.226* | Acc: *92.304%* (46152/50000) 
Test epoch: 57 | Loss: *0.369* | Acc: *88.330%* (8833/10000)
Train epoch: 58 | Loss: *0.222* | Acc: *92.356%* (46178/50000) 
Test epoch: 58 | Loss: *0.415* | Acc: *86.760%* (8676/10000)
Train epoch: 59 | Loss: *0.221* | Acc: *92.398%* (46199/50000) 
Test epoch: 59 | Loss: *0.450* | Acc: *85.940%* (8594/10000)
Train epoch: 60 | Loss: *0.218* | Acc: *92.564%* (46282/50000) 
Test epoch: 60 | Loss: *0.395* | Acc: *87.580%* (8758/10000)
Train epoch: 61 | Loss: *0.217* | Acc: *92.586%* (46293/50000) 
Test epoch: 61 | Loss: *0.410* | Acc: *87.210%* (8721/10000)
Train epoch: 62 | Loss: *0.213* | Acc: *92.628%* (46314/50000) 
Test epoch: 62 | Loss: *0.396* | Acc: *87.520%* (8752/10000)
Train epoch: 63 | Loss: *0.209* | Acc: *92.850%* (46425/50000) 
Test epoch: 63 | Loss: *0.409* | Acc: *87.040%* (8704/10000)
