==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 3, #Blocks: [1, 1, 1], In channel: 128, Input layer conv kernel: 3x3, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 1, Residual layer conv padding: 1
==> Optimizer is SGD with Nesterov
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4896394
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.485* | Acc: *45.078%* (22539/50000) 
Test epoch: 1 | Loss: *1.158* | Acc: *58.260%* (5826/10000)
Train epoch: 2 | Loss: *1.021* | Acc: *63.536%* (31768/50000) 
Test epoch: 2 | Loss: *1.489* | Acc: *56.110%* (5611/10000)
Train epoch: 3 | Loss: *0.846* | Acc: *70.018%* (35009/50000) 
Test epoch: 3 | Loss: *0.987* | Acc: *67.460%* (6746/10000)
Train epoch: 4 | Loss: *0.720* | Acc: *74.654%* (37327/50000) 
Test epoch: 4 | Loss: *1.044* | Acc: *66.960%* (6696/10000)
Train epoch: 5 | Loss: *0.635* | Acc: *78.048%* (39024/50000) 
Test epoch: 5 | Loss: *0.768* | Acc: *73.700%* (7370/10000)
Train epoch: 6 | Loss: *0.563* | Acc: *80.794%* (40397/50000) 
Test epoch: 6 | Loss: *0.958* | Acc: *70.230%* (7023/10000)
Train epoch: 7 | Loss: *0.519* | Acc: *82.268%* (41134/50000) 
Test epoch: 7 | Loss: *0.776* | Acc: *74.870%* (7487/10000)
Train epoch: 8 | Loss: *0.491* | Acc: *83.158%* (41579/50000) 
Test epoch: 8 | Loss: *0.784* | Acc: *73.960%* (7396/10000)
Train epoch: 9 | Loss: *0.467* | Acc: *84.134%* (42067/50000) 
Test epoch: 9 | Loss: *0.675* | Acc: *77.590%* (7759/10000)
Train epoch: 10 | Loss: *0.446* | Acc: *84.658%* (42329/50000) 
Test epoch: 10 | Loss: *0.627* | Acc: *79.340%* (7934/10000)
Train epoch: 11 | Loss: *0.431* | Acc: *85.436%* (42718/50000) 
Test epoch: 11 | Loss: *0.534* | Acc: *82.360%* (8236/10000)
Train epoch: 12 | Loss: *0.418* | Acc: *85.858%* (42929/50000) 
Test epoch: 12 | Loss: *0.723* | Acc: *76.210%* (7621/10000)
Train epoch: 13 | Loss: *0.407* | Acc: *86.140%* (43070/50000) 
Test epoch: 13 | Loss: *0.568* | Acc: *81.470%* (8147/10000)
Train epoch: 14 | Loss: *0.397* | Acc: *86.442%* (43221/50000) 
Test epoch: 14 | Loss: *0.594* | Acc: *81.570%* (8157/10000)
Train epoch: 15 | Loss: *0.391* | Acc: *86.678%* (43339/50000) 
Test epoch: 15 | Loss: *0.545* | Acc: *81.660%* (8166/10000)
Train epoch: 16 | Loss: *0.384* | Acc: *86.918%* (43459/50000) 
Test epoch: 16 | Loss: *0.551* | Acc: *81.700%* (8170/10000)
Train epoch: 17 | Loss: *0.377* | Acc: *87.228%* (43614/50000) 
Test epoch: 17 | Loss: *0.760* | Acc: *76.160%* (7616/10000)
Train epoch: 18 | Loss: *0.366* | Acc: *87.444%* (43722/50000) 
Test epoch: 18 | Loss: *1.313* | Acc: *67.190%* (6719/10000)
Train epoch: 19 | Loss: *0.364* | Acc: *87.480%* (43740/50000) 
Test epoch: 19 | Loss: *0.774* | Acc: *76.970%* (7697/10000)
Train epoch: 20 | Loss: *0.362* | Acc: *87.648%* (43824/50000) 
Test epoch: 20 | Loss: *0.842* | Acc: *75.400%* (7540/10000)
Train epoch: 21 | Loss: *0.357* | Acc: *87.720%* (43860/50000) 
Test epoch: 21 | Loss: *0.644* | Acc: *79.910%* (7991/10000)
Train epoch: 22 | Loss: *0.356* | Acc: *87.670%* (43835/50000) 
Test epoch: 22 | Loss: *0.654* | Acc: *79.800%* (7980/10000)
Train epoch: 23 | Loss: *0.345* | Acc: *88.194%* (44097/50000) 
Test epoch: 23 | Loss: *0.545* | Acc: *82.080%* (8208/10000)
Train epoch: 24 | Loss: *0.348* | Acc: *88.208%* (44104/50000) 
Test epoch: 24 | Loss: *0.609* | Acc: *80.310%* (8031/10000)
Train epoch: 25 | Loss: *0.343* | Acc: *88.240%* (44120/50000) 
Test epoch: 25 | Loss: *0.531* | Acc: *83.100%* (8310/10000)
Train epoch: 26 | Loss: *0.340* | Acc: *88.362%* (44181/50000) 
Test epoch: 26 | Loss: *0.675* | Acc: *78.660%* (7866/10000)
Train epoch: 27 | Loss: *0.337* | Acc: *88.658%* (44329/50000) 
Test epoch: 27 | Loss: *0.571* | Acc: *81.220%* (8122/10000)
Train epoch: 28 | Loss: *0.340* | Acc: *88.332%* (44166/50000) 
Test epoch: 28 | Loss: *0.668* | Acc: *77.920%* (7792/10000)
Train epoch: 29 | Loss: *0.335* | Acc: *88.546%* (44273/50000) 
Test epoch: 29 | Loss: *0.538* | Acc: *82.410%* (8241/10000)
Train epoch: 30 | Loss: *0.329* | Acc: *88.840%* (44420/50000) 
Test epoch: 30 | Loss: *0.646* | Acc: *79.200%* (7920/10000)
Train epoch: 31 | Loss: *0.328* | Acc: *88.820%* (44410/50000) 
Test epoch: 31 | Loss: *0.637* | Acc: *80.200%* (8020/10000)
Train epoch: 32 | Loss: *0.328* | Acc: *88.736%* (44368/50000) 
Test epoch: 32 | Loss: *0.633* | Acc: *79.500%* (7950/10000)
Train epoch: 33 | Loss: *0.330* | Acc: *88.664%* (44332/50000) 
Test epoch: 33 | Loss: *0.723* | Acc: *78.130%* (7813/10000)
Train epoch: 34 | Loss: *0.326* | Acc: *88.722%* (44361/50000) 
Test epoch: 34 | Loss: *0.775* | Acc: *76.910%* (7691/10000)
Train epoch: 35 | Loss: *0.324* | Acc: *88.842%* (44421/50000) 
Test epoch: 35 | Loss: *0.742* | Acc: *77.750%* (7775/10000)
Train epoch: 36 | Loss: *0.321* | Acc: *89.036%* (44518/50000) 
Test epoch: 36 | Loss: *0.473* | Acc: *84.320%* (8432/10000)
Train epoch: 37 | Loss: *0.322* | Acc: *89.110%* (44555/50000) 
Test epoch: 37 | Loss: *0.520* | Acc: *83.450%* (8345/10000)
Train epoch: 38 | Loss: *0.319* | Acc: *89.016%* (44508/50000) 
Test epoch: 38 | Loss: *0.629* | Acc: *79.970%* (7997/10000)
Train epoch: 39 | Loss: *0.319* | Acc: *89.218%* (44609/50000) 
Test epoch: 39 | Loss: *0.610* | Acc: *80.240%* (8024/10000)
Train epoch: 40 | Loss: *0.313* | Acc: *89.350%* (44675/50000) 
