==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 7x7, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 2, Residual layer conv padding: 1
==> Optimizer is Adadelta
==> Learning rate: 1.0
==> Weight decay: 0.0005
==>Trainable Parameters: 4984906
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.562* | Acc: *42.268%* (21134/50000) 
Test epoch: 1 | Loss: *1.610* | Acc: *42.960%* (4296/10000)
Train epoch: 2 | Loss: *1.032* | Acc: *62.982%* (31491/50000) 
Test epoch: 2 | Loss: *1.890* | Acc: *40.790%* (4079/10000)
Train epoch: 3 | Loss: *0.771* | Acc: *72.352%* (36176/50000) 
Test epoch: 3 | Loss: *0.992* | Acc: *66.150%* (6615/10000)
Train epoch: 4 | Loss: *0.615* | Acc: *78.504%* (39252/50000) 
Test epoch: 4 | Loss: *0.887* | Acc: *69.910%* (6991/10000)
Train epoch: 5 | Loss: *0.515* | Acc: *82.106%* (41053/50000) 
Test epoch: 5 | Loss: *0.828* | Acc: *72.250%* (7225/10000)
Train epoch: 6 | Loss: *0.435* | Acc: *84.834%* (42417/50000) 
Test epoch: 6 | Loss: *0.694* | Acc: *76.500%* (7650/10000)
Train epoch: 7 | Loss: *0.368* | Acc: *87.136%* (43568/50000) 
Test epoch: 7 | Loss: *0.983* | Acc: *70.020%* (7002/10000)
Train epoch: 8 | Loss: *0.314* | Acc: *88.946%* (44473/50000) 
Test epoch: 8 | Loss: *0.814* | Acc: *72.690%* (7269/10000)
Train epoch: 9 | Loss: *0.268* | Acc: *90.578%* (45289/50000) 
Test epoch: 9 | Loss: *0.678* | Acc: *78.040%* (7804/10000)
Train epoch: 10 | Loss: *0.231* | Acc: *92.040%* (46020/50000) 
Test epoch: 10 | Loss: *0.905* | Acc: *73.870%* (7387/10000)
Train epoch: 11 | Loss: *0.208* | Acc: *92.740%* (46370/50000) 
Test epoch: 11 | Loss: *1.026* | Acc: *69.970%* (6997/10000)
Train epoch: 12 | Loss: *0.192* | Acc: *93.384%* (46692/50000) 
Test epoch: 12 | Loss: *0.850* | Acc: *75.680%* (7568/10000)
Train epoch: 13 | Loss: *0.175* | Acc: *94.088%* (47044/50000) 
Test epoch: 13 | Loss: *0.784* | Acc: *76.250%* (7625/10000)
Train epoch: 14 | Loss: *0.166* | Acc: *94.286%* (47143/50000) 
Test epoch: 14 | Loss: *0.827* | Acc: *76.670%* (7667/10000)
Train epoch: 15 | Loss: *0.164* | Acc: *94.304%* (47152/50000) 
Test epoch: 15 | Loss: *1.176* | Acc: *69.410%* (6941/10000)
Train epoch: 16 | Loss: *0.159* | Acc: *94.570%* (47285/50000) 
Test epoch: 16 | Loss: *1.321* | Acc: *68.390%* (6839/10000)
Train epoch: 17 | Loss: *0.149* | Acc: *94.814%* (47407/50000) 
Test epoch: 17 | Loss: *0.848* | Acc: *76.760%* (7676/10000)
Train epoch: 18 | Loss: *0.148* | Acc: *94.994%* (47497/50000) 
Test epoch: 18 | Loss: *0.795* | Acc: *77.060%* (7706/10000)
Train epoch: 19 | Loss: *0.143* | Acc: *95.184%* (47592/50000) 
Test epoch: 19 | Loss: *0.900* | Acc: *76.340%* (7634/10000)
Train epoch: 20 | Loss: *0.144* | Acc: *94.970%* (47485/50000) 
Test epoch: 20 | Loss: *1.093* | Acc: *72.270%* (7227/10000)
Train epoch: 21 | Loss: *0.145* | Acc: *95.028%* (47514/50000) 
Test epoch: 21 | Loss: *0.869* | Acc: *75.810%* (7581/10000)
Train epoch: 22 | Loss: *0.141* | Acc: *95.182%* (47591/50000) 
Test epoch: 22 | Loss: *0.939* | Acc: *75.370%* (7537/10000)
Train epoch: 23 | Loss: *0.133* | Acc: *95.416%* (47708/50000) 
Test epoch: 23 | Loss: *1.066* | Acc: *71.020%* (7102/10000)
Train epoch: 24 | Loss: *0.135* | Acc: *95.330%* (47665/50000) 
Test epoch: 24 | Loss: *0.999* | Acc: *72.500%* (7250/10000)
Train epoch: 25 | Loss: *0.139* | Acc: *95.210%* (47605/50000) 
Test epoch: 25 | Loss: *0.807* | Acc: *77.820%* (7782/10000)
Train epoch: 26 | Loss: *0.132* | Acc: *95.518%* (47759/50000) 
Test epoch: 26 | Loss: *0.858* | Acc: *77.320%* (7732/10000)
Train epoch: 27 | Loss: *0.130* | Acc: *95.572%* (47786/50000) 
Test epoch: 27 | Loss: *0.785* | Acc: *76.660%* (7666/10000)
Train epoch: 28 | Loss: *0.129* | Acc: *95.650%* (47825/50000) 
Test epoch: 28 | Loss: *1.186* | Acc: *70.590%* (7059/10000)
Train epoch: 29 | Loss: *0.133* | Acc: *95.388%* (47694/50000) 
Test epoch: 29 | Loss: *1.185* | Acc: *71.480%* (7148/10000)
Train epoch: 30 | Loss: *0.124* | Acc: *95.796%* (47898/50000) 
Test epoch: 30 | Loss: *0.738* | Acc: *78.580%* (7858/10000)
Train epoch: 31 | Loss: *0.128* | Acc: *95.674%* (47837/50000) 
Test epoch: 31 | Loss: *0.842* | Acc: *76.590%* (7659/10000)
Train epoch: 32 | Loss: *0.127* | Acc: *95.742%* (47871/50000) 
Test epoch: 32 | Loss: *0.866* | Acc: *77.320%* (7732/10000)
Train epoch: 33 | Loss: *0.123* | Acc: *95.830%* (47915/50000) 
Test epoch: 33 | Loss: *0.934* | Acc: *75.050%* (7505/10000)
Train epoch: 34 | Loss: *0.124* | Acc: *95.662%* (47831/50000) 
Test epoch: 34 | Loss: *0.795* | Acc: *78.390%* (7839/10000)
Train epoch: 35 | Loss: *0.123* | Acc: *95.866%* (47933/50000) 
Test epoch: 35 | Loss: *0.949* | Acc: *74.610%* (7461/10000)
Train epoch: 36 | Loss: *0.115* | Acc: *96.118%* (48059/50000) 
Test epoch: 36 | Loss: *0.939* | Acc: *76.430%* (7643/10000)
Train epoch: 37 | Loss: *0.120* | Acc: *95.908%* (47954/50000) 
Test epoch: 37 | Loss: *0.822* | Acc: *77.720%* (7772/10000)
Train epoch: 38 | Loss: *0.121* | Acc: *95.866%* (47933/50000) 
Test epoch: 38 | Loss: *1.069* | Acc: *73.990%* (7399/10000)
Train epoch: 39 | Loss: *0.119* | Acc: *95.942%* (47971/50000) 
Test epoch: 39 | Loss: *0.758* | Acc: *79.270%* (7927/10000)
Train epoch: 40 | Loss: *0.110* | Acc: *96.328%* (48164/50000) 
Test epoch: 40 | Loss: *0.663* | Acc: *81.160%* (8116/10000)
Train epoch: 41 | Loss: *0.113* | Acc: *96.212%* (48106/50000) 
Test epoch: 41 | Loss: *0.839* | Acc: *76.980%* (7698/10000)
Train epoch: 42 | Loss: *0.117* | Acc: *96.076%* (48038/50000) 
Test epoch: 42 | Loss: *0.744* | Acc: *78.970%* (7897/10000)
Train epoch: 43 | Loss: *0.111* | Acc: *96.184%* (48092/50000) 
Test epoch: 43 | Loss: *0.827* | Acc: *78.860%* (7886/10000)
Train epoch: 44 | Loss: *0.116* | Acc: *96.112%* (48056/50000) 
Test epoch: 44 | Loss: *0.968* | Acc: *74.660%* (7466/10000)
Train epoch: 45 | Loss: *0.105* | Acc: *96.482%* (48241/50000) 
Test epoch: 45 | Loss: *0.971* | Acc: *74.070%* (7407/10000)
Train epoch: 46 | Loss: *0.102* | Acc: *96.490%* (48245/50000) 
Test epoch: 46 | Loss: *0.857* | Acc: *77.100%* (7710/10000)
Train epoch: 47 | Loss: *0.109* | Acc: *96.322%* (48161/50000) 
Test epoch: 47 | Loss: *0.854* | Acc: *78.900%* (7890/10000)
Train epoch: 48 | Loss: *0.106* | Acc: *96.472%* (48236/50000) 
Test epoch: 48 | Loss: *0.729* | Acc: *79.390%* (7939/10000)
Train epoch: 49 | Loss: *0.104* | Acc: *96.476%* (48238/50000) 
Test epoch: 49 | Loss: *0.888* | Acc: *75.960%* (7596/10000)
Train epoch: 50 | Loss: *0.097* | Acc: *96.746%* (48373/50000) 
Test epoch: 50 | Loss: *0.978* | Acc: *75.800%* (7580/10000)
Train epoch: 51 | Loss: *0.104* | Acc: *96.464%* (48232/50000) 
Test epoch: 51 | Loss: *0.843* | Acc: *77.340%* (7734/10000)
Train epoch: 52 | Loss: *0.093* | Acc: *96.860%* (48430/50000) 
Test epoch: 52 | Loss: *1.021* | Acc: *75.190%* (7519/10000)
Train epoch: 53 | Loss: *0.106* | Acc: *96.524%* (48262/50000) 
Test epoch: 53 | Loss: *2.552* | Acc: *54.740%* (5474/10000)
Train epoch: 54 | Loss: *0.098* | Acc: *96.552%* (48276/50000) 
Test epoch: 54 | Loss: *1.052* | Acc: *74.400%* (7440/10000)
Train epoch: 55 | Loss: *0.094* | Acc: *96.918%* (48459/50000) 
Test epoch: 55 | Loss: *1.198* | Acc: *72.270%* (7227/10000)
Train epoch: 56 | Loss: *0.096* | Acc: *96.744%* (48372/50000) 
Test epoch: 56 | Loss: *0.845* | Acc: *77.730%* (7773/10000)
Train epoch: 57 | Loss: *0.096* | Acc: *96.776%* (48388/50000) 
Test epoch: 57 | Loss: *0.752* | Acc: *79.200%* (7920/10000)
Train epoch: 58 | Loss: *0.094* | Acc: *96.842%* (48421/50000) 
Test epoch: 58 | Loss: *0.880* | Acc: *77.510%* (7751/10000)
Train epoch: 59 | Loss: *0.089* | Acc: *97.040%* (48520/50000) 
Test epoch: 59 | Loss: *0.734* | Acc: *79.290%* (7929/10000)
Train epoch: 60 | Loss: *0.092* | Acc: *96.968%* (48484/50000) 
Test epoch: 60 | Loss: *0.784* | Acc: *79.170%* (7917/10000)
Train epoch: 61 | Loss: *0.086* | Acc: *97.142%* (48571/50000) 
Test epoch: 61 | Loss: *0.957* | Acc: *75.180%* (7518/10000)
Train epoch: 62 | Loss: *0.090* | Acc: *97.028%* (48514/50000) 
Test epoch: 62 | Loss: *0.733* | Acc: *80.190%* (8019/10000)
Train epoch: 63 | Loss: *0.087* | Acc: *97.148%* (48574/50000) 
