==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 7x7, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 2, Residual layer conv padding: 1
==> Optimizer is SGD with Nesterov
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4984906
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.711* | Acc: *36.852%* (18426/50000) 
Test epoch: 1 | Loss: *1.516* | Acc: *44.590%* (4459/10000)
Train epoch: 2 | Loss: *1.283* | Acc: *53.686%* (26843/50000) 
Test epoch: 2 | Loss: *1.280* | Acc: *54.060%* (5406/10000)
Train epoch: 3 | Loss: *1.056* | Acc: *62.632%* (31316/50000) 
Test epoch: 3 | Loss: *1.096* | Acc: *62.610%* (6261/10000)
Train epoch: 4 | Loss: *0.931* | Acc: *67.166%* (33583/50000) 
Test epoch: 4 | Loss: *1.131* | Acc: *61.190%* (6119/10000)
Train epoch: 5 | Loss: *0.826* | Acc: *71.176%* (35588/50000) 
Test epoch: 5 | Loss: *0.841* | Acc: *70.840%* (7084/10000)
Train epoch: 6 | Loss: *0.742* | Acc: *74.038%* (37019/50000) 
Test epoch: 6 | Loss: *0.764* | Acc: *73.950%* (7395/10000)
Train epoch: 7 | Loss: *0.657* | Acc: *77.252%* (38626/50000) 
Test epoch: 7 | Loss: *0.915* | Acc: *69.150%* (6915/10000)
Train epoch: 8 | Loss: *0.600* | Acc: *79.334%* (39667/50000) 
Test epoch: 8 | Loss: *0.783* | Acc: *73.930%* (7393/10000)
Train epoch: 9 | Loss: *0.556* | Acc: *80.846%* (40423/50000) 
Test epoch: 9 | Loss: *0.727* | Acc: *75.740%* (7574/10000)
Train epoch: 10 | Loss: *0.521* | Acc: *82.070%* (41035/50000) 
Test epoch: 10 | Loss: *0.606* | Acc: *79.620%* (7962/10000)
Train epoch: 11 | Loss: *0.501* | Acc: *82.640%* (41320/50000) 
Test epoch: 11 | Loss: *0.570* | Acc: *80.610%* (8061/10000)
Train epoch: 12 | Loss: *0.473* | Acc: *83.620%* (41810/50000) 
Test epoch: 12 | Loss: *0.731* | Acc: *76.080%* (7608/10000)
Train epoch: 13 | Loss: *0.458* | Acc: *84.278%* (42139/50000) 
Test epoch: 13 | Loss: *0.669* | Acc: *78.690%* (7869/10000)
Train epoch: 14 | Loss: *0.447* | Acc: *84.586%* (42293/50000) 
Test epoch: 14 | Loss: *0.534* | Acc: *81.580%* (8158/10000)
Train epoch: 15 | Loss: *0.433* | Acc: *84.930%* (42465/50000) 
Test epoch: 15 | Loss: *0.566* | Acc: *81.410%* (8141/10000)
Train epoch: 16 | Loss: *0.418* | Acc: *85.604%* (42802/50000) 
Test epoch: 16 | Loss: *0.634* | Acc: *79.780%* (7978/10000)
Train epoch: 17 | Loss: *0.416* | Acc: *85.598%* (42799/50000) 
Test epoch: 17 | Loss: *0.813* | Acc: *75.790%* (7579/10000)
Train epoch: 18 | Loss: *0.404* | Acc: *86.092%* (43046/50000) 
Test epoch: 18 | Loss: *0.663* | Acc: *78.550%* (7855/10000)
Train epoch: 19 | Loss: *0.397* | Acc: *86.340%* (43170/50000) 
Test epoch: 19 | Loss: *0.533* | Acc: *82.060%* (8206/10000)
Train epoch: 20 | Loss: *0.392* | Acc: *86.508%* (43254/50000) 
Test epoch: 20 | Loss: *0.640* | Acc: *79.790%* (7979/10000)
Train epoch: 21 | Loss: *0.388* | Acc: *86.508%* (43254/50000) 
Test epoch: 21 | Loss: *0.448* | Acc: *84.990%* (8499/10000)
Train epoch: 22 | Loss: *0.382* | Acc: *86.810%* (43405/50000) 
Test epoch: 22 | Loss: *0.577* | Acc: *81.310%* (8131/10000)
Train epoch: 23 | Loss: *0.369* | Acc: *87.322%* (43661/50000) 
Test epoch: 23 | Loss: *0.493* | Acc: *84.080%* (8408/10000)
