==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 7x7, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 2, Residual layer conv padding: 1
==> Optimizer is SGD
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4984906
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.564* | Acc: *42.500%* (21250/50000) 
Test epoch: 1 | Loss: *1.615* | Acc: *43.250%* (4325/10000)
Train epoch: 2 | Loss: *1.129* | Acc: *59.596%* (29798/50000) 
Test epoch: 2 | Loss: *1.404* | Acc: *54.240%* (5424/10000)
Train epoch: 3 | Loss: *0.849* | Acc: *69.838%* (34919/50000) 
Test epoch: 3 | Loss: *0.969* | Acc: *66.340%* (6634/10000)
Train epoch: 4 | Loss: *0.657* | Acc: *76.810%* (38405/50000) 
Test epoch: 4 | Loss: *0.752* | Acc: *74.190%* (7419/10000)
Train epoch: 5 | Loss: *0.546* | Acc: *80.970%* (40485/50000) 
Test epoch: 5 | Loss: *1.018* | Acc: *67.240%* (6724/10000)
Train epoch: 6 | Loss: *0.463* | Acc: *84.082%* (42041/50000) 
Test epoch: 6 | Loss: *0.718* | Acc: *75.750%* (7575/10000)
Train epoch: 7 | Loss: *0.407* | Acc: *85.770%* (42885/50000) 
Test epoch: 7 | Loss: *0.699* | Acc: *76.640%* (7664/10000)
Train epoch: 8 | Loss: *0.355* | Acc: *87.742%* (43871/50000) 
Test epoch: 8 | Loss: *0.751* | Acc: *74.630%* (7463/10000)
Train epoch: 9 | Loss: *0.323* | Acc: *88.638%* (44319/50000) 
Test epoch: 9 | Loss: *0.607* | Acc: *79.240%* (7924/10000)
Train epoch: 10 | Loss: *0.289* | Acc: *90.006%* (45003/50000) 
Test epoch: 10 | Loss: *0.682* | Acc: *77.880%* (7788/10000)
Train epoch: 11 | Loss: *0.269* | Acc: *90.468%* (45234/50000) 
Test epoch: 11 | Loss: *0.744* | Acc: *76.600%* (7660/10000)
Train epoch: 12 | Loss: *0.253* | Acc: *91.134%* (45567/50000) 
Test epoch: 12 | Loss: *0.810* | Acc: *74.810%* (7481/10000)
Train epoch: 13 | Loss: *0.239* | Acc: *91.560%* (45780/50000) 
Test epoch: 13 | Loss: *0.685* | Acc: *78.850%* (7885/10000)
Train epoch: 14 | Loss: *0.220* | Acc: *92.298%* (46149/50000) 
Test epoch: 14 | Loss: *0.821* | Acc: *75.680%* (7568/10000)
Train epoch: 15 | Loss: *0.215* | Acc: *92.580%* (46290/50000) 
Test epoch: 15 | Loss: *0.778* | Acc: *76.720%* (7672/10000)
Train epoch: 16 | Loss: *0.212* | Acc: *92.698%* (46349/50000) 
Test epoch: 16 | Loss: *1.027* | Acc: *71.650%* (7165/10000)
Train epoch: 17 | Loss: *0.209* | Acc: *92.752%* (46376/50000) 
Test epoch: 17 | Loss: *0.784* | Acc: *76.250%* (7625/10000)
Train epoch: 18 | Loss: *0.203* | Acc: *92.954%* (46477/50000) 
Test epoch: 18 | Loss: *0.798* | Acc: *76.130%* (7613/10000)
Train epoch: 19 | Loss: *0.203* | Acc: *92.934%* (46467/50000) 
Test epoch: 19 | Loss: *0.738* | Acc: *77.330%* (7733/10000)
Train epoch: 20 | Loss: *0.196* | Acc: *93.138%* (46569/50000) 
Test epoch: 20 | Loss: *0.993* | Acc: *72.520%* (7252/10000)
Train epoch: 21 | Loss: *0.190* | Acc: *93.410%* (46705/50000) 
Test epoch: 21 | Loss: *0.803* | Acc: *76.240%* (7624/10000)
Train epoch: 22 | Loss: *0.185* | Acc: *93.638%* (46819/50000) 
Test epoch: 22 | Loss: *0.788* | Acc: *75.470%* (7547/10000)
Train epoch: 23 | Loss: *0.189* | Acc: *93.532%* (46766/50000) 
Test epoch: 23 | Loss: *0.821* | Acc: *76.040%* (7604/10000)
Train epoch: 24 | Loss: *0.186* | Acc: *93.598%* (46799/50000) 
Test epoch: 24 | Loss: *0.809* | Acc: *76.700%* (7670/10000)
Train epoch: 25 | Loss: *0.181* | Acc: *93.708%* (46854/50000) 
Test epoch: 25 | Loss: *0.749* | Acc: *77.540%* (7754/10000)
Train epoch: 26 | Loss: *0.185* | Acc: *93.682%* (46841/50000) 
Test epoch: 26 | Loss: *0.729* | Acc: *78.630%* (7863/10000)
Train epoch: 27 | Loss: *0.184* | Acc: *93.678%* (46839/50000) 
Test epoch: 27 | Loss: *0.737* | Acc: *78.800%* (7880/10000)
Train epoch: 28 | Loss: *0.183* | Acc: *93.732%* (46866/50000) 
Test epoch: 28 | Loss: *0.705* | Acc: *77.950%* (7795/10000)
Train epoch: 29 | Loss: *0.181* | Acc: *93.704%* (46852/50000) 
Test epoch: 29 | Loss: *0.831* | Acc: *75.000%* (7500/10000)
Train epoch: 30 | Loss: *0.175* | Acc: *94.000%* (47000/50000) 
Test epoch: 30 | Loss: *0.890* | Acc: *74.550%* (7455/10000)
Train epoch: 31 | Loss: *0.177* | Acc: *93.834%* (46917/50000) 
Test epoch: 31 | Loss: *0.761* | Acc: *77.420%* (7742/10000)
Train epoch: 32 | Loss: *0.172* | Acc: *94.082%* (47041/50000) 
Test epoch: 32 | Loss: *0.855* | Acc: *75.320%* (7532/10000)
Train epoch: 33 | Loss: *0.170* | Acc: *94.146%* (47073/50000) 
Test epoch: 33 | Loss: *0.775* | Acc: *77.360%* (7736/10000)
Train epoch: 34 | Loss: *0.169* | Acc: *94.188%* (47094/50000) 
Test epoch: 34 | Loss: *0.727* | Acc: *78.080%* (7808/10000)
Train epoch: 35 | Loss: *0.176* | Acc: *93.882%* (46941/50000) 
Test epoch: 35 | Loss: *0.678* | Acc: *79.690%* (7969/10000)
Train epoch: 36 | Loss: *0.168* | Acc: *94.156%* (47078/50000) 
Test epoch: 36 | Loss: *0.632* | Acc: *80.280%* (8028/10000)
Train epoch: 37 | Loss: *0.159* | Acc: *94.688%* (47344/50000) 
Test epoch: 37 | Loss: *0.789* | Acc: *78.110%* (7811/10000)
Train epoch: 38 | Loss: *0.172* | Acc: *94.118%* (47059/50000) 
