==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [1, 3], In channel: 64, Input layer conv kernel: 7x7, Residual layer conv kernel 7x7, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 3
==> Optimizer is Adadelta
==> Learning rate: 1.0
==> Weight decay: 0.0005
==>Trainable Parameters: 4837962
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.597* | Acc: *40.916%* (20458/50000) 
Test epoch: 1 | Loss: *2.038* | Acc: *32.610%* (3261/10000)
Train epoch: 2 | Loss: *1.164* | Acc: *58.076%* (29038/50000) 
Test epoch: 2 | Loss: *1.839* | Acc: *39.620%* (3962/10000)
Train epoch: 3 | Loss: *0.918* | Acc: *67.604%* (33802/50000) 
Test epoch: 3 | Loss: *4.165* | Acc: *25.860%* (2586/10000)
Train epoch: 4 | Loss: *0.745* | Acc: *74.030%* (37015/50000) 
Test epoch: 4 | Loss: *1.134* | Acc: *61.310%* (6131/10000)
Train epoch: 5 | Loss: *0.635* | Acc: *78.274%* (39137/50000) 
Test epoch: 5 | Loss: *0.904* | Acc: *69.310%* (6931/10000)
Train epoch: 6 | Loss: *0.558* | Acc: *80.494%* (40247/50000) 
Test epoch: 6 | Loss: *1.008* | Acc: *65.560%* (6556/10000)
Train epoch: 7 | Loss: *0.494* | Acc: *82.814%* (41407/50000) 
Test epoch: 7 | Loss: *0.890* | Acc: *71.390%* (7139/10000)
Train epoch: 8 | Loss: *0.439* | Acc: *84.794%* (42397/50000) 
Test epoch: 8 | Loss: *0.866* | Acc: *72.360%* (7236/10000)
Train epoch: 9 | Loss: *0.405* | Acc: *86.108%* (43054/50000) 
Test epoch: 9 | Loss: *0.751* | Acc: *74.210%* (7421/10000)
Train epoch: 10 | Loss: *0.359* | Acc: *87.522%* (43761/50000) 
Test epoch: 10 | Loss: *0.963* | Acc: *70.520%* (7052/10000)
Train epoch: 11 | Loss: *0.330* | Acc: *88.584%* (44292/50000) 
Test epoch: 11 | Loss: *1.494* | Acc: *59.370%* (5937/10000)
Train epoch: 12 | Loss: *0.305* | Acc: *89.540%* (44770/50000) 
Test epoch: 12 | Loss: *0.889* | Acc: *71.870%* (7187/10000)
Train epoch: 13 | Loss: *0.278* | Acc: *90.378%* (45189/50000) 
Test epoch: 13 | Loss: *0.742* | Acc: *76.180%* (7618/10000)
Train epoch: 14 | Loss: *0.263* | Acc: *90.814%* (45407/50000) 
Test epoch: 14 | Loss: *0.807* | Acc: *75.020%* (7502/10000)
Train epoch: 15 | Loss: *0.242* | Acc: *91.532%* (45766/50000) 
Test epoch: 15 | Loss: *0.803* | Acc: *75.380%* (7538/10000)
Train epoch: 16 | Loss: *0.229* | Acc: *92.118%* (46059/50000) 
Test epoch: 16 | Loss: *0.769* | Acc: *76.420%* (7642/10000)
Train epoch: 17 | Loss: *0.216* | Acc: *92.502%* (46251/50000) 
Test epoch: 17 | Loss: *1.031* | Acc: *70.800%* (7080/10000)
Train epoch: 18 | Loss: *0.209* | Acc: *92.722%* (46361/50000) 
Test epoch: 18 | Loss: *0.798* | Acc: *75.590%* (7559/10000)
Train epoch: 19 | Loss: *0.197* | Acc: *93.144%* (46572/50000) 
Test epoch: 19 | Loss: *0.798* | Acc: *77.280%* (7728/10000)
Train epoch: 20 | Loss: *0.182* | Acc: *93.676%* (46838/50000) 
Test epoch: 20 | Loss: *0.842* | Acc: *73.710%* (7371/10000)
Train epoch: 21 | Loss: *0.189* | Acc: *93.518%* (46759/50000) 
Test epoch: 21 | Loss: *0.795* | Acc: *77.580%* (7758/10000)
Train epoch: 22 | Loss: *0.178* | Acc: *93.890%* (46945/50000) 
Test epoch: 22 | Loss: *0.886* | Acc: *75.840%* (7584/10000)
Train epoch: 23 | Loss: *0.171* | Acc: *94.080%* (47040/50000) 
Test epoch: 23 | Loss: *1.474* | Acc: *64.240%* (6424/10000)
Train epoch: 24 | Loss: *0.168* | Acc: *94.148%* (47074/50000) 
Test epoch: 24 | Loss: *1.340* | Acc: *68.180%* (6818/10000)
Train epoch: 25 | Loss: *0.165* | Acc: *94.338%* (47169/50000) 
Test epoch: 25 | Loss: *0.753* | Acc: *77.240%* (7724/10000)
Train epoch: 26 | Loss: *0.156* | Acc: *94.656%* (47328/50000) 
Test epoch: 26 | Loss: *1.023* | Acc: *74.960%* (7496/10000)
