==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [1, 3], In channel: 64, Input layer conv kernel: 7x7, Residual layer conv kernel 7x7, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 3
==> Optimizer is Adagrad
==> Learning rate: 0.01
==> Weight decay: 0.0005
==>Trainable Parameters: 4837962
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.663* | Acc: *37.686%* (18843/50000) 
Test epoch: 1 | Loss: *1.551* | Acc: *43.740%* (4374/10000)
Train epoch: 2 | Loss: *1.288* | Acc: *53.174%* (26587/50000) 
Test epoch: 2 | Loss: *1.183* | Acc: *58.360%* (5836/10000)
Train epoch: 3 | Loss: *1.099* | Acc: *60.402%* (30201/50000) 
Test epoch: 3 | Loss: *1.105* | Acc: *60.190%* (6019/10000)
Train epoch: 4 | Loss: *0.976* | Acc: *65.498%* (32749/50000) 
Test epoch: 4 | Loss: *1.063* | Acc: *63.940%* (6394/10000)
Train epoch: 5 | Loss: *0.882* | Acc: *68.718%* (34359/50000) 
Test epoch: 5 | Loss: *1.081* | Acc: *61.720%* (6172/10000)
Train epoch: 6 | Loss: *0.810* | Acc: *71.462%* (35731/50000) 
Test epoch: 6 | Loss: *0.959* | Acc: *67.010%* (6701/10000)
Train epoch: 7 | Loss: *0.744* | Acc: *74.064%* (37032/50000) 
Test epoch: 7 | Loss: *0.814* | Acc: *71.260%* (7126/10000)
Train epoch: 8 | Loss: *0.685* | Acc: *76.012%* (38006/50000) 
Test epoch: 8 | Loss: *0.785* | Acc: *72.770%* (7277/10000)
Train epoch: 9 | Loss: *0.642* | Acc: *77.750%* (38875/50000) 
Test epoch: 9 | Loss: *0.876* | Acc: *69.720%* (6972/10000)
Train epoch: 10 | Loss: *0.602* | Acc: *79.126%* (39563/50000) 
Test epoch: 10 | Loss: *0.724* | Acc: *75.650%* (7565/10000)
Train epoch: 11 | Loss: *0.564* | Acc: *80.372%* (40186/50000) 
Test epoch: 11 | Loss: *0.668* | Acc: *77.750%* (7775/10000)
Train epoch: 12 | Loss: *0.534* | Acc: *81.450%* (40725/50000) 
Test epoch: 12 | Loss: *0.716* | Acc: *76.090%* (7609/10000)
Train epoch: 13 | Loss: *0.503* | Acc: *82.594%* (41297/50000) 
Test epoch: 13 | Loss: *0.753* | Acc: *75.890%* (7589/10000)
Train epoch: 14 | Loss: *0.478* | Acc: *83.512%* (41756/50000) 
Test epoch: 14 | Loss: *0.699* | Acc: *77.010%* (7701/10000)
Train epoch: 15 | Loss: *0.452* | Acc: *84.438%* (42219/50000) 
Test epoch: 15 | Loss: *0.624* | Acc: *79.800%* (7980/10000)
Train epoch: 16 | Loss: *0.429* | Acc: *85.224%* (42612/50000) 
Test epoch: 16 | Loss: *0.597* | Acc: *80.380%* (8038/10000)
Train epoch: 17 | Loss: *0.410* | Acc: *85.932%* (42966/50000) 
Test epoch: 17 | Loss: *0.627* | Acc: *79.460%* (7946/10000)
Train epoch: 18 | Loss: *0.390* | Acc: *86.654%* (43327/50000) 
Test epoch: 18 | Loss: *0.713* | Acc: *77.280%* (7728/10000)
Train epoch: 19 | Loss: *0.373* | Acc: *87.084%* (43542/50000) 
Test epoch: 19 | Loss: *0.648* | Acc: *78.970%* (7897/10000)
Train epoch: 20 | Loss: *0.357* | Acc: *87.794%* (43897/50000) 
Test epoch: 20 | Loss: *0.664* | Acc: *79.470%* (7947/10000)
Train epoch: 21 | Loss: *0.338* | Acc: *88.420%* (44210/50000) 
Test epoch: 21 | Loss: *0.743* | Acc: *77.830%* (7783/10000)
Train epoch: 22 | Loss: *0.322* | Acc: *88.946%* (44473/50000) 
Test epoch: 22 | Loss: *0.557* | Acc: *82.590%* (8259/10000)
Train epoch: 23 | Loss: *0.311* | Acc: *89.330%* (44665/50000) 
Test epoch: 23 | Loss: *0.511* | Acc: *83.110%* (8311/10000)
Train epoch: 24 | Loss: *0.291* | Acc: *90.054%* (45027/50000) 
Test epoch: 24 | Loss: *0.552* | Acc: *82.520%* (8252/10000)
Train epoch: 25 | Loss: *0.278* | Acc: *90.658%* (45329/50000) 
Test epoch: 25 | Loss: *0.618* | Acc: *80.970%* (8097/10000)
Train epoch: 26 | Loss: *0.266* | Acc: *90.982%* (45491/50000) 
Test epoch: 26 | Loss: *0.552* | Acc: *83.170%* (8317/10000)
Train epoch: 27 | Loss: *0.255* | Acc: *91.376%* (45688/50000) 
Test epoch: 27 | Loss: *0.566* | Acc: *82.310%* (8231/10000)
Train epoch: 28 | Loss: *0.243* | Acc: *91.804%* (45902/50000) 
Test epoch: 28 | Loss: *0.584* | Acc: *81.810%* (8181/10000)
Train epoch: 29 | Loss: *0.230* | Acc: *92.226%* (46113/50000) 
Test epoch: 29 | Loss: *0.572* | Acc: *82.610%* (8261/10000)
Train epoch: 30 | Loss: *0.221* | Acc: *92.538%* (46269/50000) 
Test epoch: 30 | Loss: *0.498* | Acc: *84.830%* (8483/10000)
Train epoch: 31 | Loss: *0.210* | Acc: *92.814%* (46407/50000) 
Test epoch: 31 | Loss: *0.520* | Acc: *84.230%* (8423/10000)
Train epoch: 32 | Loss: *0.196* | Acc: *93.394%* (46697/50000) 
Test epoch: 32 | Loss: *0.627* | Acc: *81.540%* (8154/10000)
Train epoch: 33 | Loss: *0.187* | Acc: *93.736%* (46868/50000) 
Test epoch: 33 | Loss: *0.514* | Acc: *84.340%* (8434/10000)
Train epoch: 34 | Loss: *0.180* | Acc: *93.874%* (46937/50000) 
Test epoch: 34 | Loss: *0.671* | Acc: *80.410%* (8041/10000)
Train epoch: 35 | Loss: *0.175* | Acc: *94.028%* (47014/50000) 
Test epoch: 35 | Loss: *0.635* | Acc: *81.930%* (8193/10000)
Train epoch: 36 | Loss: *0.164* | Acc: *94.454%* (47227/50000) 
Test epoch: 36 | Loss: *0.601* | Acc: *82.420%* (8242/10000)
Train epoch: 37 | Loss: *0.153* | Acc: *94.892%* (47446/50000) 
Test epoch: 37 | Loss: *0.849* | Acc: *77.980%* (7798/10000)
Train epoch: 38 | Loss: *0.148* | Acc: *95.102%* (47551/50000) 
Test epoch: 38 | Loss: *0.697* | Acc: *81.170%* (8117/10000)
Train epoch: 39 | Loss: *0.146* | Acc: *95.166%* (47583/50000) 
Test epoch: 39 | Loss: *0.540* | Acc: *84.300%* (8430/10000)
Train epoch: 40 | Loss: *0.136* | Acc: *95.394%* (47697/50000) 
Test epoch: 40 | Loss: *0.563* | Acc: *84.070%* (8407/10000)
