==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [1, 3], In channel: 64, Input layer conv kernel: 7x7, Residual layer conv kernel 7x7, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 3
==> Optimizer is Adagrad
==> Learning rate: 0.01
==> Weight decay: 0.0005
==>Trainable Parameters: 4837962
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.578* | Acc: *41.506%* (20753/50000) 
Test epoch: 1 | Loss: *2.087* | Acc: *30.460%* (3046/10000)
Train epoch: 2 | Loss: *1.170* | Acc: *57.826%* (28913/50000) 
Test epoch: 2 | Loss: *1.502* | Acc: *50.480%* (5048/10000)
Train epoch: 3 | Loss: *0.963* | Acc: *65.714%* (32857/50000) 
Test epoch: 3 | Loss: *1.472* | Acc: *48.310%* (4831/10000)
Train epoch: 4 | Loss: *0.822* | Acc: *71.024%* (35512/50000) 
Test epoch: 4 | Loss: *1.468* | Acc: *55.370%* (5537/10000)
Train epoch: 5 | Loss: *0.704* | Acc: *75.340%* (37670/50000) 
Test epoch: 5 | Loss: *0.786* | Acc: *72.670%* (7267/10000)
Train epoch: 6 | Loss: *0.620* | Acc: *78.672%* (39336/50000) 
Test epoch: 6 | Loss: *0.799* | Acc: *72.240%* (7224/10000)
Train epoch: 7 | Loss: *0.555* | Acc: *80.736%* (40368/50000) 
Test epoch: 7 | Loss: *0.865* | Acc: *70.920%* (7092/10000)
Train epoch: 8 | Loss: *0.496* | Acc: *82.892%* (41446/50000) 
Test epoch: 8 | Loss: *0.670* | Acc: *77.440%* (7744/10000)
Train epoch: 9 | Loss: *0.447* | Acc: *84.550%* (42275/50000) 
Test epoch: 9 | Loss: *2.310* | Acc: *43.200%* (4320/10000)
Train epoch: 10 | Loss: *0.401* | Acc: *86.336%* (43168/50000) 
Test epoch: 10 | Loss: *0.725* | Acc: *75.730%* (7573/10000)
Train epoch: 11 | Loss: *0.361* | Acc: *87.538%* (43769/50000) 
Test epoch: 11 | Loss: *0.759* | Acc: *74.910%* (7491/10000)
Train epoch: 12 | Loss: *0.319* | Acc: *89.092%* (44546/50000) 
Test epoch: 12 | Loss: *0.678* | Acc: *78.010%* (7801/10000)
Train epoch: 13 | Loss: *0.283* | Acc: *90.436%* (45218/50000) 
Test epoch: 13 | Loss: *0.711* | Acc: *77.430%* (7743/10000)
Train epoch: 14 | Loss: *0.250* | Acc: *91.670%* (45835/50000) 
Test epoch: 14 | Loss: *0.687* | Acc: *77.510%* (7751/10000)
Train epoch: 15 | Loss: *0.217* | Acc: *92.758%* (46379/50000) 
Test epoch: 15 | Loss: *0.873* | Acc: *73.730%* (7373/10000)
Train epoch: 16 | Loss: *0.186* | Acc: *93.966%* (46983/50000) 
Test epoch: 16 | Loss: *0.726* | Acc: *77.590%* (7759/10000)
Train epoch: 17 | Loss: *0.158* | Acc: *94.886%* (47443/50000) 
Test epoch: 17 | Loss: *0.773* | Acc: *77.530%* (7753/10000)
Train epoch: 18 | Loss: *0.137* | Acc: *95.604%* (47802/50000) 
Test epoch: 18 | Loss: *0.689* | Acc: *80.090%* (8009/10000)
Train epoch: 19 | Loss: *0.113* | Acc: *96.460%* (48230/50000) 
Test epoch: 19 | Loss: *0.678* | Acc: *79.990%* (7999/10000)
Train epoch: 20 | Loss: *0.095* | Acc: *97.084%* (48542/50000) 
Test epoch: 20 | Loss: *0.819* | Acc: *77.430%* (7743/10000)
Train epoch: 21 | Loss: *0.087* | Acc: *97.314%* (48657/50000) 
Test epoch: 21 | Loss: *0.636* | Acc: *81.970%* (8197/10000)
Train epoch: 22 | Loss: *0.071* | Acc: *97.928%* (48964/50000) 
Test epoch: 22 | Loss: *0.892* | Acc: *77.270%* (7727/10000)
Train epoch: 23 | Loss: *0.056* | Acc: *98.442%* (49221/50000) 
Test epoch: 23 | Loss: *0.755* | Acc: *79.960%* (7996/10000)
Train epoch: 24 | Loss: *0.051* | Acc: *98.602%* (49301/50000) 
Test epoch: 24 | Loss: *0.690* | Acc: *80.940%* (8094/10000)
Train epoch: 25 | Loss: *0.043* | Acc: *98.850%* (49425/50000) 
Test epoch: 25 | Loss: *0.705* | Acc: *81.530%* (8153/10000)
Train epoch: 26 | Loss: *0.047* | Acc: *98.686%* (49343/50000) 
Test epoch: 26 | Loss: *0.740* | Acc: *81.270%* (8127/10000)
Train epoch: 27 | Loss: *0.043* | Acc: *98.828%* (49414/50000) 
Test epoch: 27 | Loss: *0.823* | Acc: *79.550%* (7955/10000)
Train epoch: 28 | Loss: *0.034* | Acc: *99.144%* (49572/50000) 
Test epoch: 28 | Loss: *0.748* | Acc: *81.710%* (8171/10000)
Train epoch: 29 | Loss: *0.028* | Acc: *99.264%* (49632/50000) 
Test epoch: 29 | Loss: *0.941* | Acc: *77.270%* (7727/10000)
Train epoch: 30 | Loss: *0.031* | Acc: *99.268%* (49634/50000) 
Test epoch: 30 | Loss: *0.723* | Acc: *81.530%* (8153/10000)
Train epoch: 31 | Loss: *0.038* | Acc: *98.862%* (49431/50000) 
Test epoch: 31 | Loss: *0.675* | Acc: *82.150%* (8215/10000)
Train epoch: 32 | Loss: *0.025* | Acc: *99.392%* (49696/50000) 
Test epoch: 32 | Loss: *0.735* | Acc: *81.740%* (8174/10000)
Train epoch: 33 | Loss: *0.023* | Acc: *99.446%* (49723/50000) 
Test epoch: 33 | Loss: *0.685* | Acc: *82.410%* (8241/10000)
Train epoch: 34 | Loss: *0.019* | Acc: *99.550%* (49775/50000) 
Test epoch: 34 | Loss: *0.710* | Acc: *82.430%* (8243/10000)
Train epoch: 35 | Loss: *0.027* | Acc: *99.300%* (49650/50000) 
Test epoch: 35 | Loss: *0.829* | Acc: *79.520%* (7952/10000)
Train epoch: 36 | Loss: *0.027* | Acc: *99.280%* (49640/50000) 
Test epoch: 36 | Loss: *0.917* | Acc: *78.290%* (7829/10000)
Train epoch: 37 | Loss: *0.028* | Acc: *99.260%* (49630/50000) 
Test epoch: 37 | Loss: *0.755* | Acc: *81.830%* (8183/10000)
Train epoch: 38 | Loss: *0.022* | Acc: *99.466%* (49733/50000) 
Test epoch: 38 | Loss: *0.612* | Acc: *84.370%* (8437/10000)
Train epoch: 39 | Loss: *0.020* | Acc: *99.572%* (49786/50000) 
Test epoch: 39 | Loss: *0.990* | Acc: *77.290%* (7729/10000)
