==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [1, 3], In channel: 64, Input layer conv kernel: 7x7, Residual layer conv kernel 7x7, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 3
==> Optimizer is Adam
==> Learning rate: 0.001
==> Weight decay: 0.0005
==>Trainable Parameters: 4837962
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.600* | Acc: *40.694%* (20347/50000) 
Test epoch: 1 | Loss: *1.631* | Acc: *42.970%* (4297/10000)
Train epoch: 2 | Loss: *1.218* | Acc: *55.934%* (27967/50000) 
Test epoch: 2 | Loss: *1.332* | Acc: *55.080%* (5508/10000)
Train epoch: 3 | Loss: *1.065* | Acc: *62.072%* (31036/50000) 
Test epoch: 3 | Loss: *1.382* | Acc: *53.260%* (5326/10000)
Train epoch: 4 | Loss: *0.958* | Acc: *66.160%* (33080/50000) 
Test epoch: 4 | Loss: *1.328* | Acc: *55.890%* (5589/10000)
Train epoch: 5 | Loss: *0.865* | Acc: *69.602%* (34801/50000) 
Test epoch: 5 | Loss: *0.938* | Acc: *68.290%* (6829/10000)
Train epoch: 6 | Loss: *0.784* | Acc: *72.934%* (36467/50000) 
Test epoch: 6 | Loss: *1.016* | Acc: *67.250%* (6725/10000)
Train epoch: 7 | Loss: *0.721* | Acc: *75.232%* (37616/50000) 
Test epoch: 7 | Loss: *0.804* | Acc: *72.760%* (7276/10000)
Train epoch: 8 | Loss: *0.673* | Acc: *76.794%* (38397/50000) 
Test epoch: 8 | Loss: *1.135* | Acc: *65.510%* (6551/10000)
Train epoch: 9 | Loss: *0.631* | Acc: *78.510%* (39255/50000) 
Test epoch: 9 | Loss: *1.657* | Acc: *56.630%* (5663/10000)
Train epoch: 10 | Loss: *0.605* | Acc: *79.388%* (39694/50000) 
Test epoch: 10 | Loss: *0.798* | Acc: *73.350%* (7335/10000)
Train epoch: 11 | Loss: *0.574* | Acc: *80.484%* (40242/50000) 
Test epoch: 11 | Loss: *0.742* | Acc: *75.450%* (7545/10000)
Train epoch: 12 | Loss: *0.549* | Acc: *81.278%* (40639/50000) 
Test epoch: 12 | Loss: *0.780* | Acc: *74.810%* (7481/10000)
Train epoch: 13 | Loss: *0.524* | Acc: *82.108%* (41054/50000) 
