==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [1, 3], In channel: 64, Input layer conv kernel: 7x7, Residual layer conv kernel 7x7, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 3
==> Optimizer is SGD with Nesterov
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4837962
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.575* | Acc: *42.264%* (21132/50000) 
Test epoch: 1 | Loss: *1.406* | Acc: *48.720%* (4872/10000)
Train epoch: 2 | Loss: *1.110* | Acc: *60.154%* (30077/50000) 
Test epoch: 2 | Loss: *3.367* | Acc: *27.010%* (2701/10000)
Train epoch: 3 | Loss: *0.903* | Acc: *68.144%* (34072/50000) 
Test epoch: 3 | Loss: *1.474* | Acc: *53.370%* (5337/10000)
Train epoch: 4 | Loss: *0.778* | Acc: *72.730%* (36365/50000) 
Test epoch: 4 | Loss: *1.195* | Acc: *58.080%* (5808/10000)
Train epoch: 5 | Loss: *0.677* | Acc: *76.368%* (38184/50000) 
Test epoch: 5 | Loss: *0.827* | Acc: *71.560%* (7156/10000)
Train epoch: 6 | Loss: *0.606* | Acc: *78.982%* (39491/50000) 
Test epoch: 6 | Loss: *0.793* | Acc: *72.590%* (7259/10000)
Train epoch: 7 | Loss: *0.546* | Acc: *81.156%* (40578/50000) 
Test epoch: 7 | Loss: *1.145* | Acc: *62.780%* (6278/10000)
Train epoch: 8 | Loss: *0.497* | Acc: *82.992%* (41496/50000) 
Test epoch: 8 | Loss: *0.689* | Acc: *76.200%* (7620/10000)
Train epoch: 9 | Loss: *0.456* | Acc: *84.334%* (42167/50000) 
Test epoch: 9 | Loss: *0.781* | Acc: *73.590%* (7359/10000)
Train epoch: 10 | Loss: *0.424* | Acc: *85.520%* (42760/50000) 
Test epoch: 10 | Loss: *1.331* | Acc: *60.740%* (6074/10000)
Train epoch: 11 | Loss: *0.394* | Acc: *86.306%* (43153/50000) 
Test epoch: 11 | Loss: *0.722* | Acc: *75.450%* (7545/10000)
Train epoch: 12 | Loss: *0.363* | Acc: *87.474%* (43737/50000) 
Test epoch: 12 | Loss: *0.653* | Acc: *77.840%* (7784/10000)
Train epoch: 13 | Loss: *0.345* | Acc: *87.964%* (43982/50000) 
Test epoch: 13 | Loss: *0.808* | Acc: *76.000%* (7600/10000)
Train epoch: 14 | Loss: *0.324* | Acc: *88.868%* (44434/50000) 
Test epoch: 14 | Loss: *0.729* | Acc: *75.950%* (7595/10000)
Train epoch: 15 | Loss: *0.310* | Acc: *89.258%* (44629/50000) 
Test epoch: 15 | Loss: *0.852* | Acc: *74.000%* (7400/10000)
Train epoch: 16 | Loss: *0.296* | Acc: *89.764%* (44882/50000) 
Test epoch: 16 | Loss: *0.947* | Acc: *69.430%* (6943/10000)
Train epoch: 17 | Loss: *0.280* | Acc: *90.352%* (45176/50000) 
Test epoch: 17 | Loss: *0.546* | Acc: *81.480%* (8148/10000)
Train epoch: 18 | Loss: *0.270* | Acc: *90.714%* (45357/50000) 
Test epoch: 18 | Loss: *0.899* | Acc: *70.490%* (7049/10000)
Train epoch: 19 | Loss: *0.259* | Acc: *91.092%* (45546/50000) 
Test epoch: 19 | Loss: *0.779* | Acc: *76.080%* (7608/10000)
Train epoch: 20 | Loss: *0.256* | Acc: *91.098%* (45549/50000) 
Test epoch: 20 | Loss: *0.709* | Acc: *77.780%* (7778/10000)
Train epoch: 21 | Loss: *0.242* | Acc: *91.672%* (45836/50000) 
Test epoch: 21 | Loss: *0.666* | Acc: *79.030%* (7903/10000)
Train epoch: 22 | Loss: *0.248* | Acc: *91.354%* (45677/50000) 
Test epoch: 22 | Loss: *0.719* | Acc: *75.970%* (7597/10000)
Train epoch: 23 | Loss: *0.233* | Acc: *91.824%* (45912/50000) 
Test epoch: 23 | Loss: *0.802* | Acc: *76.250%* (7625/10000)
Train epoch: 24 | Loss: *0.224* | Acc: *92.230%* (46115/50000) 
Test epoch: 24 | Loss: *0.670* | Acc: *78.750%* (7875/10000)
Train epoch: 25 | Loss: *0.217* | Acc: *92.608%* (46304/50000) 
Test epoch: 25 | Loss: *0.664* | Acc: *79.070%* (7907/10000)
Train epoch: 26 | Loss: *0.221* | Acc: *92.194%* (46097/50000) 
Test epoch: 26 | Loss: *0.703* | Acc: *79.030%* (7903/10000)
Train epoch: 27 | Loss: *0.218* | Acc: *92.418%* (46209/50000) 
Test epoch: 27 | Loss: *0.782* | Acc: *76.500%* (7650/10000)
Train epoch: 28 | Loss: *0.205* | Acc: *92.918%* (46459/50000) 
Test epoch: 28 | Loss: *0.803* | Acc: *76.250%* (7625/10000)
Train epoch: 29 | Loss: *0.208* | Acc: *92.736%* (46368/50000) 
Test epoch: 29 | Loss: *0.687* | Acc: *79.390%* (7939/10000)
Train epoch: 30 | Loss: *0.206* | Acc: *92.778%* (46389/50000) 
Test epoch: 30 | Loss: *0.559* | Acc: *82.080%* (8208/10000)
Train epoch: 31 | Loss: *0.199* | Acc: *93.056%* (46528/50000) 
Test epoch: 31 | Loss: *0.831* | Acc: *77.210%* (7721/10000)
Train epoch: 32 | Loss: *0.195* | Acc: *93.310%* (46655/50000) 
Test epoch: 32 | Loss: *1.048* | Acc: *69.530%* (6953/10000)
Train epoch: 33 | Loss: *0.200* | Acc: *92.986%* (46493/50000) 
Test epoch: 33 | Loss: *0.793* | Acc: *76.880%* (7688/10000)
Train epoch: 34 | Loss: *0.190* | Acc: *93.478%* (46739/50000) 
Test epoch: 34 | Loss: *0.698* | Acc: *78.180%* (7818/10000)
Train epoch: 35 | Loss: *0.187* | Acc: *93.678%* (46839/50000) 
Test epoch: 35 | Loss: *0.684* | Acc: *79.490%* (7949/10000)
Train epoch: 36 | Loss: *0.191* | Acc: *93.472%* (46736/50000) 
Test epoch: 36 | Loss: *0.778* | Acc: *75.930%* (7593/10000)
Train epoch: 37 | Loss: *0.180* | Acc: *93.800%* (46900/50000) 
Test epoch: 37 | Loss: *1.000* | Acc: *72.190%* (7219/10000)
Train epoch: 38 | Loss: *0.183* | Acc: *93.712%* (46856/50000) 
Test epoch: 38 | Loss: *0.572* | Acc: *82.360%* (8236/10000)
Train epoch: 39 | Loss: *0.175* | Acc: *94.020%* (47010/50000) 
Test epoch: 39 | Loss: *0.689* | Acc: *79.260%* (7926/10000)
Train epoch: 40 | Loss: *0.176* | Acc: *94.052%* (47026/50000) 
Test epoch: 40 | Loss: *0.688* | Acc: *79.210%* (7921/10000)
Train epoch: 41 | Loss: *0.183* | Acc: *93.740%* (46870/50000) 
Test epoch: 41 | Loss: *0.624* | Acc: *80.790%* (8079/10000)
Train epoch: 42 | Loss: *0.167* | Acc: *94.224%* (47112/50000) 
Test epoch: 42 | Loss: *0.694* | Acc: *79.490%* (7949/10000)
Train epoch: 43 | Loss: *0.174* | Acc: *94.024%* (47012/50000) 
Test epoch: 43 | Loss: *0.637* | Acc: *80.900%* (8090/10000)
Train epoch: 44 | Loss: *0.167* | Acc: *94.278%* (47139/50000) 
Test epoch: 44 | Loss: *0.737* | Acc: *77.970%* (7797/10000)
Train epoch: 45 | Loss: *0.166* | Acc: *94.350%* (47175/50000) 
Test epoch: 45 | Loss: *0.948* | Acc: *73.300%* (7330/10000)
Train epoch: 46 | Loss: *0.171* | Acc: *94.114%* (47057/50000) 
Test epoch: 46 | Loss: *0.683* | Acc: *78.630%* (7863/10000)
Train epoch: 47 | Loss: *0.163* | Acc: *94.432%* (47216/50000) 
Test epoch: 47 | Loss: *0.826* | Acc: *75.380%* (7538/10000)
Train epoch: 48 | Loss: *0.166* | Acc: *94.256%* (47128/50000) 
Test epoch: 48 | Loss: *0.632* | Acc: *81.520%* (8152/10000)
Train epoch: 49 | Loss: *0.156* | Acc: *94.774%* (47387/50000) 
Test epoch: 49 | Loss: *1.197* | Acc: *67.630%* (6763/10000)
Train epoch: 50 | Loss: *0.157* | Acc: *94.544%* (47272/50000) 
Test epoch: 50 | Loss: *0.777* | Acc: *76.030%* (7603/10000)
Train epoch: 51 | Loss: *0.160* | Acc: *94.554%* (47277/50000) 
Test epoch: 51 | Loss: *0.661* | Acc: *79.860%* (7986/10000)
Train epoch: 52 | Loss: *0.154* | Acc: *94.750%* (47375/50000) 
Test epoch: 52 | Loss: *0.636* | Acc: *81.300%* (8130/10000)
Train epoch: 53 | Loss: *0.151* | Acc: *94.852%* (47426/50000) 
Test epoch: 53 | Loss: *0.893* | Acc: *75.920%* (7592/10000)
Train epoch: 54 | Loss: *0.152* | Acc: *94.802%* (47401/50000) 
Test epoch: 54 | Loss: *0.976* | Acc: *73.470%* (7347/10000)
Train epoch: 55 | Loss: *0.147* | Acc: *94.994%* (47497/50000) 
Test epoch: 55 | Loss: *0.762* | Acc: *77.830%* (7783/10000)
Train epoch: 56 | Loss: *0.151* | Acc: *94.856%* (47428/50000) 
Test epoch: 56 | Loss: *0.732* | Acc: *78.650%* (7865/10000)
Train epoch: 57 | Loss: *0.141* | Acc: *95.174%* (47587/50000) 
Test epoch: 57 | Loss: *1.059* | Acc: *73.420%* (7342/10000)
Train epoch: 58 | Loss: *0.145* | Acc: *95.032%* (47516/50000) 
Test epoch: 58 | Loss: *0.740* | Acc: *79.160%* (7916/10000)
Train epoch: 59 | Loss: *0.152* | Acc: *94.668%* (47334/50000) 
Test epoch: 59 | Loss: *0.771* | Acc: *78.380%* (7838/10000)
Train epoch: 60 | Loss: *0.143* | Acc: *95.128%* (47564/50000) 
Test epoch: 60 | Loss: *0.800* | Acc: *77.590%* (7759/10000)
Train epoch: 61 | Loss: *0.141* | Acc: *95.194%* (47597/50000) 
Test epoch: 61 | Loss: *0.706* | Acc: *78.470%* (7847/10000)
