==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [3, 1], In channel: 128, Input layer conv kernel: 7x7, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 2
==> Optimizer is Adadelta
==> Learning rate: 1.0
==> Weight decay: 0.0005
==>Trainable Parameters: 4972682
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.724* | Acc: *35.238%* (17619/50000) 
Test epoch: 1 | Loss: *2.126* | Acc: *33.300%* (3330/10000)
Train epoch: 2 | Loss: *1.386* | Acc: *49.290%* (24645/50000) 
Test epoch: 2 | Loss: *1.587* | Acc: *44.790%* (4479/10000)
Train epoch: 3 | Loss: *1.191* | Acc: *57.152%* (28576/50000) 
Test epoch: 3 | Loss: *1.536* | Acc: *48.310%* (4831/10000)
Train epoch: 4 | Loss: *1.060* | Acc: *62.086%* (31043/50000) 
Test epoch: 4 | Loss: *1.364* | Acc: *55.220%* (5522/10000)
Train epoch: 5 | Loss: *0.960* | Acc: *65.686%* (32843/50000) 
Test epoch: 5 | Loss: *1.383* | Acc: *58.160%* (5816/10000)
Train epoch: 6 | Loss: *0.874* | Acc: *69.140%* (34570/50000) 
Test epoch: 6 | Loss: *1.165* | Acc: *60.560%* (6056/10000)
Train epoch: 7 | Loss: *0.799* | Acc: *71.986%* (35993/50000) 
Test epoch: 7 | Loss: *0.990* | Acc: *65.070%* (6507/10000)
Train epoch: 8 | Loss: *0.734* | Acc: *74.580%* (37290/50000) 
Test epoch: 8 | Loss: *1.024* | Acc: *64.970%* (6497/10000)
Train epoch: 9 | Loss: *0.678* | Acc: *76.714%* (38357/50000) 
Test epoch: 9 | Loss: *1.240* | Acc: *63.270%* (6327/10000)
Train epoch: 10 | Loss: *0.635* | Acc: *78.038%* (39019/50000) 
Test epoch: 10 | Loss: *0.736* | Acc: *75.580%* (7558/10000)
Train epoch: 11 | Loss: *0.598* | Acc: *79.342%* (39671/50000) 
Test epoch: 11 | Loss: *0.841* | Acc: *71.140%* (7114/10000)
Train epoch: 12 | Loss: *0.568* | Acc: *80.318%* (40159/50000) 
Test epoch: 12 | Loss: *1.742* | Acc: *55.660%* (5566/10000)
Train epoch: 13 | Loss: *0.539* | Acc: *81.468%* (40734/50000) 
Test epoch: 13 | Loss: *1.460* | Acc: *64.190%* (6419/10000)
Train epoch: 14 | Loss: *0.518* | Acc: *82.232%* (41116/50000) 
Test epoch: 14 | Loss: *0.992* | Acc: *69.830%* (6983/10000)
Train epoch: 15 | Loss: *0.497* | Acc: *83.100%* (41550/50000) 
Test epoch: 15 | Loss: *0.624* | Acc: *79.050%* (7905/10000)
Train epoch: 16 | Loss: *0.474* | Acc: *83.914%* (41957/50000) 
Test epoch: 16 | Loss: *0.650* | Acc: *78.430%* (7843/10000)
Train epoch: 17 | Loss: *0.459* | Acc: *84.230%* (42115/50000) 
Test epoch: 17 | Loss: *1.501* | Acc: *64.930%* (6493/10000)
Train epoch: 18 | Loss: *0.442* | Acc: *84.864%* (42432/50000) 
Test epoch: 18 | Loss: *1.175* | Acc: *66.450%* (6645/10000)
Train epoch: 19 | Loss: *0.428* | Acc: *85.360%* (42680/50000) 
Test epoch: 19 | Loss: *0.927* | Acc: *74.390%* (7439/10000)
Train epoch: 20 | Loss: *0.414* | Acc: *85.668%* (42834/50000) 
Test epoch: 20 | Loss: *0.546* | Acc: *82.050%* (8205/10000)
Train epoch: 21 | Loss: *0.402* | Acc: *86.160%* (43080/50000) 
Test epoch: 21 | Loss: *0.961* | Acc: *72.610%* (7261/10000)
Train epoch: 22 | Loss: *0.391* | Acc: *86.464%* (43232/50000) 
Test epoch: 22 | Loss: *0.770* | Acc: *76.090%* (7609/10000)
Train epoch: 23 | Loss: *0.378* | Acc: *87.092%* (43546/50000) 
Test epoch: 23 | Loss: *0.642* | Acc: *79.290%* (7929/10000)
Train epoch: 24 | Loss: *0.373* | Acc: *87.212%* (43606/50000) 
Test epoch: 24 | Loss: *0.682* | Acc: *79.730%* (7973/10000)
Train epoch: 25 | Loss: *0.363* | Acc: *87.412%* (43706/50000) 
Test epoch: 25 | Loss: *0.857* | Acc: *73.590%* (7359/10000)
Train epoch: 26 | Loss: *0.354* | Acc: *87.848%* (43924/50000) 
