Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: Torch in ./.local/lib/python3.8/site-packages (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from Torch) (4.1.1)
Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: torchvision in ./.local/lib/python3.8/site-packages (0.11.3)
Requirement already satisfied: torch==1.10.2 in ./.local/lib/python3.8/site-packages (from torchvision) (1.10.2)
Requirement already satisfied: numpy in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (1.18.5)
Requirement already satisfied: pillow!=8.3.0,>=5.3.0 in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (7.2.0)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from torch==1.10.2->torchvision) (4.1.1)
==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [3, 1], In channel: 128, Input layer conv kernel: 7x7, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 2
==> Optimizer is Adadelta
==> Learning rate: 1.0
==> Weight decay: 0.0005
==>Trainable Parameters: 4972682
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.661* | Acc: *37.684%* (18842/50000) 
Test epoch: 1 | Loss: *4.268* | Acc: *18.150%* (1815/10000)
Train epoch: 2 | Loss: *1.301* | Acc: *52.356%* (26178/50000) 
Test epoch: 2 | Loss: *1.703* | Acc: *41.310%* (4131/10000)
Train epoch: 3 | Loss: *1.080* | Acc: *61.180%* (30590/50000) 
Test epoch: 3 | Loss: *1.252* | Acc: *55.910%* (5591/10000)
Train epoch: 4 | Loss: *0.933* | Acc: *66.594%* (33297/50000) 
Test epoch: 4 | Loss: *1.393* | Acc: *52.970%* (5297/10000)
Train epoch: 5 | Loss: *0.813* | Acc: *71.364%* (35682/50000) 
Test epoch: 5 | Loss: *1.320* | Acc: *55.080%* (5508/10000)
Train epoch: 6 | Loss: *0.715* | Acc: *75.038%* (37519/50000) 
Test epoch: 6 | Loss: *0.931* | Acc: *67.780%* (6778/10000)
Train epoch: 7 | Loss: *0.634* | Acc: *78.112%* (39056/50000) 
Test epoch: 7 | Loss: *1.144* | Acc: *61.540%* (6154/10000)
Train epoch: 8 | Loss: *0.569* | Acc: *80.196%* (40098/50000) 
Test epoch: 8 | Loss: *1.105* | Acc: *63.100%* (6310/10000)
Train epoch: 9 | Loss: *0.514* | Acc: *82.344%* (41172/50000) 
Test epoch: 9 | Loss: *1.555* | Acc: *46.280%* (4628/10000)
Train epoch: 10 | Loss: *0.469* | Acc: *83.820%* (41910/50000) 
Test epoch: 10 | Loss: *1.337* | Acc: *56.790%* (5679/10000)
Train epoch: 11 | Loss: *0.436* | Acc: *84.842%* (42421/50000) 
Test epoch: 11 | Loss: *1.433* | Acc: *57.150%* (5715/10000)
Train epoch: 12 | Loss: *0.403* | Acc: *86.040%* (43020/50000) 
Test epoch: 12 | Loss: *0.720* | Acc: *75.450%* (7545/10000)
Train epoch: 13 | Loss: *0.378* | Acc: *87.066%* (43533/50000) 
Test epoch: 13 | Loss: *1.167* | Acc: *62.560%* (6256/10000)
Train epoch: 14 | Loss: *0.355* | Acc: *87.802%* (43901/50000) 
Test epoch: 14 | Loss: *1.708* | Acc: *50.150%* (5015/10000)
Train epoch: 15 | Loss: *0.338* | Acc: *88.246%* (44123/50000) 
Test epoch: 15 | Loss: *1.123* | Acc: *65.490%* (6549/10000)
Train epoch: 16 | Loss: *0.317* | Acc: *88.984%* (44492/50000) 
Test epoch: 16 | Loss: *1.550* | Acc: *47.390%* (4739/10000)
Train epoch: 17 | Loss: *0.304* | Acc: *89.572%* (44786/50000) 
Test epoch: 17 | Loss: *0.931* | Acc: *71.570%* (7157/10000)
Train epoch: 18 | Loss: *0.283* | Acc: *90.092%* (45046/50000) 
Test epoch: 18 | Loss: *3.603* | Acc: *35.250%* (3525/10000)
Train epoch: 19 | Loss: *0.276* | Acc: *90.456%* (45228/50000) 
Test epoch: 19 | Loss: *0.754* | Acc: *75.310%* (7531/10000)
Train epoch: 20 | Loss: *0.266* | Acc: *90.710%* (45355/50000) 
Test epoch: 20 | Loss: *0.659* | Acc: *78.770%* (7877/10000)
Train epoch: 21 | Loss: *0.250* | Acc: *91.290%* (45645/50000) 
Test epoch: 21 | Loss: *1.589* | Acc: *60.660%* (6066/10000)
Train epoch: 22 | Loss: *0.245* | Acc: *91.386%* (45693/50000) 
Test epoch: 22 | Loss: *1.048* | Acc: *70.490%* (7049/10000)
Train epoch: 23 | Loss: *0.238* | Acc: *91.820%* (45910/50000) 
Test epoch: 23 | Loss: *0.806* | Acc: *76.010%* (7601/10000)
Train epoch: 24 | Loss: *0.226* | Acc: *92.278%* (46139/50000) 
Test epoch: 24 | Loss: *0.813* | Acc: *75.270%* (7527/10000)
Train epoch: 25 | Loss: *0.225* | Acc: *92.198%* (46099/50000) 
Test epoch: 25 | Loss: *1.014* | Acc: *68.430%* (6843/10000)
Train epoch: 26 | Loss: *0.217* | Acc: *92.460%* (46230/50000) 
Test epoch: 26 | Loss: *0.907* | Acc: *73.630%* (7363/10000)
Train epoch: 27 | Loss: *0.208* | Acc: *92.666%* (46333/50000) 
Test epoch: 27 | Loss: *1.074* | Acc: *69.640%* (6964/10000)
Train epoch: 28 | Loss: *0.205* | Acc: *92.856%* (46428/50000) 
Test epoch: 28 | Loss: *0.887* | Acc: *74.280%* (7428/10000)
Train epoch: 29 | Loss: *0.204* | Acc: *92.928%* (46464/50000) 
Test epoch: 29 | Loss: *1.508* | Acc: *62.420%* (6242/10000)
Train epoch: 30 | Loss: *0.199* | Acc: *93.154%* (46577/50000) 
Test epoch: 30 | Loss: *0.832* | Acc: *76.370%* (7637/10000)
Train epoch: 31 | Loss: *0.190* | Acc: *93.294%* (46647/50000) 
Test epoch: 31 | Loss: *0.746* | Acc: *77.230%* (7723/10000)
Train epoch: 32 | Loss: *0.185* | Acc: *93.486%* (46743/50000) 
Test epoch: 32 | Loss: *0.799* | Acc: *74.780%* (7478/10000)
Train epoch: 33 | Loss: *0.186* | Acc: *93.526%* (46763/50000) 
Test epoch: 33 | Loss: *0.972* | Acc: *74.690%* (7469/10000)
Train epoch: 34 | Loss: *0.174* | Acc: *94.046%* (47023/50000) 
Test epoch: 34 | Loss: *0.705* | Acc: *79.240%* (7924/10000)
Train epoch: 35 | Loss: *0.174* | Acc: *93.972%* (46986/50000) 
Test epoch: 35 | Loss: *0.759* | Acc: *77.070%* (7707/10000)
Train epoch: 36 | Loss: *0.173* | Acc: *94.064%* (47032/50000) 
Test epoch: 36 | Loss: *1.185* | Acc: *67.250%* (6725/10000)
Train epoch: 37 | Loss: *0.165* | Acc: *94.300%* (47150/50000) 
Test epoch: 37 | Loss: *0.857* | Acc: *75.540%* (7554/10000)
Train epoch: 38 | Loss: *0.168* | Acc: *94.124%* (47062/50000) 
Test epoch: 38 | Loss: *0.539* | Acc: *83.460%* (8346/10000)
