Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: Torch in ./.local/lib/python3.8/site-packages (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from Torch) (4.1.1)
Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: torchvision in ./.local/lib/python3.8/site-packages (0.11.3)
Requirement already satisfied: torch==1.10.2 in ./.local/lib/python3.8/site-packages (from torchvision) (1.10.2)
Requirement already satisfied: pillow!=8.3.0,>=5.3.0 in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (7.2.0)
Requirement already satisfied: numpy in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (1.18.5)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from torch==1.10.2->torchvision) (4.1.1)
==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [3, 1], In channel: 128, Input layer conv kernel: 7x7, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 2
==> Optimizer is Adadelta
==> Learning rate: 1.0
==> Weight decay: 0.0005
==>Trainable Parameters: 4972682
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.639* | Acc: *38.720%* (19360/50000) 
Test epoch: 1 | Loss: *2.637* | Acc: *22.290%* (2229/10000)
Train epoch: 2 | Loss: *1.266* | Acc: *53.716%* (26858/50000) 
Test epoch: 2 | Loss: *1.522* | Acc: *48.720%* (4872/10000)
Train epoch: 3 | Loss: *1.060* | Acc: *61.866%* (30933/50000) 
Test epoch: 3 | Loss: *2.001* | Acc: *38.390%* (3839/10000)
Train epoch: 4 | Loss: *0.930* | Acc: *66.732%* (33366/50000) 
Test epoch: 4 | Loss: *2.081* | Acc: *41.350%* (4135/10000)
Train epoch: 5 | Loss: *0.820* | Acc: *71.116%* (35558/50000) 
Test epoch: 5 | Loss: *1.095* | Acc: *62.160%* (6216/10000)
Train epoch: 6 | Loss: *0.724* | Acc: *74.600%* (37300/50000) 
Test epoch: 6 | Loss: *1.956* | Acc: *42.080%* (4208/10000)
Train epoch: 7 | Loss: *0.640* | Acc: *77.748%* (38874/50000) 
Test epoch: 7 | Loss: *1.287* | Acc: *57.780%* (5778/10000)
Train epoch: 8 | Loss: *0.575* | Acc: *79.948%* (39974/50000) 
Test epoch: 8 | Loss: *1.293* | Acc: *61.700%* (6170/10000)
Train epoch: 9 | Loss: *0.519* | Acc: *81.992%* (40996/50000) 
Test epoch: 9 | Loss: *0.809* | Acc: *72.090%* (7209/10000)
Train epoch: 10 | Loss: *0.478* | Acc: *83.508%* (41754/50000) 
Test epoch: 10 | Loss: *1.232* | Acc: *62.800%* (6280/10000)
Train epoch: 11 | Loss: *0.440* | Acc: *84.736%* (42368/50000) 
