Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: Torch in ./.local/lib/python3.8/site-packages (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from Torch) (4.1.1)
Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: torchvision in ./.local/lib/python3.8/site-packages (0.11.3)
Requirement already satisfied: pillow!=8.3.0,>=5.3.0 in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (7.2.0)
Requirement already satisfied: numpy in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (1.18.5)
Requirement already satisfied: torch==1.10.2 in ./.local/lib/python3.8/site-packages (from torchvision) (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from torch==1.10.2->torchvision) (4.1.1)
==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [3, 1], In channel: 128, Input layer conv kernel: 7x7, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 2
==> Optimizer is Adagrad
==> Learning rate: 0.01
==> Weight decay: 0.0005
==>Trainable Parameters: 4972682
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.606* | Acc: *39.994%* (19997/50000) 
Test epoch: 1 | Loss: *1.682* | Acc: *39.850%* (3985/10000)
Train epoch: 2 | Loss: *1.221* | Acc: *55.810%* (27905/50000) 
Test epoch: 2 | Loss: *1.307* | Acc: *53.750%* (5375/10000)
Train epoch: 3 | Loss: *1.028* | Acc: *63.130%* (31565/50000) 
Test epoch: 3 | Loss: *2.249* | Acc: *32.490%* (3249/10000)
Train epoch: 4 | Loss: *0.904* | Acc: *68.038%* (34019/50000) 
Test epoch: 4 | Loss: *1.536* | Acc: *50.220%* (5022/10000)
Train epoch: 5 | Loss: *0.810* | Acc: *71.208%* (35604/50000) 
Test epoch: 5 | Loss: *0.882* | Acc: *69.170%* (6917/10000)
Train epoch: 6 | Loss: *0.734* | Acc: *74.058%* (37029/50000) 
Test epoch: 6 | Loss: *1.275* | Acc: *56.320%* (5632/10000)
Train epoch: 7 | Loss: *0.667* | Acc: *76.690%* (38345/50000) 
Test epoch: 7 | Loss: *0.904* | Acc: *68.420%* (6842/10000)
Train epoch: 8 | Loss: *0.606* | Acc: *78.932%* (39466/50000) 
Test epoch: 8 | Loss: *1.079* | Acc: *64.790%* (6479/10000)
Train epoch: 9 | Loss: *0.555* | Acc: *80.802%* (40401/50000) 
Test epoch: 9 | Loss: *1.128* | Acc: *64.760%* (6476/10000)
Train epoch: 10 | Loss: *0.506* | Acc: *82.600%* (41300/50000) 
Test epoch: 10 | Loss: *0.967* | Acc: *68.200%* (6820/10000)
Train epoch: 11 | Loss: *0.467* | Acc: *83.838%* (41919/50000) 
Test epoch: 11 | Loss: *0.846* | Acc: *72.200%* (7220/10000)
Train epoch: 12 | Loss: *0.433* | Acc: *84.976%* (42488/50000) 
Test epoch: 12 | Loss: *1.045* | Acc: *66.790%* (6679/10000)
Train epoch: 13 | Loss: *0.398* | Acc: *86.346%* (43173/50000) 
Test epoch: 13 | Loss: *0.633* | Acc: *78.840%* (7884/10000)
Train epoch: 14 | Loss: *0.366* | Acc: *87.490%* (43745/50000) 
Test epoch: 14 | Loss: *0.672* | Acc: *77.440%* (7744/10000)
Train epoch: 15 | Loss: *0.336* | Acc: *88.706%* (44353/50000) 
Test epoch: 15 | Loss: *0.915* | Acc: *71.820%* (7182/10000)
Train epoch: 16 | Loss: *0.311* | Acc: *89.376%* (44688/50000) 
Test epoch: 16 | Loss: *0.839* | Acc: *73.420%* (7342/10000)
Train epoch: 17 | Loss: *0.281* | Acc: *90.564%* (45282/50000) 
Test epoch: 17 | Loss: *0.598* | Acc: *79.740%* (7974/10000)
Train epoch: 18 | Loss: *0.258* | Acc: *91.262%* (45631/50000) 
Test epoch: 18 | Loss: *0.625* | Acc: *79.370%* (7937/10000)
Train epoch: 19 | Loss: *0.233* | Acc: *92.230%* (46115/50000) 
Test epoch: 19 | Loss: *0.783* | Acc: *76.190%* (7619/10000)
Train epoch: 20 | Loss: *0.209* | Acc: *93.156%* (46578/50000) 
Test epoch: 20 | Loss: *0.660* | Acc: *78.520%* (7852/10000)
Train epoch: 21 | Loss: *0.188* | Acc: *93.934%* (46967/50000) 
Test epoch: 21 | Loss: *0.847* | Acc: *75.410%* (7541/10000)
Train epoch: 22 | Loss: *0.169* | Acc: *94.522%* (47261/50000) 
Test epoch: 22 | Loss: *0.889* | Acc: *73.260%* (7326/10000)
Train epoch: 23 | Loss: *0.147* | Acc: *95.380%* (47690/50000) 
Test epoch: 23 | Loss: *0.551* | Acc: *82.630%* (8263/10000)
Train epoch: 24 | Loss: *0.131* | Acc: *96.024%* (48012/50000) 
Test epoch: 24 | Loss: *0.698* | Acc: *78.950%* (7895/10000)
Train epoch: 25 | Loss: *0.113* | Acc: *96.618%* (48309/50000) 
Test epoch: 25 | Loss: *0.776* | Acc: *77.780%* (7778/10000)
Train epoch: 26 | Loss: *0.101* | Acc: *97.118%* (48559/50000) 
Test epoch: 26 | Loss: *0.747* | Acc: *78.610%* (7861/10000)
Train epoch: 27 | Loss: *0.083* | Acc: *97.844%* (48922/50000) 
Test epoch: 27 | Loss: *0.554* | Acc: *82.500%* (8250/10000)
Train epoch: 28 | Loss: *0.079* | Acc: *97.820%* (48910/50000) 
Test epoch: 28 | Loss: *0.828* | Acc: *76.830%* (7683/10000)
Train epoch: 29 | Loss: *0.074* | Acc: *98.064%* (49032/50000) 
Test epoch: 29 | Loss: *0.624* | Acc: *81.500%* (8150/10000)
Train epoch: 30 | Loss: *0.058* | Acc: *98.678%* (49339/50000) 
Test epoch: 30 | Loss: *0.609* | Acc: *82.940%* (8294/10000)
Train epoch: 31 | Loss: *0.050* | Acc: *98.838%* (49419/50000) 
Test epoch: 31 | Loss: *0.653* | Acc: *81.830%* (8183/10000)
Train epoch: 32 | Loss: *0.045* | Acc: *99.008%* (49504/50000) 
