==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [3, 1], In channel: 128, Input layer conv kernel: 7x7, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 2
==> Optimizer is Adagrad
==> Learning rate: 0.01
==> Weight decay: 0.0005
==>Trainable Parameters: 4972682
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.613* | Acc: *39.604%* (19802/50000) 
Test epoch: 1 | Loss: *1.548* | Acc: *43.890%* (4389/10000)
Train epoch: 2 | Loss: *1.239* | Acc: *54.888%* (27444/50000) 
Test epoch: 2 | Loss: *2.693* | Acc: *28.760%* (2876/10000)
Train epoch: 3 | Loss: *1.048* | Acc: *62.846%* (31423/50000) 
Test epoch: 3 | Loss: *1.357* | Acc: *53.180%* (5318/10000)
Train epoch: 4 | Loss: *0.920* | Acc: *67.638%* (33819/50000) 
Test epoch: 4 | Loss: *1.465* | Acc: *49.500%* (4950/10000)
Train epoch: 5 | Loss: *0.829* | Acc: *70.842%* (35421/50000) 
Test epoch: 5 | Loss: *0.844* | Acc: *70.090%* (7009/10000)
Train epoch: 6 | Loss: *0.753* | Acc: *73.682%* (36841/50000) 
Test epoch: 6 | Loss: *1.090* | Acc: *63.290%* (6329/10000)
Train epoch: 7 | Loss: *0.682* | Acc: *76.122%* (38061/50000) 
Test epoch: 7 | Loss: *1.148* | Acc: *61.370%* (6137/10000)
Train epoch: 8 | Loss: *0.620* | Acc: *78.566%* (39283/50000) 
Test epoch: 8 | Loss: *0.994* | Acc: *66.650%* (6665/10000)
Train epoch: 9 | Loss: *0.571* | Acc: *80.186%* (40093/50000) 
Test epoch: 9 | Loss: *0.829* | Acc: *72.480%* (7248/10000)
Train epoch: 10 | Loss: *0.527* | Acc: *81.786%* (40893/50000) 
Test epoch: 10 | Loss: *0.882* | Acc: *69.520%* (6952/10000)
Train epoch: 11 | Loss: *0.486* | Acc: *83.298%* (41649/50000) 
Test epoch: 11 | Loss: *0.856* | Acc: *71.030%* (7103/10000)
Train epoch: 12 | Loss: *0.452* | Acc: *84.428%* (42214/50000) 
Test epoch: 12 | Loss: *0.736* | Acc: *75.340%* (7534/10000)
Train epoch: 13 | Loss: *0.417* | Acc: *85.622%* (42811/50000) 
Test epoch: 13 | Loss: *0.940* | Acc: *70.830%* (7083/10000)
