==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [3, 1], In channel: 128, Input layer conv kernel: 7x7, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 2
==> Optimizer is Adam
==> Learning rate: 0.001
==> Weight decay: 0.0005
==>Trainable Parameters: 4972682
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.515* | Acc: *43.744%* (21872/50000) 
Test epoch: 1 | Loss: *1.602* | Acc: *42.460%* (4246/10000)
Train epoch: 2 | Loss: *1.174* | Acc: *57.788%* (28894/50000) 
Test epoch: 2 | Loss: *1.460* | Acc: *47.590%* (4759/10000)
Train epoch: 3 | Loss: *1.015* | Acc: *63.718%* (31859/50000) 
Test epoch: 3 | Loss: *1.170* | Acc: *57.300%* (5730/10000)
Train epoch: 4 | Loss: *0.926* | Acc: *67.120%* (33560/50000) 
Test epoch: 4 | Loss: *1.391* | Acc: *53.680%* (5368/10000)
Train epoch: 5 | Loss: *0.829* | Acc: *70.752%* (35376/50000) 
Test epoch: 5 | Loss: *1.678* | Acc: *50.940%* (5094/10000)
Train epoch: 6 | Loss: *0.750* | Acc: *73.794%* (36897/50000) 
Test epoch: 6 | Loss: *1.289* | Acc: *57.800%* (5780/10000)
Train epoch: 7 | Loss: *0.682* | Acc: *76.088%* (38044/50000) 
Test epoch: 7 | Loss: *1.490* | Acc: *59.180%* (5918/10000)
Train epoch: 8 | Loss: *0.629* | Acc: *78.312%* (39156/50000) 
Test epoch: 8 | Loss: *0.858* | Acc: *69.370%* (6937/10000)
Train epoch: 9 | Loss: *0.583* | Acc: *79.812%* (39906/50000) 
Test epoch: 9 | Loss: *1.031* | Acc: *66.370%* (6637/10000)
Train epoch: 10 | Loss: *0.540* | Acc: *81.202%* (40601/50000) 
Test epoch: 10 | Loss: *1.195* | Acc: *62.650%* (6265/10000)
Train epoch: 11 | Loss: *0.516* | Acc: *82.002%* (41001/50000) 
Test epoch: 11 | Loss: *0.894* | Acc: *69.830%* (6983/10000)
Train epoch: 12 | Loss: *0.488* | Acc: *83.184%* (41592/50000) 
Test epoch: 12 | Loss: *1.496* | Acc: *57.450%* (5745/10000)
Train epoch: 13 | Loss: *0.459* | Acc: *84.310%* (42155/50000) 
Test epoch: 13 | Loss: *0.624* | Acc: *78.000%* (7800/10000)
Train epoch: 14 | Loss: *0.436* | Acc: *85.060%* (42530/50000) 
Test epoch: 14 | Loss: *0.746* | Acc: *75.710%* (7571/10000)
Train epoch: 15 | Loss: *0.416* | Acc: *85.648%* (42824/50000) 
Test epoch: 15 | Loss: *0.777* | Acc: *75.160%* (7516/10000)
Train epoch: 16 | Loss: *0.397* | Acc: *86.228%* (43114/50000) 
Test epoch: 16 | Loss: *0.884* | Acc: *71.960%* (7196/10000)
Train epoch: 17 | Loss: *0.381* | Acc: *86.954%* (43477/50000) 
Test epoch: 17 | Loss: *0.790* | Acc: *73.720%* (7372/10000)
Train epoch: 18 | Loss: *0.363* | Acc: *87.516%* (43758/50000) 
Test epoch: 18 | Loss: *0.791* | Acc: *73.980%* (7398/10000)
Train epoch: 19 | Loss: *0.353* | Acc: *87.852%* (43926/50000) 
Test epoch: 19 | Loss: *0.521* | Acc: *82.710%* (8271/10000)
Train epoch: 20 | Loss: *0.336* | Acc: *88.456%* (44228/50000) 
Test epoch: 20 | Loss: *0.604* | Acc: *79.830%* (7983/10000)
Train epoch: 21 | Loss: *0.320* | Acc: *89.094%* (44547/50000) 
Test epoch: 21 | Loss: *0.670* | Acc: *79.000%* (7900/10000)
Train epoch: 22 | Loss: *0.315* | Acc: *89.192%* (44596/50000) 
Test epoch: 22 | Loss: *0.598* | Acc: *79.580%* (7958/10000)
Train epoch: 23 | Loss: *0.297* | Acc: *89.748%* (44874/50000) 
Test epoch: 23 | Loss: *0.735* | Acc: *76.720%* (7672/10000)
Train epoch: 24 | Loss: *0.289* | Acc: *90.032%* (45016/50000) 
Test epoch: 24 | Loss: *0.995* | Acc: *67.480%* (6748/10000)
Train epoch: 25 | Loss: *0.280* | Acc: *90.290%* (45145/50000) 
Test epoch: 25 | Loss: *0.634* | Acc: *78.950%* (7895/10000)
Train epoch: 26 | Loss: *0.270* | Acc: *90.642%* (45321/50000) 
Test epoch: 26 | Loss: *0.586* | Acc: *80.540%* (8054/10000)
Train epoch: 27 | Loss: *0.258* | Acc: *90.994%* (45497/50000) 
Test epoch: 27 | Loss: *0.598* | Acc: *80.050%* (8005/10000)
Train epoch: 28 | Loss: *0.255* | Acc: *91.250%* (45625/50000) 
Test epoch: 28 | Loss: *0.720* | Acc: *77.350%* (7735/10000)
Train epoch: 29 | Loss: *0.247* | Acc: *91.358%* (45679/50000) 
Test epoch: 29 | Loss: *0.705* | Acc: *77.970%* (7797/10000)
Train epoch: 30 | Loss: *0.235* | Acc: *92.024%* (46012/50000) 
Test epoch: 30 | Loss: *0.658* | Acc: *79.530%* (7953/10000)
Train epoch: 31 | Loss: *0.227* | Acc: *92.212%* (46106/50000) 
Test epoch: 31 | Loss: *0.605* | Acc: *81.010%* (8101/10000)
Train epoch: 32 | Loss: *0.221* | Acc: *92.304%* (46152/50000) 
Test epoch: 32 | Loss: *0.636* | Acc: *80.050%* (8005/10000)
Train epoch: 33 | Loss: *0.216* | Acc: *92.514%* (46257/50000) 
Test epoch: 33 | Loss: *0.658* | Acc: *79.730%* (7973/10000)
Train epoch: 34 | Loss: *0.205* | Acc: *92.924%* (46462/50000) 
Test epoch: 34 | Loss: *0.681* | Acc: *79.560%* (7956/10000)
Train epoch: 35 | Loss: *0.205* | Acc: *93.016%* (46508/50000) 
Test epoch: 35 | Loss: *0.548* | Acc: *82.370%* (8237/10000)
Train epoch: 36 | Loss: *0.197* | Acc: *93.188%* (46594/50000) 
Test epoch: 36 | Loss: *0.702* | Acc: *78.690%* (7869/10000)
Train epoch: 37 | Loss: *0.185* | Acc: *93.554%* (46777/50000) 
Test epoch: 37 | Loss: *0.683* | Acc: *78.910%* (7891/10000)
Train epoch: 38 | Loss: *0.189* | Acc: *93.406%* (46703/50000) 
Test epoch: 38 | Loss: *0.779* | Acc: *76.860%* (7686/10000)
Train epoch: 39 | Loss: *0.184* | Acc: *93.696%* (46848/50000) 
Test epoch: 39 | Loss: *0.669* | Acc: *79.490%* (7949/10000)
Train epoch: 40 | Loss: *0.176* | Acc: *93.928%* (46964/50000) 
