Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: Torch in ./.local/lib/python3.8/site-packages (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from Torch) (4.1.1)
Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: torchvision in ./.local/lib/python3.8/site-packages (0.11.3)
Requirement already satisfied: numpy in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (1.18.5)
Requirement already satisfied: pillow!=8.3.0,>=5.3.0 in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (7.2.0)
Requirement already satisfied: torch==1.10.2 in ./.local/lib/python3.8/site-packages (from torchvision) (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from torch==1.10.2->torchvision) (4.1.1)
==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [3, 1], In channel: 128, Input layer conv kernel: 7x7, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 2
==> Optimizer is Adam
==> Learning rate: 0.001
==> Weight decay: 0.0005
==>Trainable Parameters: 4972682
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.527* | Acc: *43.526%* (21763/50000) 
Test epoch: 1 | Loss: *1.931* | Acc: *36.170%* (3617/10000)
Train epoch: 2 | Loss: *1.166* | Acc: *57.828%* (28914/50000) 
Test epoch: 2 | Loss: *1.495* | Acc: *47.940%* (4794/10000)
Train epoch: 3 | Loss: *1.012* | Acc: *63.850%* (31925/50000) 
Test epoch: 3 | Loss: *1.874* | Acc: *42.620%* (4262/10000)
Train epoch: 4 | Loss: *0.916* | Acc: *67.578%* (33789/50000) 
Test epoch: 4 | Loss: *1.137* | Acc: *59.330%* (5933/10000)
Train epoch: 5 | Loss: *0.816* | Acc: *71.406%* (35703/50000) 
Test epoch: 5 | Loss: *1.166* | Acc: *58.420%* (5842/10000)
Train epoch: 6 | Loss: *0.729* | Acc: *74.688%* (37344/50000) 
Test epoch: 6 | Loss: *0.822* | Acc: *71.690%* (7169/10000)
Train epoch: 7 | Loss: *0.663* | Acc: *77.190%* (38595/50000) 
Test epoch: 7 | Loss: *1.122* | Acc: *62.890%* (6289/10000)
Train epoch: 8 | Loss: *0.610* | Acc: *78.958%* (39479/50000) 
Test epoch: 8 | Loss: *1.146* | Acc: *63.380%* (6338/10000)
Train epoch: 9 | Loss: *0.562* | Acc: *80.578%* (40289/50000) 
Test epoch: 9 | Loss: *0.680* | Acc: *76.350%* (7635/10000)
Train epoch: 10 | Loss: *0.530* | Acc: *81.702%* (40851/50000) 
Test epoch: 10 | Loss: *0.726* | Acc: *75.780%* (7578/10000)
Train epoch: 11 | Loss: *0.491* | Acc: *83.020%* (41510/50000) 
Test epoch: 11 | Loss: *0.909* | Acc: *70.000%* (7000/10000)
Train epoch: 12 | Loss: *0.468* | Acc: *84.036%* (42018/50000) 
Test epoch: 12 | Loss: *0.860* | Acc: *70.990%* (7099/10000)
Train epoch: 13 | Loss: *0.442* | Acc: *84.918%* (42459/50000) 
Test epoch: 13 | Loss: *0.704* | Acc: *75.490%* (7549/10000)
Train epoch: 14 | Loss: *0.423* | Acc: *85.490%* (42745/50000) 
Test epoch: 14 | Loss: *0.760* | Acc: *74.030%* (7403/10000)
Train epoch: 15 | Loss: *0.400* | Acc: *86.406%* (43203/50000) 
Test epoch: 15 | Loss: *0.896* | Acc: *72.850%* (7285/10000)
Train epoch: 16 | Loss: *0.384* | Acc: *86.768%* (43384/50000) 
Test epoch: 16 | Loss: *0.641* | Acc: *78.400%* (7840/10000)
Train epoch: 17 | Loss: *0.368* | Acc: *87.228%* (43614/50000) 
Test epoch: 17 | Loss: *1.006* | Acc: *68.330%* (6833/10000)
Train epoch: 18 | Loss: *0.355* | Acc: *87.822%* (43911/50000) 
Test epoch: 18 | Loss: *0.732* | Acc: *76.300%* (7630/10000)
Train epoch: 19 | Loss: *0.338* | Acc: *88.422%* (44211/50000) 
Test epoch: 19 | Loss: *0.678* | Acc: *78.340%* (7834/10000)
Train epoch: 20 | Loss: *0.327* | Acc: *88.732%* (44366/50000) 
Test epoch: 20 | Loss: *0.737* | Acc: *75.570%* (7557/10000)
Train epoch: 21 | Loss: *0.313* | Acc: *89.166%* (44583/50000) 
Test epoch: 21 | Loss: *0.907* | Acc: *72.230%* (7223/10000)
Train epoch: 22 | Loss: *0.306* | Acc: *89.418%* (44709/50000) 
Test epoch: 22 | Loss: *0.539* | Acc: *81.870%* (8187/10000)
Train epoch: 23 | Loss: *0.296* | Acc: *89.794%* (44897/50000) 
Test epoch: 23 | Loss: *0.723* | Acc: *78.120%* (7812/10000)
Train epoch: 24 | Loss: *0.277* | Acc: *90.450%* (45225/50000) 
Test epoch: 24 | Loss: *0.703* | Acc: *76.600%* (7660/10000)
Train epoch: 25 | Loss: *0.271* | Acc: *90.726%* (45363/50000) 
Test epoch: 25 | Loss: *0.742* | Acc: *77.240%* (7724/10000)
Train epoch: 26 | Loss: *0.264* | Acc: *90.968%* (45484/50000) 
Test epoch: 26 | Loss: *0.760* | Acc: *77.260%* (7726/10000)
Train epoch: 27 | Loss: *0.250* | Acc: *91.276%* (45638/50000) 
Test epoch: 27 | Loss: *0.590* | Acc: *80.280%* (8028/10000)
Train epoch: 28 | Loss: *0.246* | Acc: *91.480%* (45740/50000) 
Test epoch: 28 | Loss: *0.591* | Acc: *80.490%* (8049/10000)
Train epoch: 29 | Loss: *0.238* | Acc: *91.854%* (45927/50000) 
Test epoch: 29 | Loss: *0.552* | Acc: *82.490%* (8249/10000)
Train epoch: 30 | Loss: *0.231* | Acc: *92.084%* (46042/50000) 
Test epoch: 30 | Loss: *0.651* | Acc: *79.500%* (7950/10000)
Train epoch: 31 | Loss: *0.222* | Acc: *92.318%* (46159/50000) 
Test epoch: 31 | Loss: *0.533* | Acc: *82.810%* (8281/10000)
Train epoch: 32 | Loss: *0.221* | Acc: *92.290%* (46145/50000) 
Test epoch: 32 | Loss: *0.653* | Acc: *79.770%* (7977/10000)
Train epoch: 33 | Loss: *0.206* | Acc: *92.858%* (46429/50000) 
Test epoch: 33 | Loss: *0.634* | Acc: *80.410%* (8041/10000)
Train epoch: 34 | Loss: *0.202* | Acc: *93.016%* (46508/50000) 
Test epoch: 34 | Loss: *0.805* | Acc: *77.540%* (7754/10000)
Train epoch: 35 | Loss: *0.200* | Acc: *93.102%* (46551/50000) 
Test epoch: 35 | Loss: *0.775* | Acc: *76.940%* (7694/10000)
Train epoch: 36 | Loss: *0.198* | Acc: *93.066%* (46533/50000) 
Test epoch: 36 | Loss: *0.711* | Acc: *78.690%* (7869/10000)
Train epoch: 37 | Loss: *0.184* | Acc: *93.682%* (46841/50000) 
Test epoch: 37 | Loss: *0.656* | Acc: *80.870%* (8087/10000)
Train epoch: 38 | Loss: *0.182* | Acc: *93.772%* (46886/50000) 
Test epoch: 38 | Loss: *0.706* | Acc: *79.850%* (7985/10000)
Train epoch: 39 | Loss: *0.180* | Acc: *93.868%* (46934/50000) 
Test epoch: 39 | Loss: *0.591* | Acc: *81.830%* (8183/10000)
Train epoch: 40 | Loss: *0.176* | Acc: *93.912%* (46956/50000) 
Test epoch: 40 | Loss: *0.827* | Acc: *76.840%* (7684/10000)
Train epoch: 41 | Loss: *0.161* | Acc: *94.504%* (47252/50000) 
Test epoch: 41 | Loss: *0.707* | Acc: *78.500%* (7850/10000)
Train epoch: 42 | Loss: *0.170* | Acc: *94.182%* (47091/50000) 
Test epoch: 42 | Loss: *0.832* | Acc: *76.610%* (7661/10000)
Train epoch: 43 | Loss: *0.158* | Acc: *94.618%* (47309/50000) 
Test epoch: 43 | Loss: *0.670* | Acc: *80.180%* (8018/10000)
Train epoch: 44 | Loss: *0.154* | Acc: *94.716%* (47358/50000) 
Test epoch: 44 | Loss: *0.705* | Acc: *78.640%* (7864/10000)
Train epoch: 45 | Loss: *0.156* | Acc: *94.604%* (47302/50000) 
Test epoch: 45 | Loss: *0.586* | Acc: *82.020%* (8202/10000)
Train epoch: 46 | Loss: *0.150* | Acc: *94.860%* (47430/50000) 
Test epoch: 46 | Loss: *0.626* | Acc: *81.490%* (8149/10000)
Train epoch: 47 | Loss: *0.147* | Acc: *95.004%* (47502/50000) 
Test epoch: 47 | Loss: *0.662* | Acc: *79.610%* (7961/10000)
Train epoch: 48 | Loss: *0.141* | Acc: *95.322%* (47661/50000) 
Test epoch: 48 | Loss: *0.745* | Acc: *78.860%* (7886/10000)
Train epoch: 49 | Loss: *0.139* | Acc: *95.340%* (47670/50000) 
Test epoch: 49 | Loss: *0.844* | Acc: *77.600%* (7760/10000)
Train epoch: 50 | Loss: *0.136* | Acc: *95.344%* (47672/50000) 
Test epoch: 50 | Loss: *0.659* | Acc: *81.710%* (8171/10000)
Train epoch: 51 | Loss: *0.134* | Acc: *95.474%* (47737/50000) 
Test epoch: 51 | Loss: *0.785* | Acc: *77.890%* (7789/10000)
Train epoch: 52 | Loss: *0.134* | Acc: *95.496%* (47748/50000) 
Test epoch: 52 | Loss: *0.695* | Acc: *80.560%* (8056/10000)
Train epoch: 53 | Loss: *0.119* | Acc: *96.066%* (48033/50000) 
Test epoch: 53 | Loss: *0.654* | Acc: *80.590%* (8059/10000)
Train epoch: 54 | Loss: *0.124* | Acc: *95.860%* (47930/50000) 
Test epoch: 54 | Loss: *0.581* | Acc: *82.890%* (8289/10000)
Train epoch: 55 | Loss: *0.122* | Acc: *95.944%* (47972/50000) 
Test epoch: 55 | Loss: *0.824* | Acc: *77.450%* (7745/10000)
Train epoch: 56 | Loss: *0.122* | Acc: *95.852%* (47926/50000) 
Test epoch: 56 | Loss: *0.533* | Acc: *83.630%* (8363/10000)
Train epoch: 57 | Loss: *0.116* | Acc: *96.082%* (48041/50000) 
Test epoch: 57 | Loss: *0.634* | Acc: *82.680%* (8268/10000)
