Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: Torch in ./.local/lib/python3.8/site-packages (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from Torch) (4.1.1)
Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: torchvision in ./.local/lib/python3.8/site-packages (0.11.3)
Requirement already satisfied: pillow!=8.3.0,>=5.3.0 in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (7.2.0)
Requirement already satisfied: numpy in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (1.18.5)
Requirement already satisfied: torch==1.10.2 in ./.local/lib/python3.8/site-packages (from torchvision) (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from torch==1.10.2->torchvision) (4.1.1)
==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [3, 1], In channel: 128, Input layer conv kernel: 7x7, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 2
==> Optimizer is Adam
==> Learning rate: 0.001
==> Weight decay: 0.0005
==>Trainable Parameters: 4972682
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.529* | Acc: *43.446%* (21723/50000) 
Test epoch: 1 | Loss: *1.792* | Acc: *37.730%* (3773/10000)
Train epoch: 2 | Loss: *1.167* | Acc: *57.944%* (28972/50000) 
Test epoch: 2 | Loss: *2.167* | Acc: *36.900%* (3690/10000)
Train epoch: 3 | Loss: *1.011* | Acc: *63.810%* (31905/50000) 
Test epoch: 3 | Loss: *1.314* | Acc: *55.090%* (5509/10000)
Train epoch: 4 | Loss: *0.916* | Acc: *67.716%* (33858/50000) 
Test epoch: 4 | Loss: *1.213* | Acc: *56.770%* (5677/10000)
Train epoch: 5 | Loss: *0.823* | Acc: *70.880%* (35440/50000) 
Test epoch: 5 | Loss: *1.220* | Acc: *59.710%* (5971/10000)
Train epoch: 6 | Loss: *0.738* | Acc: *74.306%* (37153/50000) 
Test epoch: 6 | Loss: *1.379* | Acc: *53.440%* (5344/10000)
Train epoch: 7 | Loss: *0.666* | Acc: *76.898%* (38449/50000) 
Test epoch: 7 | Loss: *1.132* | Acc: *62.950%* (6295/10000)
Train epoch: 8 | Loss: *0.611* | Acc: *78.952%* (39476/50000) 
Test epoch: 8 | Loss: *0.830* | Acc: *71.610%* (7161/10000)
Train epoch: 9 | Loss: *0.564* | Acc: *80.650%* (40325/50000) 
Test epoch: 9 | Loss: *0.862* | Acc: *70.740%* (7074/10000)
Train epoch: 10 | Loss: *0.521* | Acc: *82.050%* (41025/50000) 
Test epoch: 10 | Loss: *0.849* | Acc: *71.670%* (7167/10000)
Train epoch: 11 | Loss: *0.493* | Acc: *82.936%* (41468/50000) 
Test epoch: 11 | Loss: *0.746* | Acc: *75.610%* (7561/10000)
Train epoch: 12 | Loss: *0.466* | Acc: *84.014%* (42007/50000) 
Test epoch: 12 | Loss: *0.597* | Acc: *80.040%* (8004/10000)
Train epoch: 13 | Loss: *0.438* | Acc: *85.020%* (42510/50000) 
Test epoch: 13 | Loss: *0.780* | Acc: *74.570%* (7457/10000)
Train epoch: 14 | Loss: *0.418* | Acc: *85.570%* (42785/50000) 
Test epoch: 14 | Loss: *0.680* | Acc: *77.150%* (7715/10000)
Train epoch: 15 | Loss: *0.402* | Acc: *86.240%* (43120/50000) 
Test epoch: 15 | Loss: *0.645* | Acc: *77.440%* (7744/10000)
Train epoch: 16 | Loss: *0.378* | Acc: *87.034%* (43517/50000) 
Test epoch: 16 | Loss: *0.616* | Acc: *79.560%* (7956/10000)
Train epoch: 17 | Loss: *0.366* | Acc: *87.512%* (43756/50000) 
Test epoch: 17 | Loss: *0.517* | Acc: *82.360%* (8236/10000)
Train epoch: 18 | Loss: *0.351* | Acc: *87.920%* (43960/50000) 
Test epoch: 18 | Loss: *0.684* | Acc: *77.210%* (7721/10000)
Train epoch: 19 | Loss: *0.330* | Acc: *88.640%* (44320/50000) 
Test epoch: 19 | Loss: *0.559* | Acc: *81.150%* (8115/10000)
Train epoch: 20 | Loss: *0.319* | Acc: *89.118%* (44559/50000) 
Test epoch: 20 | Loss: *0.716* | Acc: *77.430%* (7743/10000)
Train epoch: 21 | Loss: *0.311* | Acc: *89.414%* (44707/50000) 
Test epoch: 21 | Loss: *0.638* | Acc: *79.130%* (7913/10000)
Train epoch: 22 | Loss: *0.298* | Acc: *89.714%* (44857/50000) 
Test epoch: 22 | Loss: *0.541* | Acc: *82.200%* (8220/10000)
Train epoch: 23 | Loss: *0.284* | Acc: *90.284%* (45142/50000) 
Test epoch: 23 | Loss: *0.604* | Acc: *79.880%* (7988/10000)
Train epoch: 24 | Loss: *0.278* | Acc: *90.586%* (45293/50000) 
Test epoch: 24 | Loss: *0.504* | Acc: *82.870%* (8287/10000)
Train epoch: 25 | Loss: *0.264* | Acc: *90.850%* (45425/50000) 
Test epoch: 25 | Loss: *0.512* | Acc: *83.030%* (8303/10000)
Train epoch: 26 | Loss: *0.252* | Acc: *91.352%* (45676/50000) 
Test epoch: 26 | Loss: *0.543* | Acc: *81.770%* (8177/10000)
Train epoch: 27 | Loss: *0.248* | Acc: *91.436%* (45718/50000) 
Test epoch: 27 | Loss: *0.578* | Acc: *81.170%* (8117/10000)
Train epoch: 28 | Loss: *0.241* | Acc: *91.616%* (45808/50000) 
Test epoch: 28 | Loss: *0.582* | Acc: *81.430%* (8143/10000)
Train epoch: 29 | Loss: *0.228* | Acc: *92.140%* (46070/50000) 
Test epoch: 29 | Loss: *0.565* | Acc: *81.580%* (8158/10000)
Train epoch: 30 | Loss: *0.225* | Acc: *92.338%* (46169/50000) 
Test epoch: 30 | Loss: *0.538* | Acc: *82.520%* (8252/10000)
Train epoch: 31 | Loss: *0.216* | Acc: *92.660%* (46330/50000) 
Test epoch: 31 | Loss: *0.690* | Acc: *78.820%* (7882/10000)
Train epoch: 32 | Loss: *0.206* | Acc: *92.946%* (46473/50000) 
Test epoch: 32 | Loss: *0.656* | Acc: *79.800%* (7980/10000)
Train epoch: 33 | Loss: *0.202* | Acc: *93.114%* (46557/50000) 
Test epoch: 33 | Loss: *0.512* | Acc: *83.060%* (8306/10000)
Train epoch: 34 | Loss: *0.196* | Acc: *93.290%* (46645/50000) 
Test epoch: 34 | Loss: *0.789* | Acc: *77.440%* (7744/10000)
Train epoch: 35 | Loss: *0.190* | Acc: *93.576%* (46788/50000) 
Test epoch: 35 | Loss: *0.586* | Acc: *81.860%* (8186/10000)
Train epoch: 36 | Loss: *0.189* | Acc: *93.486%* (46743/50000) 
Test epoch: 36 | Loss: *0.588* | Acc: *82.420%* (8242/10000)
Train epoch: 37 | Loss: *0.178* | Acc: *93.936%* (46968/50000) 
Test epoch: 37 | Loss: *0.608* | Acc: *81.830%* (8183/10000)
Train epoch: 38 | Loss: *0.167* | Acc: *94.344%* (47172/50000) 
Test epoch: 38 | Loss: *0.755* | Acc: *77.570%* (7757/10000)
Train epoch: 39 | Loss: *0.175* | Acc: *93.982%* (46991/50000) 
Test epoch: 39 | Loss: *0.652* | Acc: *80.730%* (8073/10000)
Train epoch: 40 | Loss: *0.170* | Acc: *94.194%* (47097/50000) 
Test epoch: 40 | Loss: *0.594* | Acc: *82.030%* (8203/10000)
Train epoch: 41 | Loss: *0.161* | Acc: *94.526%* (47263/50000) 
Test epoch: 41 | Loss: *0.670* | Acc: *81.240%* (8124/10000)
Train epoch: 42 | Loss: *0.157* | Acc: *94.576%* (47288/50000) 
Test epoch: 42 | Loss: *0.640* | Acc: *80.330%* (8033/10000)
Train epoch: 43 | Loss: *0.154* | Acc: *94.820%* (47410/50000) 
Test epoch: 43 | Loss: *0.539* | Acc: *83.230%* (8323/10000)
Train epoch: 44 | Loss: *0.147* | Acc: *95.060%* (47530/50000) 
Test epoch: 44 | Loss: *0.659* | Acc: *80.870%* (8087/10000)
Train epoch: 45 | Loss: *0.147* | Acc: *95.096%* (47548/50000) 
Test epoch: 45 | Loss: *0.656* | Acc: *80.200%* (8020/10000)
Train epoch: 46 | Loss: *0.148* | Acc: *94.898%* (47449/50000) 
Test epoch: 46 | Loss: *0.703* | Acc: *79.290%* (7929/10000)
Train epoch: 47 | Loss: *0.130* | Acc: *95.742%* (47871/50000) 
Test epoch: 47 | Loss: *0.670* | Acc: *80.970%* (8097/10000)
Train epoch: 48 | Loss: *0.138* | Acc: *95.328%* (47664/50000) 
Test epoch: 48 | Loss: *0.646* | Acc: *81.820%* (8182/10000)
Train epoch: 49 | Loss: *0.134* | Acc: *95.438%* (47719/50000) 
Test epoch: 49 | Loss: *0.634* | Acc: *81.510%* (8151/10000)
Train epoch: 50 | Loss: *0.131* | Acc: *95.624%* (47812/50000) 
Test epoch: 50 | Loss: *0.666* | Acc: *80.300%* (8030/10000)
Train epoch: 51 | Loss: *0.122* | Acc: *95.954%* (47977/50000) 
Test epoch: 51 | Loss: *0.712* | Acc: *80.160%* (8016/10000)
Train epoch: 52 | Loss: *0.132* | Acc: *95.502%* (47751/50000) 
Test epoch: 52 | Loss: *0.634* | Acc: *81.760%* (8176/10000)
Train epoch: 53 | Loss: *0.120* | Acc: *95.942%* (47971/50000) 
Test epoch: 53 | Loss: *0.610* | Acc: *82.180%* (8218/10000)
Train epoch: 54 | Loss: *0.120* | Acc: *95.966%* (47983/50000) 
Test epoch: 54 | Loss: *0.614* | Acc: *81.890%* (8189/10000)
Train epoch: 55 | Loss: *0.120* | Acc: *95.970%* (47985/50000) 
Test epoch: 55 | Loss: *0.678* | Acc: *80.820%* (8082/10000)
Train epoch: 56 | Loss: *0.115* | Acc: *96.132%* (48066/50000) 
Test epoch: 56 | Loss: *0.695* | Acc: *80.220%* (8022/10000)
Train epoch: 57 | Loss: *0.111* | Acc: *96.280%* (48140/50000) 
Test epoch: 57 | Loss: *0.769* | Acc: *78.780%* (7878/10000)
Train epoch: 58 | Loss: *0.114* | Acc: *96.208%* (48104/50000) 
Test epoch: 58 | Loss: *0.595* | Acc: *83.000%* (8300/10000)
Train epoch: 59 | Loss: *0.097* | Acc: *96.864%* (48432/50000) 
