==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [3, 1], In channel: 128, Input layer conv kernel: 7x7, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 2
==> Optimizer is SGD with Nesterov
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4972682
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.581* | Acc: *41.078%* (20539/50000) 
Test epoch: 1 | Loss: *1.577* | Acc: *45.880%* (4588/10000)
Train epoch: 2 | Loss: *1.184* | Acc: *57.474%* (28737/50000) 
Test epoch: 2 | Loss: *1.379* | Acc: *52.610%* (5261/10000)
Train epoch: 3 | Loss: *0.994* | Acc: *64.588%* (32294/50000) 
Test epoch: 3 | Loss: *1.194* | Acc: *58.210%* (5821/10000)
Train epoch: 4 | Loss: *0.861* | Acc: *69.686%* (34843/50000) 
Test epoch: 4 | Loss: *0.931* | Acc: *67.490%* (6749/10000)
Train epoch: 5 | Loss: *0.756* | Acc: *73.860%* (36930/50000) 
Test epoch: 5 | Loss: *0.826* | Acc: *71.570%* (7157/10000)
Train epoch: 6 | Loss: *0.675* | Acc: *76.576%* (38288/50000) 
Test epoch: 6 | Loss: *0.905* | Acc: *70.680%* (7068/10000)
Train epoch: 7 | Loss: *0.619* | Acc: *78.616%* (39308/50000) 
Test epoch: 7 | Loss: *1.088* | Acc: *67.670%* (6767/10000)
Train epoch: 8 | Loss: *0.578* | Acc: *80.108%* (40054/50000) 
Test epoch: 8 | Loss: *0.714* | Acc: *75.510%* (7551/10000)
Train epoch: 9 | Loss: *0.539* | Acc: *81.480%* (40740/50000) 
Test epoch: 9 | Loss: *0.770* | Acc: *73.970%* (7397/10000)
Train epoch: 10 | Loss: *0.511* | Acc: *82.502%* (41251/50000) 
Test epoch: 10 | Loss: *0.701* | Acc: *75.860%* (7586/10000)
Train epoch: 11 | Loss: *0.489* | Acc: *83.458%* (41729/50000) 
Test epoch: 11 | Loss: *0.903* | Acc: *72.240%* (7224/10000)
Train epoch: 12 | Loss: *0.469* | Acc: *83.994%* (41997/50000) 
Test epoch: 12 | Loss: *0.725* | Acc: *76.450%* (7645/10000)
Train epoch: 13 | Loss: *0.456* | Acc: *84.440%* (42220/50000) 
Test epoch: 13 | Loss: *0.811* | Acc: *76.520%* (7652/10000)
