Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: Torch in ./.local/lib/python3.8/site-packages (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from Torch) (4.1.1)
Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: torchvision in ./.local/lib/python3.8/site-packages (0.11.3)
Requirement already satisfied: pillow!=8.3.0,>=5.3.0 in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (7.2.0)
Requirement already satisfied: numpy in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (1.18.5)
Requirement already satisfied: torch==1.10.2 in ./.local/lib/python3.8/site-packages (from torchvision) (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from torch==1.10.2->torchvision) (4.1.1)
==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [3, 1], In channel: 128, Input layer conv kernel: 7x7, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 2
==> Optimizer is SGD with Nesterov
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4972682
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.544* | Acc: *42.692%* (21346/50000) 
Test epoch: 1 | Loss: *1.584* | Acc: *46.340%* (4634/10000)
Train epoch: 2 | Loss: *1.144* | Acc: *58.796%* (29398/50000) 
Test epoch: 2 | Loss: *1.818* | Acc: *45.680%* (4568/10000)
Train epoch: 3 | Loss: *0.955* | Acc: *66.070%* (33035/50000) 
Test epoch: 3 | Loss: *1.271* | Acc: *53.370%* (5337/10000)
Train epoch: 4 | Loss: *0.823* | Acc: *71.018%* (35509/50000) 
Test epoch: 4 | Loss: *1.116* | Acc: *59.140%* (5914/10000)
Train epoch: 5 | Loss: *0.710* | Acc: *75.288%* (37644/50000) 
Test epoch: 5 | Loss: *1.060* | Acc: *63.800%* (6380/10000)
Train epoch: 6 | Loss: *0.625* | Acc: *78.252%* (39126/50000) 
Test epoch: 6 | Loss: *1.070* | Acc: *64.680%* (6468/10000)
Train epoch: 7 | Loss: *0.562* | Acc: *80.558%* (40279/50000) 
Test epoch: 7 | Loss: *1.567* | Acc: *53.540%* (5354/10000)
Train epoch: 8 | Loss: *0.519* | Acc: *82.108%* (41054/50000) 
Test epoch: 8 | Loss: *0.957* | Acc: *68.170%* (6817/10000)
Train epoch: 9 | Loss: *0.480* | Acc: *83.446%* (41723/50000) 
Test epoch: 9 | Loss: *1.269* | Acc: *59.390%* (5939/10000)
Train epoch: 10 | Loss: *0.445* | Acc: *84.784%* (42392/50000) 
Test epoch: 10 | Loss: *0.904* | Acc: *69.650%* (6965/10000)
Train epoch: 11 | Loss: *0.423* | Acc: *85.556%* (42778/50000) 
Test epoch: 11 | Loss: *0.869* | Acc: *72.450%* (7245/10000)
Train epoch: 12 | Loss: *0.403* | Acc: *86.078%* (43039/50000) 
Test epoch: 12 | Loss: *0.772* | Acc: *72.950%* (7295/10000)
Train epoch: 13 | Loss: *0.387* | Acc: *86.658%* (43329/50000) 
Test epoch: 13 | Loss: *0.740* | Acc: *75.980%* (7598/10000)
Train epoch: 14 | Loss: *0.371* | Acc: *87.272%* (43636/50000) 
Test epoch: 14 | Loss: *0.695* | Acc: *77.360%* (7736/10000)
Train epoch: 15 | Loss: *0.353* | Acc: *87.868%* (43934/50000) 
Test epoch: 15 | Loss: *1.201* | Acc: *63.100%* (6310/10000)
Train epoch: 16 | Loss: *0.339* | Acc: *88.242%* (44121/50000) 
Test epoch: 16 | Loss: *0.625* | Acc: *80.530%* (8053/10000)
Train epoch: 17 | Loss: *0.336* | Acc: *88.386%* (44193/50000) 
Test epoch: 17 | Loss: *0.713* | Acc: *76.250%* (7625/10000)
