==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [3, 1], In channel: 128, Input layer conv kernel: 7x7, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 2
==> Optimizer is SGD
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4972682
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.677* | Acc: *36.752%* (18376/50000) 
Test epoch: 1 | Loss: *1.520* | Acc: *43.900%* (4390/10000)
Train epoch: 2 | Loss: *1.327* | Acc: *51.814%* (25907/50000) 
Test epoch: 2 | Loss: *1.452* | Acc: *50.930%* (5093/10000)
Train epoch: 3 | Loss: *1.114* | Acc: *60.046%* (30023/50000) 
Test epoch: 3 | Loss: *1.249* | Acc: *58.040%* (5804/10000)
Train epoch: 4 | Loss: *0.962* | Acc: *65.686%* (32843/50000) 
Test epoch: 4 | Loss: *1.207* | Acc: *60.210%* (6021/10000)
Train epoch: 5 | Loss: *0.844* | Acc: *70.152%* (35076/50000) 
Test epoch: 5 | Loss: *0.896* | Acc: *70.160%* (7016/10000)
Train epoch: 6 | Loss: *0.747* | Acc: *73.880%* (36940/50000) 
Test epoch: 6 | Loss: *1.354* | Acc: *61.300%* (6130/10000)
Train epoch: 7 | Loss: *0.669* | Acc: *76.744%* (38372/50000) 
Test epoch: 7 | Loss: *0.991* | Acc: *69.590%* (6959/10000)
Train epoch: 8 | Loss: *0.619* | Acc: *78.770%* (39385/50000) 
Test epoch: 8 | Loss: *1.340* | Acc: *62.990%* (6299/10000)
Train epoch: 9 | Loss: *0.585* | Acc: *79.978%* (39989/50000) 
Test epoch: 9 | Loss: *1.129* | Acc: *66.660%* (6666/10000)
Train epoch: 10 | Loss: *0.555* | Acc: *80.910%* (40455/50000) 
Test epoch: 10 | Loss: *0.686* | Acc: *77.430%* (7743/10000)
Train epoch: 11 | Loss: *0.527* | Acc: *81.890%* (40945/50000) 
Test epoch: 11 | Loss: *0.729* | Acc: *76.530%* (7653/10000)
Train epoch: 12 | Loss: *0.506* | Acc: *82.632%* (41316/50000) 
Test epoch: 12 | Loss: *0.795* | Acc: *74.580%* (7458/10000)
Train epoch: 13 | Loss: *0.493* | Acc: *83.086%* (41543/50000) 
Test epoch: 13 | Loss: *0.772* | Acc: *75.840%* (7584/10000)
Train epoch: 14 | Loss: *0.478* | Acc: *83.840%* (41920/50000) 
Test epoch: 14 | Loss: *1.172* | Acc: *65.720%* (6572/10000)
Train epoch: 15 | Loss: *0.463* | Acc: *84.038%* (42019/50000) 
Test epoch: 15 | Loss: *0.678* | Acc: *78.040%* (7804/10000)
Train epoch: 16 | Loss: *0.453* | Acc: *84.508%* (42254/50000) 
Test epoch: 16 | Loss: *0.662* | Acc: *78.700%* (7870/10000)
Train epoch: 17 | Loss: *0.441* | Acc: *85.028%* (42514/50000) 
Test epoch: 17 | Loss: *0.917* | Acc: *72.370%* (7237/10000)
Train epoch: 18 | Loss: *0.429* | Acc: *85.214%* (42607/50000) 
Test epoch: 18 | Loss: *0.704* | Acc: *76.860%* (7686/10000)
Train epoch: 19 | Loss: *0.424* | Acc: *85.434%* (42717/50000) 
Test epoch: 19 | Loss: *0.704* | Acc: *76.620%* (7662/10000)
Train epoch: 20 | Loss: *0.415* | Acc: *85.774%* (42887/50000) 
Test epoch: 20 | Loss: *0.904* | Acc: *71.980%* (7198/10000)
Train epoch: 21 | Loss: *0.405* | Acc: *86.022%* (43011/50000) 
Test epoch: 21 | Loss: *0.657* | Acc: *78.930%* (7893/10000)
Train epoch: 22 | Loss: *0.405* | Acc: *86.106%* (43053/50000) 
Test epoch: 22 | Loss: *0.644* | Acc: *78.360%* (7836/10000)
Train epoch: 23 | Loss: *0.399* | Acc: *86.306%* (43153/50000) 
Test epoch: 23 | Loss: *0.632* | Acc: *78.970%* (7897/10000)
Train epoch: 24 | Loss: *0.394* | Acc: *86.580%* (43290/50000) 
