==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [3, 1], In channel: 128, Input layer conv kernel: 7x7, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 2
==> Optimizer is SGD
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4972682
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.578* | Acc: *41.322%* (20661/50000) 
Test epoch: 1 | Loss: *1.514* | Acc: *44.550%* (4455/10000)
Train epoch: 2 | Loss: *1.206* | Acc: *56.464%* (28232/50000) 
Test epoch: 2 | Loss: *1.396* | Acc: *50.220%* (5022/10000)
Train epoch: 3 | Loss: *0.993* | Acc: *64.586%* (32293/50000) 
Test epoch: 3 | Loss: *1.284* | Acc: *55.220%* (5522/10000)
Train epoch: 4 | Loss: *0.856* | Acc: *69.808%* (34904/50000) 
Test epoch: 4 | Loss: *1.315* | Acc: *55.690%* (5569/10000)
Train epoch: 5 | Loss: *0.738* | Acc: *73.970%* (36985/50000) 
Test epoch: 5 | Loss: *1.081* | Acc: *60.400%* (6040/10000)
Train epoch: 6 | Loss: *0.651* | Acc: *77.350%* (38675/50000) 
Test epoch: 6 | Loss: *1.087* | Acc: *63.100%* (6310/10000)
Train epoch: 7 | Loss: *0.583* | Acc: *79.710%* (39855/50000) 
Test epoch: 7 | Loss: *1.077* | Acc: *63.730%* (6373/10000)
Train epoch: 8 | Loss: *0.541* | Acc: *81.236%* (40618/50000) 
Test epoch: 8 | Loss: *1.045* | Acc: *64.770%* (6477/10000)
Train epoch: 9 | Loss: *0.493* | Acc: *82.954%* (41477/50000) 
Test epoch: 9 | Loss: *1.199* | Acc: *62.620%* (6262/10000)
Train epoch: 10 | Loss: *0.469* | Acc: *83.748%* (41874/50000) 
Test epoch: 10 | Loss: *0.895* | Acc: *68.210%* (6821/10000)
Train epoch: 11 | Loss: *0.433* | Acc: *85.108%* (42554/50000) 
Test epoch: 11 | Loss: *0.784* | Acc: *73.340%* (7334/10000)
Train epoch: 12 | Loss: *0.423* | Acc: *85.304%* (42652/50000) 
Test epoch: 12 | Loss: *0.963* | Acc: *69.400%* (6940/10000)
Train epoch: 13 | Loss: *0.402* | Acc: *86.218%* (43109/50000) 
Test epoch: 13 | Loss: *0.923* | Acc: *69.650%* (6965/10000)
Train epoch: 14 | Loss: *0.386* | Acc: *86.714%* (43357/50000) 
Test epoch: 14 | Loss: *0.738* | Acc: *75.300%* (7530/10000)
Train epoch: 15 | Loss: *0.371* | Acc: *87.370%* (43685/50000) 
Test epoch: 15 | Loss: *0.760* | Acc: *74.860%* (7486/10000)
Train epoch: 16 | Loss: *0.362* | Acc: *87.298%* (43649/50000) 
Test epoch: 16 | Loss: *0.861* | Acc: *71.690%* (7169/10000)
Train epoch: 17 | Loss: *0.351* | Acc: *87.946%* (43973/50000) 
Test epoch: 17 | Loss: *2.058* | Acc: *51.690%* (5169/10000)
Train epoch: 18 | Loss: *0.338* | Acc: *88.320%* (44160/50000) 
Test epoch: 18 | Loss: *0.840* | Acc: *72.830%* (7283/10000)
Train epoch: 19 | Loss: *0.336* | Acc: *88.566%* (44283/50000) 
Test epoch: 19 | Loss: *0.776* | Acc: *74.760%* (7476/10000)
Train epoch: 20 | Loss: *0.325* | Acc: *88.724%* (44362/50000) 
Test epoch: 20 | Loss: *1.503* | Acc: *59.100%* (5910/10000)
Train epoch: 21 | Loss: *0.319* | Acc: *88.982%* (44491/50000) 
Test epoch: 21 | Loss: *1.012* | Acc: *67.370%* (6737/10000)
Train epoch: 22 | Loss: *0.316* | Acc: *89.122%* (44561/50000) 
Test epoch: 22 | Loss: *0.616* | Acc: *79.360%* (7936/10000)
Train epoch: 23 | Loss: *0.309* | Acc: *89.294%* (44647/50000) 
Test epoch: 23 | Loss: *0.833* | Acc: *73.180%* (7318/10000)
Train epoch: 24 | Loss: *0.298* | Acc: *89.640%* (44820/50000) 
Test epoch: 24 | Loss: *1.705* | Acc: *60.580%* (6058/10000)
Train epoch: 25 | Loss: *0.300* | Acc: *89.610%* (44805/50000) 
Test epoch: 25 | Loss: *0.696* | Acc: *76.780%* (7678/10000)
Train epoch: 26 | Loss: *0.289* | Acc: *90.062%* (45031/50000) 
Test epoch: 26 | Loss: *2.159* | Acc: *52.320%* (5232/10000)
Train epoch: 27 | Loss: *0.282* | Acc: *90.222%* (45111/50000) 
Test epoch: 27 | Loss: *1.048* | Acc: *68.910%* (6891/10000)
Train epoch: 28 | Loss: *0.287* | Acc: *89.964%* (44982/50000) 
Test epoch: 28 | Loss: *0.713* | Acc: *78.040%* (7804/10000)
Train epoch: 29 | Loss: *0.278* | Acc: *90.316%* (45158/50000) 
Test epoch: 29 | Loss: *1.127* | Acc: *66.140%* (6614/10000)
Train epoch: 30 | Loss: *0.276* | Acc: *90.316%* (45158/50000) 
Test epoch: 30 | Loss: *1.040* | Acc: *67.740%* (6774/10000)
Train epoch: 31 | Loss: *0.271* | Acc: *90.660%* (45330/50000) 
Test epoch: 31 | Loss: *0.917* | Acc: *71.120%* (7112/10000)
Train epoch: 32 | Loss: *0.261* | Acc: *91.024%* (45512/50000) 
Test epoch: 32 | Loss: *0.603* | Acc: *80.360%* (8036/10000)
Train epoch: 33 | Loss: *0.259* | Acc: *91.042%* (45521/50000) 
Test epoch: 33 | Loss: *0.784* | Acc: *76.070%* (7607/10000)
