Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: Torch in ./.local/lib/python3.8/site-packages (1.10.2)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from Torch) (4.1.1)
Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: torchvision in ./.local/lib/python3.8/site-packages (0.11.3)
Requirement already satisfied: pillow!=8.3.0,>=5.3.0 in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (7.2.0)
Requirement already satisfied: torch==1.10.2 in ./.local/lib/python3.8/site-packages (from torchvision) (1.10.2)
Requirement already satisfied: numpy in /share/apps/anaconda3/2020.07/lib/python3.8/site-packages (from torchvision) (1.18.5)
Requirement already satisfied: typing-extensions in ./.local/lib/python3.8/site-packages (from torch==1.10.2->torchvision) (4.1.1)
==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 2, #Blocks: [3, 1], In channel: 128, Input layer conv kernel: 7x7, Residual layer conv kernel 5x5, Skip kernel: 1x1, Input layer conv padding: 3, Residual layer conv padding: 2
==> Optimizer is SGD
==> Momentum: 0.9
==> Learning rate: 0.1
==> Weight decay: 0.0005
==>Trainable Parameters: 4972682
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.639* | Acc: *38.252%* (19126/50000) 
Test epoch: 1 | Loss: *2.581* | Acc: *31.850%* (3185/10000)
Train epoch: 2 | Loss: *1.273* | Acc: *53.728%* (26864/50000) 
Test epoch: 2 | Loss: *2.273* | Acc: *34.510%* (3451/10000)
Train epoch: 3 | Loss: *1.081* | Acc: *61.320%* (30660/50000) 
Test epoch: 3 | Loss: *1.244* | Acc: *56.300%* (5630/10000)
Train epoch: 4 | Loss: *0.943* | Acc: *66.334%* (33167/50000) 
Test epoch: 4 | Loss: *1.291* | Acc: *54.290%* (5429/10000)
Train epoch: 5 | Loss: *0.825* | Acc: *70.958%* (35479/50000) 
Test epoch: 5 | Loss: *1.515* | Acc: *51.190%* (5119/10000)
Train epoch: 6 | Loss: *0.735* | Acc: *74.344%* (37172/50000) 
Test epoch: 6 | Loss: *0.910* | Acc: *68.820%* (6882/10000)
Train epoch: 7 | Loss: *0.659* | Acc: *77.182%* (38591/50000) 
Test epoch: 7 | Loss: *0.883* | Acc: *68.920%* (6892/10000)
Train epoch: 8 | Loss: *0.603* | Acc: *79.084%* (39542/50000) 
Test epoch: 8 | Loss: *1.268* | Acc: *56.980%* (5698/10000)
Train epoch: 9 | Loss: *0.550* | Acc: *80.946%* (40473/50000) 
Test epoch: 9 | Loss: *1.225* | Acc: *61.020%* (6102/10000)
