==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 9x9, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 4, Residual layer conv padding: 1
==> Optimizer is Adagrad
==> Learning rate: 0.01
==> Weight decay: 0.0005
==>Trainable Parameters: 4991050
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.692* | Acc: *37.254%* (18627/50000) 
Test epoch: 1 | Loss: *2.228* | Acc: *33.950%* (3395/10000)
Train epoch: 2 | Loss: *1.320* | Acc: *52.220%* (26110/50000) 
Test epoch: 2 | Loss: *1.239* | Acc: *56.440%* (5644/10000)
Train epoch: 3 | Loss: *1.087* | Acc: *61.152%* (30576/50000) 
Test epoch: 3 | Loss: *1.038* | Acc: *62.330%* (6233/10000)
Train epoch: 4 | Loss: *0.935* | Acc: *66.918%* (33459/50000) 
Test epoch: 4 | Loss: *0.950* | Acc: *67.090%* (6709/10000)
Train epoch: 5 | Loss: *0.809* | Acc: *71.566%* (35783/50000) 
Test epoch: 5 | Loss: *0.863* | Acc: *70.660%* (7066/10000)
Train epoch: 6 | Loss: *0.722* | Acc: *74.736%* (37368/50000) 
Test epoch: 6 | Loss: *1.059* | Acc: *65.870%* (6587/10000)
Train epoch: 7 | Loss: *0.651* | Acc: *77.194%* (38597/50000) 
Test epoch: 7 | Loss: *0.933* | Acc: *69.860%* (6986/10000)
Train epoch: 8 | Loss: *0.598* | Acc: *79.218%* (39609/50000) 
Test epoch: 8 | Loss: *0.685* | Acc: *76.440%* (7644/10000)
Train epoch: 9 | Loss: *0.552* | Acc: *80.738%* (40369/50000) 
Test epoch: 9 | Loss: *0.643* | Acc: *78.370%* (7837/10000)
Train epoch: 10 | Loss: *0.511* | Acc: *82.260%* (41130/50000) 
Test epoch: 10 | Loss: *0.615* | Acc: *79.290%* (7929/10000)
Train epoch: 11 | Loss: *0.479* | Acc: *83.540%* (41770/50000) 
Test epoch: 11 | Loss: *0.599* | Acc: *79.970%* (7997/10000)
Train epoch: 12 | Loss: *0.449* | Acc: *84.520%* (42260/50000) 
Test epoch: 12 | Loss: *0.832* | Acc: *74.160%* (7416/10000)
Train epoch: 13 | Loss: *0.424* | Acc: *85.352%* (42676/50000) 
Test epoch: 13 | Loss: *0.620* | Acc: *78.990%* (7899/10000)
Train epoch: 14 | Loss: *0.394* | Acc: *86.466%* (43233/50000) 
Test epoch: 14 | Loss: *0.581* | Acc: *80.940%* (8094/10000)
Train epoch: 15 | Loss: *0.375* | Acc: *87.246%* (43623/50000) 
Test epoch: 15 | Loss: *0.538* | Acc: *82.600%* (8260/10000)
Train epoch: 16 | Loss: *0.353* | Acc: *87.834%* (43917/50000) 
Test epoch: 16 | Loss: *0.478* | Acc: *83.940%* (8394/10000)
Train epoch: 17 | Loss: *0.336* | Acc: *88.452%* (44226/50000) 
Test epoch: 17 | Loss: *0.478* | Acc: *84.300%* (8430/10000)
Train epoch: 18 | Loss: *0.319* | Acc: *89.048%* (44524/50000) 
Test epoch: 18 | Loss: *0.566* | Acc: *81.990%* (8199/10000)
Train epoch: 19 | Loss: *0.300* | Acc: *89.654%* (44827/50000) 
Test epoch: 19 | Loss: *0.495* | Acc: *83.990%* (8399/10000)
Train epoch: 20 | Loss: *0.289* | Acc: *90.194%* (45097/50000) 
Test epoch: 20 | Loss: *0.494* | Acc: *83.850%* (8385/10000)
Train epoch: 21 | Loss: *0.271* | Acc: *90.738%* (45369/50000) 
Test epoch: 21 | Loss: *0.532* | Acc: *83.570%* (8357/10000)
Train epoch: 22 | Loss: *0.255* | Acc: *91.380%* (45690/50000) 
Test epoch: 22 | Loss: *0.511* | Acc: *84.090%* (8409/10000)
Train epoch: 23 | Loss: *0.247* | Acc: *91.578%* (45789/50000) 
Test epoch: 23 | Loss: *0.435* | Acc: *86.640%* (8664/10000)
Train epoch: 24 | Loss: *0.234* | Acc: *91.948%* (45974/50000) 
Test epoch: 24 | Loss: *0.461* | Acc: *85.710%* (8571/10000)
Train epoch: 25 | Loss: *0.222* | Acc: *92.454%* (46227/50000) 
Test epoch: 25 | Loss: *0.503* | Acc: *84.630%* (8463/10000)
Train epoch: 26 | Loss: *0.212* | Acc: *92.802%* (46401/50000) 
Test epoch: 26 | Loss: *0.439* | Acc: *86.460%* (8646/10000)
Train epoch: 27 | Loss: *0.203* | Acc: *93.150%* (46575/50000) 
Test epoch: 27 | Loss: *0.419* | Acc: *86.680%* (8668/10000)
Train epoch: 28 | Loss: *0.191* | Acc: *93.504%* (46752/50000) 
Test epoch: 28 | Loss: *0.488* | Acc: *85.080%* (8508/10000)
Train epoch: 29 | Loss: *0.181* | Acc: *93.836%* (46918/50000) 
Test epoch: 29 | Loss: *0.407* | Acc: *87.400%* (8740/10000)
Train epoch: 30 | Loss: *0.172* | Acc: *94.176%* (47088/50000) 
Test epoch: 30 | Loss: *0.501* | Acc: *84.750%* (8475/10000)
Train epoch: 31 | Loss: *0.165* | Acc: *94.296%* (47148/50000) 
Test epoch: 31 | Loss: *0.631* | Acc: *82.350%* (8235/10000)
Train epoch: 32 | Loss: *0.152* | Acc: *94.894%* (47447/50000) 
Test epoch: 32 | Loss: *0.467* | Acc: *86.270%* (8627/10000)
Train epoch: 33 | Loss: *0.146* | Acc: *95.188%* (47594/50000) 
Test epoch: 33 | Loss: *0.440* | Acc: *86.790%* (8679/10000)
Train epoch: 34 | Loss: *0.141* | Acc: *95.426%* (47713/50000) 
Test epoch: 34 | Loss: *0.457* | Acc: *85.940%* (8594/10000)
Train epoch: 35 | Loss: *0.135* | Acc: *95.474%* (47737/50000) 
Test epoch: 35 | Loss: *0.519* | Acc: *84.950%* (8495/10000)
Train epoch: 36 | Loss: *0.125* | Acc: *95.878%* (47939/50000) 
Test epoch: 36 | Loss: *0.394* | Acc: *88.240%* (8824/10000)
Train epoch: 37 | Loss: *0.119* | Acc: *96.126%* (48063/50000) 
Test epoch: 37 | Loss: *0.399* | Acc: *88.330%* (8833/10000)
Train epoch: 38 | Loss: *0.113* | Acc: *96.284%* (48142/50000) 
Test epoch: 38 | Loss: *0.411* | Acc: *88.010%* (8801/10000)
Train epoch: 39 | Loss: *0.109* | Acc: *96.444%* (48222/50000) 
Test epoch: 39 | Loss: *0.457* | Acc: *86.850%* (8685/10000)
Train epoch: 40 | Loss: *0.103* | Acc: *96.722%* (48361/50000) 
Test epoch: 40 | Loss: *0.452* | Acc: *87.210%* (8721/10000)
Train epoch: 41 | Loss: *0.098* | Acc: *96.928%* (48464/50000) 
Test epoch: 41 | Loss: *0.395* | Acc: *88.560%* (8856/10000)
Train epoch: 42 | Loss: *0.094* | Acc: *97.020%* (48510/50000) 
Test epoch: 42 | Loss: *0.436* | Acc: *87.900%* (8790/10000)
Train epoch: 43 | Loss: *0.086* | Acc: *97.380%* (48690/50000) 
Test epoch: 43 | Loss: *0.415* | Acc: *88.460%* (8846/10000)
Train epoch: 44 | Loss: *0.081* | Acc: *97.448%* (48724/50000) 
Test epoch: 44 | Loss: *0.475* | Acc: *86.910%* (8691/10000)
Train epoch: 45 | Loss: *0.080* | Acc: *97.480%* (48740/50000) 
Test epoch: 45 | Loss: *0.450* | Acc: *87.490%* (8749/10000)
Train epoch: 46 | Loss: *0.075* | Acc: *97.682%* (48841/50000) 
Test epoch: 46 | Loss: *0.444* | Acc: *87.850%* (8785/10000)
Train epoch: 47 | Loss: *0.075* | Acc: *97.672%* (48836/50000) 
Test epoch: 47 | Loss: *0.443* | Acc: *88.070%* (8807/10000)
Train epoch: 48 | Loss: *0.069* | Acc: *97.964%* (48982/50000) 
Test epoch: 48 | Loss: *0.462* | Acc: *87.230%* (8723/10000)
Train epoch: 49 | Loss: *0.068* | Acc: *97.928%* (48964/50000) 
Test epoch: 49 | Loss: *0.473* | Acc: *87.580%* (8758/10000)
Train epoch: 50 | Loss: *0.063* | Acc: *98.124%* (49062/50000) 
Test epoch: 50 | Loss: *0.444* | Acc: *87.970%* (8797/10000)
Train epoch: 51 | Loss: *0.062* | Acc: *98.152%* (49076/50000) 
Test epoch: 51 | Loss: *0.432* | Acc: *88.020%* (8802/10000)
Train epoch: 52 | Loss: *0.056* | Acc: *98.390%* (49195/50000) 
Test epoch: 52 | Loss: *0.428* | Acc: *88.710%* (8871/10000)
Train epoch: 53 | Loss: *0.057* | Acc: *98.278%* (49139/50000) 
Test epoch: 53 | Loss: *0.438* | Acc: *88.680%* (8868/10000)
Train epoch: 54 | Loss: *0.051* | Acc: *98.536%* (49268/50000) 
Test epoch: 54 | Loss: *0.420* | Acc: *88.370%* (8837/10000)
Train epoch: 55 | Loss: *0.049* | Acc: *98.658%* (49329/50000) 
Test epoch: 55 | Loss: *0.405* | Acc: *89.330%* (8933/10000)
Train epoch: 56 | Loss: *0.049* | Acc: *98.584%* (49292/50000) 
Test epoch: 56 | Loss: *0.447* | Acc: *88.510%* (8851/10000)
Train epoch: 57 | Loss: *0.044* | Acc: *98.830%* (49415/50000) 
Test epoch: 57 | Loss: *0.426* | Acc: *88.720%* (8872/10000)
Train epoch: 58 | Loss: *0.043* | Acc: *98.842%* (49421/50000) 
Test epoch: 58 | Loss: *0.408* | Acc: *89.270%* (8927/10000)
Train epoch: 59 | Loss: *0.040* | Acc: *98.860%* (49430/50000) 
Test epoch: 59 | Loss: *0.402* | Acc: *89.340%* (8934/10000)
Train epoch: 60 | Loss: *0.039* | Acc: *98.942%* (49471/50000) 
Test epoch: 60 | Loss: *0.432* | Acc: *89.110%* (8911/10000)
Train epoch: 61 | Loss: *0.037* | Acc: *99.100%* (49550/50000) 
Test epoch: 61 | Loss: *0.405* | Acc: *89.430%* (8943/10000)
Train epoch: 62 | Loss: *0.035* | Acc: *99.134%* (49567/50000) 
Test epoch: 62 | Loss: *0.421* | Acc: *89.200%* (8920/10000)
Train epoch: 63 | Loss: *0.033* | Acc: *99.204%* (49602/50000) 
Test epoch: 63 | Loss: *0.465* | Acc: *88.470%* (8847/10000)
Train epoch: 64 | Loss: *0.033* | Acc: *99.150%* (49575/50000) 
Test epoch: 64 | Loss: *0.424* | Acc: *89.430%* (8943/10000)
Train epoch: 65 | Loss: *0.030* | Acc: *99.304%* (49652/50000) 
Test epoch: 65 | Loss: *0.421* | Acc: *89.020%* (8902/10000)
Train epoch: 66 | Loss: *0.031* | Acc: *99.240%* (49620/50000) 
Test epoch: 66 | Loss: *0.430* | Acc: *89.010%* (8901/10000)
Train epoch: 67 | Loss: *0.027* | Acc: *99.456%* (49728/50000) 
Test epoch: 67 | Loss: *0.419* | Acc: *89.470%* (8947/10000)
Train epoch: 68 | Loss: *0.026* | Acc: *99.490%* (49745/50000) 
Test epoch: 68 | Loss: *0.389* | Acc: *89.860%* (8986/10000)
Train epoch: 69 | Loss: *0.026* | Acc: *99.426%* (49713/50000) 
Test epoch: 69 | Loss: *0.430* | Acc: *89.370%* (8937/10000)
Train epoch: 70 | Loss: *0.025* | Acc: *99.496%* (49748/50000) 
Test epoch: 70 | Loss: *0.515* | Acc: *87.630%* (8763/10000)
Train epoch: 71 | Loss: *0.025* | Acc: *99.466%* (49733/50000) 
Test epoch: 71 | Loss: *0.420* | Acc: *89.400%* (8940/10000)
Train epoch: 72 | Loss: *0.024* | Acc: *99.528%* (49764/50000) 
Test epoch: 72 | Loss: *0.483* | Acc: *88.600%* (8860/10000)
Train epoch: 73 | Loss: *0.025* | Acc: *99.476%* (49738/50000) 
Test epoch: 73 | Loss: *0.403* | Acc: *89.620%* (8962/10000)
Train epoch: 74 | Loss: *0.023* | Acc: *99.534%* (49767/50000) 
Test epoch: 74 | Loss: *0.402* | Acc: *89.620%* (8962/10000)
Train epoch: 75 | Loss: *0.021* | Acc: *99.586%* (49793/50000) 
Test epoch: 75 | Loss: *0.427* | Acc: *89.530%* (8953/10000)
Train epoch: 76 | Loss: *0.021* | Acc: *99.566%* (49783/50000) 
Test epoch: 76 | Loss: *0.444* | Acc: *88.870%* (8887/10000)
Train epoch: 77 | Loss: *0.020* | Acc: *99.636%* (49818/50000) 
Test epoch: 77 | Loss: *0.448* | Acc: *88.990%* (8899/10000)
Train epoch: 78 | Loss: *0.021* | Acc: *99.562%* (49781/50000) 
Test epoch: 78 | Loss: *0.423* | Acc: *89.160%* (8916/10000)
Train epoch: 79 | Loss: *0.019* | Acc: *99.622%* (49811/50000) 
Test epoch: 79 | Loss: *0.402* | Acc: *89.770%* (8977/10000)
Train epoch: 80 | Loss: *0.018* | Acc: *99.634%* (49817/50000) 
Test epoch: 80 | Loss: *0.398* | Acc: *89.700%* (8970/10000)
Train epoch: 81 | Loss: *0.018* | Acc: *99.690%* (49845/50000) 
Test epoch: 81 | Loss: *0.411* | Acc: *89.630%* (8963/10000)
Train epoch: 82 | Loss: *0.018* | Acc: *99.652%* (49826/50000) 
Test epoch: 82 | Loss: *0.401* | Acc: *89.790%* (8979/10000)
Train epoch: 83 | Loss: *0.018* | Acc: *99.674%* (49837/50000) 
Test epoch: 83 | Loss: *0.390* | Acc: *89.830%* (8983/10000)
Train epoch: 84 | Loss: *0.014* | Acc: *99.834%* (49917/50000) 
Test epoch: 84 | Loss: *0.421* | Acc: *89.590%* (8959/10000)
Train epoch: 85 | Loss: *0.015* | Acc: *99.758%* (49879/50000) 
Test epoch: 85 | Loss: *0.395* | Acc: *89.860%* (8986/10000)
Train epoch: 86 | Loss: *0.014* | Acc: *99.782%* (49891/50000) 
Test epoch: 86 | Loss: *0.399* | Acc: *89.940%* (8994/10000)
Train epoch: 87 | Loss: *0.014* | Acc: *99.814%* (49907/50000) 
Test epoch: 87 | Loss: *0.404* | Acc: *89.750%* (8975/10000)
Train epoch: 88 | Loss: *0.014* | Acc: *99.808%* (49904/50000) 
Test epoch: 88 | Loss: *0.403* | Acc: *89.920%* (8992/10000)
Train epoch: 89 | Loss: *0.013* | Acc: *99.844%* (49922/50000) 
Test epoch: 89 | Loss: *0.402* | Acc: *89.890%* (8989/10000)
Train epoch: 90 | Loss: *0.014* | Acc: *99.794%* (49897/50000) 
Test epoch: 90 | Loss: *0.441* | Acc: *89.060%* (8906/10000)
Train epoch: 91 | Loss: *0.013* | Acc: *99.848%* (49924/50000) 
Test epoch: 91 | Loss: *0.391* | Acc: *90.120%* (9012/10000)
Train epoch: 92 | Loss: *0.012* | Acc: *99.838%* (49919/50000) 
Test epoch: 92 | Loss: *0.416* | Acc: *89.940%* (8994/10000)
Train epoch: 93 | Loss: *0.012* | Acc: *99.844%* (49922/50000) 
Test epoch: 93 | Loss: *0.402* | Acc: *89.740%* (8974/10000)
Train epoch: 94 | Loss: *0.012* | Acc: *99.842%* (49921/50000) 
Test epoch: 94 | Loss: *0.397* | Acc: *89.910%* (8991/10000)
Train epoch: 95 | Loss: *0.012* | Acc: *99.864%* (49932/50000) 
Test epoch: 95 | Loss: *0.385* | Acc: *89.950%* (8995/10000)
Train epoch: 96 | Loss: *0.011* | Acc: *99.886%* (49943/50000) 
Test epoch: 96 | Loss: *0.399* | Acc: *90.060%* (9006/10000)
Train epoch: 97 | Loss: *0.011* | Acc: *99.878%* (49939/50000) 
Test epoch: 97 | Loss: *0.394* | Acc: *90.040%* (9004/10000)
Train epoch: 98 | Loss: *0.011* | Acc: *99.874%* (49937/50000) 
Test epoch: 98 | Loss: *0.399* | Acc: *89.900%* (8990/10000)
Train epoch: 99 | Loss: *0.010* | Acc: *99.930%* (49965/50000) 
Test epoch: 99 | Loss: *0.382* | Acc: *90.350%* (9035/10000)
Train epoch: 100 | Loss: *0.009* | Acc: *99.926%* (49963/50000) 
Test epoch: 100 | Loss: *0.404* | Acc: *90.040%* (9004/10000)
Train epoch: 101 | Loss: *0.010* | Acc: *99.908%* (49954/50000) 
Test epoch: 101 | Loss: *0.405* | Acc: *89.940%* (8994/10000)
Train epoch: 102 | Loss: *0.010* | Acc: *99.904%* (49952/50000) 
Test epoch: 102 | Loss: *0.403* | Acc: *89.810%* (8981/10000)
Train epoch: 103 | Loss: *0.009* | Acc: *99.918%* (49959/50000) 
Test epoch: 103 | Loss: *0.381* | Acc: *90.190%* (9019/10000)
Train epoch: 104 | Loss: *0.009* | Acc: *99.916%* (49958/50000) 
Test epoch: 104 | Loss: *0.392* | Acc: *90.480%* (9048/10000)
Train epoch: 105 | Loss: *0.009* | Acc: *99.926%* (49963/50000) 
Test epoch: 105 | Loss: *0.382* | Acc: *90.530%* (9053/10000)
Train epoch: 106 | Loss: *0.008* | Acc: *99.930%* (49965/50000) 
Test epoch: 106 | Loss: *0.390* | Acc: *90.130%* (9013/10000)
Train epoch: 107 | Loss: *0.008* | Acc: *99.930%* (49965/50000) 
Test epoch: 107 | Loss: *0.382* | Acc: *90.340%* (9034/10000)
Train epoch: 108 | Loss: *0.008* | Acc: *99.930%* (49965/50000) 
Test epoch: 108 | Loss: *0.390* | Acc: *90.250%* (9025/10000)
