==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 11x11, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 5, Residual layer conv padding: 1
==> Optimizer is Adam
==> Learning rate: 0.001
==> Weight decay: 0.0005
==>Trainable Parameters: 4998730
==>Other Parameters: 0
==>Augmentation: RandomCrop(32, padding=4), RandomHorizontalFlip(), Normalize((0.4914, 0.4822, 0.4465), (0.2023, 0.1994, 0.2010)
Files already downloaded and verified
Train epoch: 1 | Loss: *1.590* | Acc: *41.500%* (20750/50000) 
Test epoch: 1 | Loss: *1.479* | Acc: *47.150%* (4715/10000)
Train epoch: 2 | Loss: *1.253* | Acc: *54.822%* (27411/50000) 
Test epoch: 2 | Loss: *1.275* | Acc: *54.760%* (5476/10000)
Train epoch: 3 | Loss: *1.040* | Acc: *63.060%* (31530/50000) 
Test epoch: 3 | Loss: *1.009* | Acc: *64.460%* (6446/10000)
Train epoch: 4 | Loss: *0.875* | Acc: *69.310%* (34655/50000) 
Test epoch: 4 | Loss: *0.964* | Acc: *67.170%* (6717/10000)
Train epoch: 5 | Loss: *0.761* | Acc: *73.408%* (36704/50000) 
Test epoch: 5 | Loss: *0.751* | Acc: *74.250%* (7425/10000)
Train epoch: 6 | Loss: *0.681* | Acc: *76.408%* (38204/50000) 
Test epoch: 6 | Loss: *0.739* | Acc: *74.380%* (7438/10000)
Train epoch: 7 | Loss: *0.626* | Acc: *78.458%* (39229/50000) 
Test epoch: 7 | Loss: *0.673* | Acc: *77.080%* (7708/10000)
Train epoch: 8 | Loss: *0.577* | Acc: *80.200%* (40100/50000) 
Test epoch: 8 | Loss: *0.620* | Acc: *78.820%* (7882/10000)
Train epoch: 9 | Loss: *0.537* | Acc: *81.294%* (40647/50000) 
Test epoch: 9 | Loss: *0.607* | Acc: *79.690%* (7969/10000)
Train epoch: 10 | Loss: *0.509* | Acc: *82.162%* (41081/50000) 
Test epoch: 10 | Loss: *0.588* | Acc: *79.690%* (7969/10000)
