==> Running on : cuda
==> Number of CPU: 48
==> Number of workers: 2
==> #Epochs: 500, #Layers: 4, #Blocks: [2, 1, 1, 1], In channel: 64, Input layer conv kernel: 11x11, Residual layer conv kernel 3x3, Skip kernel: 1x1, Input layer conv padding: 5, Residual layer conv padding: 1
==> Optimizer is Adam
==> Learning rate: 0.001
==> Weight decay: 0.0005
==>Trainable Parameters: 4998730
==>Other Parameters: 0
==>Augmentation: None
Files already downloaded and verified
Train epoch: 1 | Loss: *1.471* | Acc: *46.384%* (23192/50000) 
Test epoch: 1 | Loss: *1.508* | Acc: *46.510%* (4651/10000)
Train epoch: 2 | Loss: *1.084* | Acc: *61.408%* (30704/50000) 
Test epoch: 2 | Loss: *1.187* | Acc: *56.560%* (5656/10000)
Train epoch: 3 | Loss: *0.836* | Acc: *70.276%* (35138/50000) 
Test epoch: 3 | Loss: *0.990* | Acc: *65.920%* (6592/10000)
Train epoch: 4 | Loss: *0.700* | Acc: *75.356%* (37678/50000) 
Test epoch: 4 | Loss: *1.053* | Acc: *64.010%* (6401/10000)
Train epoch: 5 | Loss: *0.601* | Acc: *79.136%* (39568/50000) 
Test epoch: 5 | Loss: *0.794* | Acc: *72.500%* (7250/10000)
Train epoch: 6 | Loss: *0.526* | Acc: *81.736%* (40868/50000) 
Test epoch: 6 | Loss: *0.924* | Acc: *67.380%* (6738/10000)
Train epoch: 7 | Loss: *0.466* | Acc: *83.846%* (41923/50000) 
Test epoch: 7 | Loss: *0.997* | Acc: *67.650%* (6765/10000)
Train epoch: 8 | Loss: *0.403* | Acc: *86.214%* (43107/50000) 
Test epoch: 8 | Loss: *0.815* | Acc: *74.160%* (7416/10000)
Train epoch: 9 | Loss: *0.351* | Acc: *87.908%* (43954/50000) 
Test epoch: 9 | Loss: *0.648* | Acc: *77.490%* (7749/10000)
Train epoch: 10 | Loss: *0.304* | Acc: *89.422%* (44711/50000) 
Test epoch: 10 | Loss: *0.722* | Acc: *76.350%* (7635/10000)
Train epoch: 11 | Loss: *0.262* | Acc: *90.876%* (45438/50000) 
Test epoch: 11 | Loss: *0.687* | Acc: *78.360%* (7836/10000)
Train epoch: 12 | Loss: *0.231* | Acc: *92.058%* (46029/50000) 
Test epoch: 12 | Loss: *0.716* | Acc: *77.560%* (7756/10000)
Train epoch: 13 | Loss: *0.203* | Acc: *93.106%* (46553/50000) 
Test epoch: 13 | Loss: *0.722* | Acc: *77.600%* (7760/10000)
Train epoch: 14 | Loss: *0.184* | Acc: *93.628%* (46814/50000) 
Test epoch: 14 | Loss: *0.691* | Acc: *78.850%* (7885/10000)
Train epoch: 15 | Loss: *0.161* | Acc: *94.456%* (47228/50000) 
Test epoch: 15 | Loss: *0.835* | Acc: *76.560%* (7656/10000)
Train epoch: 16 | Loss: *0.164* | Acc: *94.354%* (47177/50000) 
Test epoch: 16 | Loss: *0.900* | Acc: *74.650%* (7465/10000)
Train epoch: 17 | Loss: *0.146* | Acc: *94.980%* (47490/50000) 
Test epoch: 17 | Loss: *0.764* | Acc: *78.630%* (7863/10000)
Train epoch: 18 | Loss: *0.141* | Acc: *95.118%* (47559/50000) 
Test epoch: 18 | Loss: *0.769* | Acc: *78.000%* (7800/10000)
